Operateur;X;Y;C2G;C3G;C4G
34020;-62.8512288;17.910917;1;1;1
34020;-62.8514315;17.9010212;1;1;1
34020;-62.7972296;17.9011122;1;0;0
34020;-62.8363963;17.8919456;1;1;1
34020;-62.8477267;17.8990284;1;1;0
34001;-62.8485;17.8976;1;1;1
34001;-62.8159;17.9082;1;1;1
34001;-62.8580135;17.91804382;1;1;1
34001;-62.7972;17.9012;1;1;1
34001;-62.8403;17.891;1;1;1
34001;-62.8643;17.9179;1;1;1
34001;-62.8362;17.892;1;1;1
34001;-62.8111;17.8922;1;1;0
34001;-62.8343;17.9012;1;0;0
34001;-62.805;17.9114;1;1;0
34001;-62.8515;17.9012;1;0;0
34008;-62.8358334;17.8916667;1;1;0
34008;-62.8483333;17.8972222;1;1;1
34008;-62.8113889;17.8922222;1;0;0
34008;-62.8105556;17.9091667;1;0;0
34008;-62.7944445;17.9005555;1;1;1
34008;-62.8509556;17.9110389;0;1;1
