CODGEO;POP_MUN;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
200000172;25941;;;;;;;;;;;;;;;;;;;;;;;;;;;2
200000321;91275;51,1;33,9;32;20;21,6;1,4;26,3;2,6;10,6;10,7;16162;51061;2768;3909;515;8970;2766;746;100;25387;3927;3961;7015;5371;3232;1881;0
200000545;18510;52,7;28,9;27,8;30,2;32,9;0,8;39,7;2;8,9;8,9;3875;9967;773;1507;259;1336;484;282;14;4500;654;687;1280;930;592;357;0
200000628;24207;50,8;29,3;27,7;27,2;29,1;0,9;30,1;2,6;7,4;7,8;4524;12006;726;1688;238;1872;533;345;7;5372;806;874;1527;1068;704;393;0
200000776;134672;51;35,6;34,1;16,7;17,5;1,8;30;4,2;21,7;20,7;31241;87205;5593;10606;1540;13502;4779;1613;401;40816;7436;6873;10785;7508;4744;3470;0
200006385;94165;50,9;35,3;34,6;16,7;18,2;1,7;32,2;4,2;26,7;24,9;22579;61548;4076;7807;1283;9413;3225;1108;274;28228;4990;4704;7332;5158;3400;2644;0
200006385200023430;497935;51,2;34;32,7;17;18,3;1,6;35,7;3,8;23,1;21,6;122650;316069;22254;48538;6769;45089;15087;5659;3111;141271;24327;22870;37121;26453;17029;13471;0
20000638593007;146962;51;36,2;35,4;16,5;17,8;1,8;30,3;4,9;26,8;25,2;34685;96993;6449;11398;1974;14864;5388;1652;339;45384;7845;7511;11940;8362;5478;4248;0
200006682;52403;51,2;27,2;25,1;28;31,1;0,8;34,9;1,2;4;4;7901;20260;;;;3290;766;;;8714;;1270;2374;1982;1215;;0
200006971;18292;;;;;;;;;;;;;;;;;;;;;;;;;;;2
200010650;51911;52,4;29,1;27,6;27,9;30,5;0,9;37,3;1,3;4,8;4,7;9941;24980;1664;4058;516;3703;992;751;;10843;1422;1674;2957;2388;1574;828;0
200011773;86455;51,2;30,2;28,7;19,2;21,3;1,3;41,3;1,4;17,5;17,6;12733;31876;2196;5156;680;4701;1349;799;410;13741;2537;2282;3701;2639;1626;956;0
200017341;14468;51,8;26,6;25,1;30,7;32;0,8;35,3;1,3;6,2;6;3345;7470;591;1595;186;973;242;190;9;2968;388;423;808;625;463;261;0
200017846;53280;51,1;33;32,4;20,6;21,9;1,3;29,6;2,7;9,5;8,7;9415;27612;1652;2860;338;4565;1474;582;105;13318;1981;2001;3665;2713;1859;1099;0
200018059;220055;51,6;33,3;31,5;17,5;19,2;1,5;35,6;2,5;12,9;12,8;42016;113154;6645;15768;1488;18115;5196;2123;2537;51469;8324;8123;13980;10244;6474;4324;0
200018406;32337;52,1;26,4;25,5;32,2;34,2;0,7;34,7;1,4;5,8;5,4;5860;14868;;2304;;2311;575;;;6383;;963;1736;1373;945;;0
200018653;103801;55,7;34,3;30,8;20,7;22,1;1,4;37,4;1,6;6,6;7,3;;;;;;;;;;;;;;;;;0
200022523;60406;51,2;35,8;34,4;16,9;18;1,7;23,3;3,6;13,6;13,2;10279;31131;1993;2676;341;5269;1565;605;50;15233;2240;2295;4285;3116;2008;1289;0
200023125;45343;51;32,8;31,3;20,4;21,7;1,3;23,6;2,1;9,5;8,8;6887;20848;1367;1727;192;3601;882;365;39;10167;1353;1478;2768;2239;1469;860;0
200023240;26397;52,4;30,7;29,3;25;27,1;1;33,7;2,2;9,5;9,4;4811;12986;;1673;;1959;572;284;;5980;837;915;1588;1262;838;540;0
200023281;266518;51,3;30,5;29,1;24,2;26,1;1;35,3;2,5;11,6;11,4;53086;135292;8558;21984;2903;19641;6522;3745;;59574;9123;9362;16142;12220;7876;4851;0
200023307;48422;52,2;26,4;24,5;33,1;35,7;0,7;36,2;1,4;5,9;5,4;8963;21433;1517;3921;511;3014;768;702;120;8954;1293;1345;2374;1947;1277;718;0
200023414;488906;52,5;32,5;30,6;23,7;26,4;1;41,1;1,5;5,6;5,2;119451;265010;18823;59803;6858;33967;9151;10484;14649;104876;16594;16317;28185;20807;13839;9134;0
200023430;403770;51,2;33,7;32,3;17,1;18,4;1,6;36,5;3,7;22,3;20,8;100071;254521;18178;40731;5486;35676;11862;4551;2837;113043;19337;18166;29789;21295;13629;10827;0
200023430249300088;817891;50,3;35,2;34,4;15,5;16,6;1,8;34,8;4,6;26,8;24,7;213081;535525;38753;89657;12182;72489;26029;10322;7180;237139;40413;38259;61810;44569;28806;23282;0
20002343093007;456567;51,2;34,2;32,8;16,9;18,2;1,7;35,5;4;22,9;21,4;112177;289966;20551;44322;6177;41127;14025;5095;2902;130199;22192;20973;34397;24499;15707;12431;0
20002343093077;432935;51,3;33,6;32,3;17,2;18,6;1,6;36,3;3,6;21,8;20,2;105865;270496;19279;42643;5730;38213;12576;4851;2906;120424;20641;19338;31765;22694;14528;11458;0
200023448;119408;50,7;37,8;36,6;17;17,7;1,8;24,3;6,9;18,7;17,8;26018;77135;5156;7887;1330;11645;4909;1220;139;38061;6104;6115;10187;7409;4744;3502;0
20002344893005;202042;50,7;37,7;36,7;17,3;18;1,8;24,3;7;20,1;19,1;44080;128883;8603;13886;2340;19251;8031;2027;243;63069;10007;9938;16668;12379;8028;6049;0
200023562;13340;51,4;31,6;30,2;26,3;28,5;1;35,6;2,6;12,1;12,3;2649;6961;485;1024;155;985;372;193;;3158;411;459;922;689;422;255;0
200023737;40898;52,9;25,2;23,3;32,6;34,8;0,6;39,1;0,8;5;4,6;8434;18601;1424;4088;471;2451;533;758;409;7270;1013;1072;1968;1563;1103;551;0
