Operateur;X;Y;C2G;C3G;C4G
34020;-60.9494508;14.6919446;1;1;1
34020;-60.9813883;14.6771982;1;1;1
34020;-61.0294507;14.7788891;1;1;1
34020;-61.066673;14.8136114;1;1;1
34020;-61.1069507;14.7538891;1;0;0
34020;-61.0580619;14.6330557;1;1;1
34020;-60.8558396;14.5838891;1;1;1
34020;-61.0472285;14.4894446;1;0;0
34020;-60.8691729;14.5341668;1;1;1
34020;-61.0552841;14.6233335;1;1;1
34020;-61.0583396;14.6147224;1;1;1
34020;-61.0794507;14.6036113;1;1;1
34020;-61.0519508;14.5541668;1;1;1
34020;-61.0601174;14.6242224;1;1;1
34020;-60.8525063;14.5647224;1;1;1
34020;-60.9747285;14.6383335;1;1;1
34020;-60.9561174;14.647778;1;1;1
34020;-60.9888952;14.6575002;1;1;1
34020;-61.016673;14.6788891;1;1;1
34020;-61.0386174;14.7272225;1;1;1
34020;-61.0933397;14.8183336;1;1;1
34020;-61.1336175;14.7950003;1;1;1
34020;-61.1130619;14.8461113;1;0;0
34020;-61.1355619;14.8527781;1;1;1
34020;-61.1530619;14.7616669;1;1;1
34020;-61.1397285;14.6508335;1;1;1
34020;-61.0885403;14.6169719;1;1;1
34020;-61.011673;14.5255558;1;1;1
34020;-60.9900063;14.492778;1;1;1
34020;-61.0011174;14.6155558;1;1;1
34020;-60.836673;14.5519434;1;1;1
34020;-60.836673;14.5519434;1;1;1
34020;-61.0506933;14.555857;1;1;1
34020;-61.1775064;14.7038891;1;1;1
34020;-61.1702841;14.742778;1;1;1
34020;-61.0505619;14.8275003;1;1;1
34020;-61.0302841;14.8158336;1;1;1
34020;-61.1522286;14.8061113;1;1;1
34020;-60.9919507;14.7744447;1;1;1
34020;-60.9480618;14.7383336;1;1;1
34020;-61.0102841;14.712778;1;1;1
34020;-60.9796411;14.6977255;1;1;1
34020;-60.9394507;14.7022224;1;1;1
34020;-60.9483396;14.6650002;1;1;1
34020;-60.9408396;14.6069446;1;1;1
34020;-60.9144507;14.6355557;1;1;1
34020;-60.8888952;14.5936113;1;1;1
34020;-61.0258396;14.6275002;1;1;1
34020;-60.9886174;14.6266669;1;1;1
34020;-61.0105618;14.6522224;1;1;1
34020;-60.9866729;14.5775002;1;1;0
34020;-60.9652841;14.5775002;1;1;1
34020;-60.9866729;14.5108335;1;1;1
34020;-61.0336174;14.5322224;1;1;1
34020;-61.0736174;14.4841668;1;1;1
34020;-61.0069507;14.487778;1;1;0
34020;-60.8425063;14.4472224;1;1;1
34020;-60.935284;14.4691668;1;1;1
34020;-60.8697285;14.4769446;1;1;1
34020;-60.9008396;14.4591668;1;1;1
34020;-60.8772284;14.4113891;1;1;1
34020;-60.9016729;14.491389;1;1;1
34020;-60.9472552;14.5634761;1;1;1
34020;-60.8822285;14.5700002;1;1;1
34020;-61.0825063;14.6233335;1;1;1
34020;-61.086673;14.6052779;1;1;1
34020;-61.0725063;14.6041669;1;1;1
34020;-61.0613952;14.6058336;1;1;1
34020;-61.0394507;14.6333335;1;1;1
34020;-61.0480619;14.6100002;1;1;1
34020;-61.0402601;14.6210444;1;1;1
34020;-61.0127916;14.6197178;1;1;1
34020;-61.0775063;14.6094446;1;1;1
34020;-61.031673;14.6141668;1;1;1
34020;-61.1038951;14.6297224;1;1;1
34020;-61.1344507;14.6380558;1;1;1
34020;-60.9986173;14.5966669;1;1;1
34020;-61.1658397;14.6741669;1;1;1
34020;-61.1472285;14.7047225;1;1;1
34020;-61.2138952;14.7888891;1;1;1
34020;-61.149173;14.8594447;1;1;1
34020;-60.9119508;14.7555558;1;1;1
34020;-61.1727841;14.8705558;1;1;1
34020;-61.1208396;14.8675003;1;1;1
34020;-61.0527841;14.5302779;1;1;1
34020;-60.8472285;14.5125002;1;1;1
34020;-61.0158396;14.6300002;1;1;1
34020;-61.0363951;14.5375001;1;1;1
34020;-60.9727841;14.6022224;1;1;1
34020;-61.0202841;14.6191669;1;1;0
34020;-61.0669508;14.5180557;1;1;1
34020;-60.9586174;14.5547224;1;1;1
34020;-60.9897285;14.6113891;1;1;1
34020;-61.0130618;14.6144446;1;1;1
34020;-60.9680325;14.5731641;1;1;1
34020;-61.0725063;14.6391668;1;1;1
34020;-61.1183397;14.8227781;1;1;1
34020;-61.0213952;14.7969447;1;1;1
34020;-61.0225063;14.7616669;1;1;1
34020;-61.1446452;14.736528;1;1;1
34020;-60.9730618;14.6544446;1;1;1
34020;-61.0708396;14.6108335;1;1;1
34020;-60.8961174;14.5241669;1;1;1
34020;-60.9516729;14.5094446;1;1;1
34020;-61.0744507;14.4777779;1;1;1
34020;-61.2252841;14.8225002;1;0;0
34020;-61.1560341;14.6603335;1;1;1
34020;-60.9575062;14.4822224;1;1;1
34020;-61.0288952;14.482778;1;1;1
34020;-61.0550063;14.6413891;1;1;1
34020;-61.1358396;14.780278;1;1;1
34020;-60.8333396;14.4838891;1;1;1
34020;-60.9472285;14.567778;1;1;1
34020;-61.0869507;14.6633335;1;1;1
34020;-61.0875063;14.6891669;1;0;0
34020;-60.8825063;14.432778;1;1;1
34020;-60.9797285;14.7463891;1;1;1
34020;-61.0688952;14.602778;1;1;1
34020;-61.0533396;14.6147224;1;1;1
34020;-60.9161174;14.5322224;1;1;1
34020;-60.8913952;14.5475002;1;1;1
34020;-60.9086174;14.6230558;1;1;1
34020;-61.0972285;14.6169447;1;1;0
34020;-61.1116762;14.6333299;1;1;1
34020;-60.9744462;14.5556098;1;1;1
34020;-60.9278896;14.5993057;1;1;1
34020;-60.9818202;14.5721539;1;1;1
34020;-61.0757562;14.6145637;1;1;1
34020;-61.0408063;14.6728299;1;1;1
34020;-60.9341034;14.5659026;1;1;1
34020;-60.9622262;14.6702776;1;1;1
34020;-61.105284;14.6206248;1;1;1
34020;-60.9033673;14.5774996;1;1;1
34020;-61.0526229;14.6042637;1;1;1
34020;-61.123484;14.6381137;1;1;1
34020;-60.978884;14.5222359;1;1;1
34020;-61.0100062;14.6039443;1;1;1
34020;-60.938509;14.6776943;1;1;1
34001;-61.01054698;14.65183344;1;1;1
34001;-61.07088892;14.53052226;1;1;1
34001;-60.98380689;14.6791105;1;1;1
34001;-60.94083294;14.60693928;1;1;1
34001;-61.06223111;14.60403947;1;1;1
34001;-60.98859803;14.62711022;1;1;1
34001;-60.9982653;14.61518376;1;1;1
34001;-61.0228523;14.63658489;1;1;1
34001;-60.9899478;14.61136198;1;1;1
34001;-61.00261691;14.61630549;1;1;1
34001;-60.99166525;14.63170923;0;1;1
34001;-61.04071554;14.61813803;1;1;1
34001;-61.04818999;14.62194203;1;1;1
34001;-61.04050465;14.62412771;1;1;1
34001;-61.03836199;14.61667233;1;1;1
34001;-61.07239304;14.63912408;1;1;1
34001;-61.05830938;14.62579499;1;1;1
34001;-61.05495039;14.64150932;1;1;1
34001;-61.05231835;14.61896727;1;1;1
34001;-61.01310855;14.61990143;1;1;1
34001;-61.03227508;14.62071471;1;1;1
34001;-61.01300166;14.61424351;1;1;1
34001;-61.00850503;14.60655102;1;1;1
34001;-61.02917894;14.63071038;1;1;1
34001;-61.03108;14.6142252;1;1;1
34001;-61.06772201;14.61393537;1;1;1
34001;-61.07336621;14.60310148;1;1;1
34001;-61.04055105;14.63876783;1;1;1
34001;-61.06876615;14.63038235;1;1;1
34001;-61.05435478;14.63221437;1;1;1
34001;-60.94831093;14.6180929;1;0;1
34001;-61.00288002;14.59744813;1;1;1
34001;-60.9956888;14.59637437;1;1;1
34001;-61.01635598;14.63032137;1;1;1
34001;-61.0036;14.6077;0;1;1
34001;-61.0201;14.6191;0;1;1
34001;-60.8802;14.4742;1;1;1
34001;-61.06413828;14.61727643;1;1;1
34001;-61.07621283;14.60657713;1;1;1
34001;-61.0707818;14.61000249;1;1;1
34001;-61.05316261;14.61583851;1;1;1
34001;-61.0667262;14.60682402;1;1;1
34001;-61.06940733;14.60586119;1;1;1
34001;-60.87907091;14.43444588;1;1;1
34001;-60.92864192;14.59875282;1;1;1
34001;-60.96473241;14.54788742;1;1;1
34001;-61.08232812;14.62374372;1;1;1
34001;-60.91193009;14.75525568;1;1;1
34001;-61.11948203;14.8679686;1;1;1
34001;-61.16004314;14.69230461;1;1;1
34001;-61.02906305;14.48285716;1;1;1
34001;-60.96805548;14.57301989;1;1;1
34001;-60.96055956;14.58702446;1;1;1
34001;-61.06224802;14.60528671;1;1;1
34001;-61.07145467;14.61372228;1;1;1
34001;-61.05454935;14.6059004;1;1;1
34001;-61.07987164;14.60416727;1;1;1
34001;-61.04800654;14.61013827;1;1;1
34001;-61.07804386;14.60945698;1;1;1
34001;-61.0869924;14.68944545;1;1;1
34001;-61.08654529;14.60510775;1;1;1
34001;-61.06699634;14.60458508;0;1;1
34001;-60.85473348;14.58350093;1;1;1
34001;-61.01028428;14.71269334;1;1;1
34001;-60.8698;14.4771;0;1;1
34001;-60.97883056;14.52203889;1;1;1
34001;-60.95272691;14.6562565;1;1;1
34001;-60.93265462;14.56550742;1;1;1
34001;-61.03356645;14.65285157;1;1;1
34001;-61.01656019;14.67055471;1;1;1
34001;-61.17684406;14.74751139;1;1;1
34001;-60.99209263;14.77787979;1;1;1
34001;-61.10522243;14.6315765;1;1;1
34001;-61.09414507;14.61919561;1;1;1
34001;-60.97742096;14.74452452;1;1;1
34001;-61.06819066;14.53354571;1;1;1
34001;-60.83685704;14.55184592;1;1;1
34001;-61.07448758;14.47801022;1;1;1
34001;-61.07942461;14.49169671;1;1;1
34001;-61.18120513;14.70317185;1;1;1
34001;-61.13152531;14.63938036;1;1;1
34001;-61.01774948;14.48056606;1;1;1
34001;-60.9869183;14.57713215;1;1;1
34001;-61.05954825;14.61154497;1;1;1
34001;-61.08332317;14.60853346;1;1;1
34001;-61.07815256;14.6204379;1;1;1
34001;-61.07138178;14.60505516;1;1;1
34001;-61.08659667;14.70290739;1;1;1
34001;-61.05221915;14.61126697;1;1;1
34001;-61.05462592;14.59930406;0;1;1
34001;-61.06957793;14.63519677;0;1;1
34001;-60.90239439;14.61601245;1;1;1
34001;-60.8788;14.6011;1;1;1
34001;-61.17307466;14.87043488;1;1;1
34001;-60.97312476;14.65463695;1;1;1
34001;-61.04839493;14.83258358;1;1;1
34001;-60.86502534;14.47796356;1;1;1
34001;-61.13569017;14.77966299;1;1;1
34001;-60.92556095;14.53032926;1;1;1
34001;-60.9012317;14.48872649;1;1;1
34001;-60.94263021;14.67989689;1;1;1
34001;-60.94933561;14.6924897;1;1;1
34001;-60.9416;14.6737;1;1;1
34001;-60.95457163;14.55819084;1;1;1
34001;-60.92736638;14.46887053;1;1;1
34001;-61.0232131;14.76156614;1;1;1
34001;-61.00629774;14.80478744;1;1;1
34001;-61.09242073;14.60821946;1;1;1
34001;-61.08701526;14.6162182;1;1;1
34001;-61.09387741;14.61472004;1;1;1
34001;-61.1023893;14.62211863;1;1;1
34001;-61.11305545;14.6283867;1;1;1
34001;-61.08944388;14.61333721;0;1;1
34001;-61.09732021;14.61691708;0;1;1
34001;-60.96480583;14.73109412;1;1;1
34001;-60.96285691;14.7409809;1;1;1
34001;-61.05201604;14.55416071;1;1;1
34001;-60.83955915;14.54586199;1;1;1
34001;-61.16631187;14.67427038;1;1;1
34001;-60.91446753;14.63566622;1;1;1
34001;-61.04455725;14.59825294;1;1;1
34001;-60.90113895;14.45913179;1;1;1
34001;-60.8958165;14.52395556;1;1;1
34001;-61.14735017;14.70457569;1;1;1
34001;-60.95194729;14.50972315;1;1;1
34001;-61.0287467;14.7812683;1;1;1
34001;-61.11847978;14.82272976;1;1;1
34001;-60.83574341;14.46695206;1;1;1
34001;-61.08703567;14.66417819;1;1;1
34001;-60.87719657;14.39738054;1;1;1
34001;-60.94120507;14.47367296;1;1;1
34001;-60.99378771;14.49455048;1;1;1
34001;-60.9585241;14.4813243;1;1;1
34001;-61.03651921;14.53766534;1;1;1
34001;-60.88904891;14.55479848;1;1;1
34001;-60.97189965;14.55545001;1;1;1
34001;-61.06874708;14.51540384;1;0;1
34001;-61.22460467;14.80259672;1;1;1
34001;-60.9396;14.6882;1;1;1
34001;-60.94699451;14.56791999;1;1;1
34001;-61.02049007;14.72892033;1;1;1
34001;-60.88191209;14.56965265;1;1;1
34001;-61.04848275;14.47142471;1;1;1
34001;-61.0887802;14.82492501;1;1;1
34001;-61.00468385;14.69552975;1;1;1
34001;-60.98719068;14.51329038;1;1;1
34001;-60.93373987;14.50265967;1;1;1
34001;-60.83333498;14.48388133;1;1;1
34001;-61.03117685;14.81558339;1;1;1
34001;-61.04154246;14.67447178;1;1;1
34001;-60.90971297;14.62420178;0;1;1
34001;-61.0551581;14.53014842;1;1;1
34001;-61.21384748;14.78900246;1;1;1
34001;-60.91575767;14.70721767;1;1;1
34001;-60.98298709;14.76826687;1;1;1
34001;-61.22535257;14.82254843;1;1;1
34001;-61.01486675;14.4918378;1;1;1
34001;-61.1449447;14.73650329;1;1;1
34001;-61.0107464;14.6410453;1;1;1
34001;-60.95366412;14.63327603;1;1;1
34001;-61.14705249;14.87535032;1;1;1
34001;-61.14316017;14.79902676;1;0;1
34001;-60.94150445;14.70098679;1;1;1
34001;-61.01754306;14.66449041;1;1;1
34001;-61.05908048;14.66894382;1;1;1
34001;-60.84260225;14.44712682;1;1;1
34001;-60.87424029;14.42563726;1;1;1
34001;-61.11612076;14.63897603;1;1;1
34001;-61.15621903;14.66004697;1;1;1
34001;-61.00583972;14.62939114;1;1;1
34001;-61.03225079;14.63802005;1;1;1
34001;-61.12445076;14.67339388;1;0;1
34001;-60.88891803;14.59386968;1;0;1
34001;-61.01505181;14.74500424;1;1;1
34001;-60.8471167;14.512625;1;1;1
34001;-60.94790026;14.73877032;1;1;1
34001;-61.0431759;14.63347217;1;1;1
34001;-61.1532444;14.7619556;1;0;1
34001;-61.0116639;14.52555418;1;0;1
34001;-60.9763259;14.57569419;1;1;1
34001;-60.94725;14.56347222;1;0;1
34001;-61.10707387;14.75396349;1;0;1
34001;-61.03399395;14.53158039;1;1;1
34001;-61.0869;14.6636;1;1;0
34001;-61.0856;14.6526;1;0;0
34001;-60.889;14.5939;1;0;0
34001;-60.97983167;14.69752857;1;0;0
34001;-61.03867313;14.72760213;1;1;1
34001;-61.0586027;14.73666243;1;1;1
34001;-61.06691259;14.81340107;1;1;0
34001;-61.13555696;14.85277274;1;1;1
34001;-60.89215306;14.54150711;1;1;1
34001;-60.91613056;14.53229167;0;0;1
34001;-60.93979983;14.65500372;1;1;0
34001;-61.0574501;14.65382044;0;1;0
34001;-60.866;14.417;1;0;0
34001;-60.9625287;14.57469775;1;1;1
34001;-61.02138889;14.79694444;1;1;1
34001;-61.12333333;14.63805556;1;0;1
34002;-61.056;14.6218;1;1;1
34002;-61.093;14.6104;1;1;1
34002;-61.0281;14.4829;1;1;1
34002;-60.9623;14.6701;1;1;1
34002;-61.1594;14.6934;1;1;1
34002;-60.9157;14.5327;1;1;1
34002;-60.9391;14.6775;1;1;1
34002;-60.9921;14.7791;1;1;1
34002;-61.0078;14.8044;1;1;1
34002;-61.1161;14.8683;1;1;1
34002;-60.9646;14.548;1;1;1
34002;-60.9127;14.6351;1;1;1
34002;-61.0351;14.6154;1;1;1
34002;-61.0062;14.4868;1;1;1
34002;-60.8965;14.5241;1;1;1
34002;-60.975;14.5553;1;1;1
34002;-60.9783;14.7462;1;1;1
34002;-61.1491;14.8596;1;1;1
34002;-61.1446;14.7366;1;1;1
34002;-61.0846;14.6564;1;1;1
34002;-61.0101;14.7464;1;1;1
34002;-61.0588;14.6772;1;1;1
34002;-61.0744;14.4777;1;1;1
34002;-61.0395;14.5397;1;1;1
34002;-61.0228;14.7118;1;1;1
34002;-61.0069;14.5295;1;1;1
34002;-61.0259;14.6926;1;1;1
34002;-60.8767;14.3975;1;1;1
34002;-60.8892;14.5951;1;1;1
34002;-60.8823;14.5697;1;1;1
34002;-60.9354;14.4679;1;1;1
34002;-60.9387;14.5623;1;1;1
34002;-61.1776;14.704;1;1;1
34002;-61.1358;14.7801;1;1;1
34002;-61.1236;14.6381;1;1;1
34002;-61.0547;14.6409;1;1;1
34002;-61.1052;14.6319;1;1;1
34002;-61.0784;14.623;1;1;1
34002;-61.1515;14.806;1;1;1
34002;-61.0652;14.5251;1;1;1
34002;-60.8751;14.477;1;1;1
34002;-61.0952;14.6148;1;1;1
34002;-61.0594;14.6116;1;1;1
34002;-61.0554;14.6301;1;1;1
34002;-60.9487;14.6008;1;1;1
34002;-61.0657;14.6122;1;1;1
34002;-60.8475;14.5126;1;1;1
34002;-60.8939;14.4875;1;1;1
34002;-60.9479;14.6518;1;1;1
34002;-60.9392;14.7002;1;1;1
34002;-61.0021;14.5983;1;1;1
34002;-60.9795;14.6264;1;1;1
34002;-60.8833;14.4197;1;1;1
34002;-61.1348;14.6386;1;1;1
34002;-61.0723;14.6393;1;1;1
34002;-60.8928;14.5479;1;1;1
34002;-61.0319;14.6686;1;1;1
34002;-61.2138;14.789;1;1;1
34002;-60.9935;14.6138;1;1;1
34002;-61.0431;14.6081;1;1;1
34002;-61.0528;14.5303;1;1;1
34002;-60.9609;14.7339;1;1;1
34002;-61.1661;14.6744;1;1;1
34002;-61.078;14.6094;1;1;1
34002;-60.8431;14.5405;1;1;1
34002;-60.8425;14.4474;1;1;1
34002;-61.1727;14.8706;1;1;1
34002;-60.998;14.614;1;1;1
