Operateur;X;Y;C2G;C3G;C4G
34020;-61.4525945;16.2544169;1;1;1
34020;-61.3847139;16.3123985;1;1;1
34020;-61.4794511;16.4347230;1;1;1
34020;-61.4730622;16.5000008;1;1;1
34020;-61.5794511;16.1402784;1;1;1
34020;-61.5800066;16.0902784;1;1;1
34020;-61.5838955;16.0227784;1;1;1
34020;-61.7047288;15.9997228;1;1;1
34020;-61.6925066;16.0527784;1;1;1
34020;-61.7390639;16.0528607;1;1;0
34020;-61.7516733;16.0788895;1;1;0
34020;-61.2675065;15.8761117;1;0;0
34020;-61.5147288;16.2580562;1;1;1
34020;-61.5225862;16.2454180;1;1;1
34020;-61.5830622;16.2538896;1;1;1
34020;-61.5280622;16.2708340;1;1;1
34020;-61.6216733;16.1827784;1;1;1
34020;-61.5569511;16.2361118;1;1;1
34020;-61.5868909;16.2395841;1;1;1
34020;-61.7158009;16.0365437;1;1;1
34020;-61.7697303;16.3398028;1;1;1
34020;-61.6905623;16.3152785;1;1;1
34020;-61.5154154;16.2858654;1;1;1
34020;-61.6298199;16.2427219;1;1;1
34020;-61.6558651;16.3006148;1;1;1
34020;-61.6678317;16.2871967;1;1;1
34020;-61.5971646;16.2525585;1;1;1
34020;-61.6591775;16.2469406;1;1;1
34020;-61.6193314;16.2254094;1;1;1
34020;-61.5969498;16.1877732;1;1;1
34020;-61.5975635;16.1325823;1;1;1
34020;-61.5669510;16.1036117;1;1;1
34020;-61.5888955;16.0741673;1;1;1
34020;-61.8086178;16.2727785;1;1;0
34020;-61.5855622;16.0402784;1;1;1
34020;-61.6173427;15.9872791;1;0;0
34020;-61.5708400;16.2563896;1;1;1
34020;-61.5488955;16.2713896;1;1;0
34020;-61.5125066;16.2652785;1;1;0
34020;-61.3761177;16.2455563;1;1;0
34020;-61.3970253;16.2622095;1;1;1
34020;-61.3115929;16.2520569;1;1;0
34020;-61.4536207;16.3180566;1;1;1
34020;-61.4827844;16.4619452;1;1;1
34020;-61.3200899;16.2684174;1;1;0
34020;-61.4147288;16.3258341;1;1;0
34020;-61.5975066;16.0180561;1;1;1
34020;-61.4380621;16.2752785;1;1;1
34020;-61.2701722;16.2902190;1;1;0
34020;-61.7132611;15.9865820;1;1;1
34020;-61.7330038;16.0060236;1;1;1
34020;-61.5067205;16.4644304;1;1;1
34020;-61.6318924;15.9980282;1;0;0
34020;-61.7075352;16.0095324;1;1;1
34020;-61.7168122;15.9978895;1;1;1
34020;-61.6435639;16.2166903;1;1;1
34020;-61.3588099;16.2506476;1;1;1
34020;-61.6945902;16.0156364;1;1;1
34020;-61.4850892;16.2076114;1;1;1
34020;-61.6083379;16.2495864;1;1;1
34020;-61.2700475;16.2574690;1;1;0
34020;-61.5211922;16.2566872;1;1;1
34020;-61.3491733;16.3247230;1;1;1
34020;-61.3325065;16.3288896;1;1;1
34020;-61.2944510;16.2636118;1;1;0
34020;-61.5113955;16.2294451;1;1;1
34020;-61.3275066;16.2538896;1;1;1
34020;-61.3686177;16.2958341;1;1;1
34020;-61.3755621;16.2627785;1;1;1
34020;-61.3802844;16.2316673;1;1;0
34020;-61.3966732;16.2258341;1;1;1
34020;-61.4338955;16.2161118;1;1;1
34020;-61.4297288;16.2536119;1;1;1
34020;-61.4783400;16.2036118;1;1;1
34020;-61.5033400;16.2069452;1;1;1
34020;-61.5213955;16.2158340;1;1;1
34020;-61.5252844;16.2219451;1;1;1
34020;-61.5355622;16.2419452;1;1;1
34020;-61.5394511;16.2511118;1;1;1
34020;-61.5233400;16.2505563;1;1;1
34020;-61.5266733;16.2697229;1;1;0
34020;-61.4930621;16.2702785;1;1;1
34020;-61.4791732;16.2808341;1;1;1
34020;-61.4497288;16.2916674;1;1;1
