Version beta : les données sont présentées en l’état et ne sont pas toutes fiables, certaines devant encore être améliorées
code_insee;nom_com;code_dep;code_reg;nbr;type;inel_hd;elig_hd05;elig_hd3;elig_hd8;elig_thd30;elig_thd100;elig_thd1g;date
67017;Baerendorf;67;44;148;logloc;0;0;0;10;0;0;138;2019-09-30
38130;La Côte-Saint-André;38;84;2408;logloc;0;0;0;985;59;0;1364;2019-09-30
69035;Cenves;69;84;280;logloc;91;0;0;189;0;0;0;2019-09-30
21153;Châtellenot;21;27;125;logloc;0;0;0;125;0;0;0;2019-09-30
81230;Rosières;81;76;315;logloc;0;0;0;315;0;0;0;2019-09-30
43053;Champclause;43;84;150;logloc;0;0;0;150;0;0;0;2019-09-30
70025;Arbecey;70;27;164;logloc;0;0;0;6;158;0;0;2019-09-30
11048;Boutenac;11;76;534;logloc;0;0;0;244;290;0;0;2019-09-30
09066;Brassac;09;76;502;logloc;5;0;0;240;4;0;253;2019-09-30
87083;Laurière;87;75;458;logloc;0;0;0;265;193;0;0;2019-09-30
67272;Lochwiller;67;44;191;logloc;0;0;0;0;0;0;191;2019-09-30
39199;Domblans;39;27;649;logloc;0;0;0;647;2;0;0;2019-09-30
47279;Saint-Sixte;47;75;153;logloc;0;0;0;145;8;0;0;2019-09-30
22109;Lanloup;22;53;264;logloc;0;0;0;263;1;0;0;2019-09-30
56087;Île-aux-Moines;56;53;1816;logloc;0;0;0;394;286;0;1136;2019-09-30
17283;Pons;17;75;3162;logloc;12;0;0;2116;1034;0;0;2019-09-30
65345;Ossun-ez-Angles;65;76;22;logloc;0;0;0;22;0;0;0;2019-09-30
89118;Coulanges-la-Vineuse;89;27;497;logloc;0;0;0;497;0;0;0;2019-09-30
70162;Colombe-lès-Vesoul;70;27;239;logloc;0;0;0;62;177;0;0;2019-09-30
83123;Sanary-sur-Mer;83;93;16876;logloc;0;0;0;8601;1299;0;6976;2019-09-30
24571;Vergt;24;75;904;logloc;0;0;0;476;428;0;0;2019-09-30
40260;Saint-Geours-d'Auribat;40;75;193;logloc;0;0;0;142;51;0;0;2019-09-30
58181;Moraches;58;27;131;logloc;0;0;0;131;0;0;0;2019-09-30
51455;Reims-la-Brûlée;51;44;95;logloc;0;0;0;95;0;0;0;2019-09-30
56090;Inzinzac-Lochrist;56;53;4021;logloc;0;0;0;3344;677;0;0;2019-09-30
