Version beta : les données sont présentées en l’état et ne sont pas toutes fiables, certaines devant encore être améliorées
code_insee;nom_com;code_dep;code_reg;nbr;type;inel_hd;elig_hd05;elig_hd3;elig_hd8;elig_thd30;elig_thd100;elig_thd1g;date
89225;Lichères-sur-Yonne;89;27;66;logloc;0;0;0;66;0;0;0;2019-09-30
45282;Saint-Hilaire-Saint-Mesmin;45;24;1361;logloc;0;0;0;319;115;0;927;2019-09-30
79191;Niort;79;75;40723;logloc;206;0;0;1164;71;0;39282;2019-09-30
60634;Thieux;60;32;198;logloc;0;0;0;2;0;0;196;2019-09-30
28369;Saulnières;28;24;307;logloc;0;0;0;293;14;0;0;2019-09-30
68372;Willer-sur-Thur;68;44;926;logloc;0;0;0;15;25;0;886;2019-09-30
19189;Saint-Bonnet-les-Tours-de-Merle;19;75;52;logloc;0;0;0;52;0;0;0;2019-09-30
89475;Villon;89;27;124;logloc;0;0;0;124;0;0;0;2019-09-30
24289;Montcaret;24;75;803;logloc;0;0;0;608;195;0;0;2019-09-30
74026;La Balme-de-Sillingy;74;84;2501;logloc;0;0;0;1223;1;0;1277;2019-09-30
31001;Agassac;31;76;64;logloc;0;0;0;63;1;0;0;2019-09-30
72079;Chérisay;72;52;145;logloc;0;0;0;143;2;0;0;2019-09-30
74259;Le Sappey;74;84;255;logloc;0;0;0;191;64;0;0;2019-09-30
27447;Le Val-Doré;27;28;409;logloc;0;0;0;381;22;0;6;2019-09-30
86099;Fleuré;86;75;480;logloc;0;0;0;215;265;0;0;2019-09-30
09021;Artix;09;76;68;logloc;0;0;0;68;0;0;0;2019-09-30
14306;Gonneville-en-Auge;14;28;218;logloc;0;0;0;212;2;0;4;2019-09-30
57745;Wiesviller;57;44;481;logloc;0;0;0;45;3;0;433;2019-09-30
39460;La Rixouse;39;27;122;logloc;0;0;0;122;0;0;0;2019-09-30
14362;Lessard-et-le-Chêne;14;28;127;logloc;0;0;0;127;0;0;0;2019-09-30
22132;Lohuec;22;53;194;logloc;0;0;0;194;0;0;0;2019-09-30
69191;Saint-Cyr-au-Mont-d'Or;69;84;3613;logloc;0;0;0;1393;142;739;1339;2019-09-30
81244;Saint-Benoît-de-Carmaux;81;76;1198;logloc;0;0;0;1197;1;0;0;2019-09-30
65301;Marseillan;65;76;131;logloc;0;0;0;131;0;0;0;2019-09-30
65326;Mun;65;76;59;logloc;0;0;0;59;0;0;0;2019-09-30
67389;Reichstett;67;44;2501;logloc;0;0;0;19;0;211;2271;2019-09-30
25583;Valonne;25;27;126;logloc;0;0;0;126;0;0;0;2019-09-30
60210;Épineuse;60;32;120;logloc;0;0;0;0;1;0;119;2019-09-30
53127;Lassay-les-Châteaux;53;52;1848;logloc;1;0;0;1118;477;0;252;2019-09-30
25190;Dampierre-les-Bois;25;27;976;logloc;138;0;0;807;5;0;26;2019-09-30
66219;Urbanya;66;76;100;logloc;0;0;0;100;0;0;0;2019-09-30
79070;La Chapelle-Bâton;79;75;132;logloc;0;0;0;50;82;0;0;2019-09-30
80500;Maisnières;80;32;257;logloc;0;0;0;257;0;0;0;2019-09-30
87066;Flavignac;87;75;560;logloc;0;0;0;520;40;0;0;2019-09-30
72386;Yvré-l'Évêque;72;52;2296;logloc;0;0;0;881;102;0;1313;2019-09-30
52277;Lavilleneuve;52;44;44;logloc;0;0;0;0;44;0;0;2019-09-30
57606;Saint-Avold;57;44;9951;logloc;59;0;0;874;132;330;8556;2019-09-30
02050;Barzy-en-Thiérache;02;32;153;logloc;0;0;0;2;0;0;151;2019-09-30
16026;Balzac;16;75;640;logloc;0;0;0;458;182;0;0;2019-09-30
16138;Fléac;16;75;2256;logloc;0;0;0;975;126;0;1155;2019-09-30
17401;Saint-Séverin-sur-Boutonne;17;75;85;logloc;0;0;0;85;0;0;0;2019-09-30
38076;La Chapelle-de-la-Tour;38;84;834;logloc;0;0;0;834;0;0;0;2019-09-30
88327;Nomexy;88;44;1057;logloc;0;0;0;426;631;0;0;2019-09-30
35210;Pacé;35;53;9398;logloc;4;0;0;4659;398;0;4337;2019-09-30
02543;Neuilly-Saint-Front;02;32;1121;logloc;0;0;0;116;39;0;966;2019-09-30
45115;Courtenay;45;24;2338;logloc;0;0;0;408;38;0;1892;2019-09-30
40219;Payros-Cazautets;40;75;43;logloc;0;0;0;43;0;0;0;2019-09-30
76223;Écalles-Alix;76;28;216;logloc;0;0;0;105;111;0;0;2019-09-30
21446;Moutiers-Saint-Jean;21;27;153;logloc;0;0;0;153;0;0;0;2019-09-30
40122;Haut-Mauco;40;75;425;logloc;0;0;0;402;23;0;0;2019-09-30
02020;Any-Martin-Rieux;02;32;240;logloc;0;0;0;240;0;0;0;2019-09-30
50393;Percy-en-Normandie;50;28;1580;logloc;0;0;0;654;40;0;886;2019-09-30
62418;Hauteville;62;32;136;logloc;0;0;0;136;0;0;0;2019-09-30
80640;Pozières;80;32;141;logloc;0;0;0;12;0;0;129;2019-09-30
78362;Mantes-la-Ville;78;11;10689;logloc;0;0;0;785;28;73;9803;2019-09-30
55378;Nettancourt;55;44;162;logloc;0;0;0;10;0;0;152;2019-09-30
15190;Saint-Hippolyte;15;84;2;logloc;0;0;0;2;0;0;0;2019-09-30
57463;Metz;57;44;80906;logloc;16;0;0;2303;46;10248;68293;2019-09-30
62211;Capelle-Fermont;62;32;89;logloc;0;0;0;0;0;0;89;2019-09-30
31440;Proupiary;31;76;39;logloc;0;0;0;39;0;0;0;2019-09-30
78245;Fontenay-Mauvoisin;78;11;367;logloc;0;0;0;45;322;0;0;2019-09-30
47218;Puysserampion;47;75;145;logloc;0;0;0;145;0;0;0;2019-09-30
74162;Marcellaz;74;84;484;logloc;0;0;0;484;0;0;0;2019-09-30
35068;Châteaubourg;35;53;3130;logloc;0;0;0;2723;407;0;0;2019-09-30
57678;Tressange;57;44;989;logloc;0;0;0;41;94;854;0;2019-09-30
12241;Sainte-Radegonde;12;76;1044;logloc;0;0;0;1044;0;0;0;2019-09-30
36106;Luzeret;36;24;114;logloc;0;0;0;60;54;0;0;2019-09-30
64100;Bassussarry;64;75;1340;logloc;0;0;0;1101;239;0;0;2019-09-30
57043;Ay-sur-Moselle;57;44;741;logloc;0;0;0;29;39;0;673;2019-09-30
10142;Estissac;10;44;978;logloc;0;0;0;640;338;0;0;2019-09-30
71480;Saint-Sernin-du-Plain;71;27;464;logloc;0;0;0;464;0;0;0;2019-09-30
13058;Maussane-les-Alpilles;13;93;1702;logloc;0;0;0;1081;621;0;0;2019-09-30
16351;Saint-Simeux;16;75;292;logloc;0;0;0;292;0;0;0;2019-09-30
67227;Itterswiller;67;44;173;logloc;0;0;0;4;0;0;169;2019-09-30
21659;Vaux-Saules;21;27;102;logloc;0;0;0;102;0;0;0;2019-09-30
64225;Ance Féas;64;75;331;logloc;0;0;0;264;67;0;0;2019-09-30
70439;Raze;70;27;172;logloc;0;0;0;59;113;0;0;2019-09-30
82075;Grisolles;82;76;1934;logloc;0;0;0;996;938;0;0;2019-09-30
02689;Saint-Pierremont;02;32;33;logloc;0;0;0;33;0;0;0;2019-09-30
64012;Ainharp;64;75;8;logloc;0;0;0;8;0;0;0;2019-09-30
19031;Brive-la-Gaillarde;19;75;33771;logloc;12;0;0;14494;3211;0;16054;2019-09-30
76132;Bourdainville;76;28;199;logloc;0;0;0;199;0;0;0;2019-09-30
58310;Villiers-le-Sec;58;27;38;logloc;0;0;0;38;0;0;0;2019-09-30
23147;Nouzerolles;23;75;112;logloc;0;0;0;48;64;0;0;2019-09-30
51539;Sogny-en-l'Angle;51;44;29;logloc;0;0;0;29;0;0;0;2019-09-30
56194;Rieux;56;53;1417;logloc;0;0;0;1231;186;0;0;2019-09-30
01211;Lent;01;84;1181;logloc;0;0;0;1177;4;0;0;2019-09-30
77139;Courtry;77;11;3063;logloc;0;0;0;438;3;0;2622;2019-09-30
88083;Certilleux;88;44;119;logloc;0;0;0;111;8;0;0;2019-09-30
08464;Vaux-lès-Mouron;08;44;56;logloc;0;0;0;56;0;0;0;2019-09-30
58234;Saint-Bonnot;58;27;82;logloc;0;0;0;82;0;0;0;2019-09-30
58006;Anlezy;58;27;187;logloc;0;0;0;84;103;0;0;2019-09-30
16154;Gond-Pontouvre;16;75;4397;logloc;0;0;0;554;11;0;3832;2019-09-30
60380;Mareuil-sur-Ourcq;60;32;599;logloc;0;0;0;398;201;0;0;2019-09-30
62490;Lattre-Saint-Quentin;62;32;140;logloc;0;0;0;4;0;0;136;2019-09-30
88248;Isches;88;44;137;logloc;0;0;0;137;0;0;0;2019-09-30
56209;Sainte-Brigitte;56;53;150;logloc;0;0;0;150;0;0;0;2019-09-30
38103;Chichilianne;38;84;95;logloc;0;0;0;95;0;0;0;2019-09-30
65191;Gazost;65;76;123;logloc;0;0;0;123;0;0;0;2019-09-30
79297;Sainte-Soline;79;75;253;logloc;0;0;0;253;0;0;0;2019-09-30
07124;Lafarre;07;84;61;logloc;0;0;0;61;0;0;0;2019-09-30
78238;Flins-sur-Seine;78;11;1402;logloc;0;0;0;761;3;0;638;2019-09-30
04118;Melve;04;93;42;logloc;0;0;0;21;21;0;0;2019-09-30
64192;Conchez-de-Béarn;64;75;61;logloc;0;0;0;61;0;0;0;2019-09-30
50542;Saint-Pois;50;28;394;logloc;0;0;0;77;24;0;293;2019-09-30
2B161;Moïta;2B;94;129;logloc;0;0;0;0;129;0;0;2019-09-30
22005;Belle-Isle-en-Terre;22;53;736;logloc;0;0;0;381;355;0;0;2019-09-30
21197;Corpoyer-la-Chapelle;21;27;30;logloc;0;0;0;0;30;0;0;2019-09-30
69081;Écully;69;84;11708;logloc;2;0;0;2282;53;1393;7978;2019-09-30
40191;Montaut;40;75;316;logloc;0;0;0;173;143;0;0;2019-09-30
42259;Saint-Martin-la-Plaine;42;84;2096;logloc;3;0;0;1340;0;0;753;2019-09-30
27106;Bournainville-Faverolles;27;28;223;logloc;0;0;0;216;7;0;0;2019-09-30
74104;Doussard;74;84;2611;logloc;0;0;0;2159;258;0;194;2019-09-30
14453;Mosles;14;28;171;logloc;0;0;0;171;0;0;0;2019-09-30
22206;Plouagat;22;53;2017;logloc;0;0;0;1504;513;0;0;2019-09-30
61218;La Lande-Patry;61;28;843;logloc;0;0;0;743;100;0;0;2019-09-30
57686;Vahl-lès-Faulquemont;57;44;117;logloc;0;0;0;117;0;0;0;2019-09-30
14316;Grangues;14;28;234;logloc;4;0;0;198;6;0;26;2019-09-30
51121;Champvoisy;51;44;105;logloc;0;0;0;105;0;0;0;2019-09-30
65297;Mansan;65;76;20;logloc;0;0;0;0;20;0;0;2019-09-30
22199;Pleumeur-Gautier;22;53;683;logloc;0;0;0;410;273;0;0;2019-09-30
16335;Saint-Martin-du-Clocher;16;75;87;logloc;0;0;0;87;0;0;0;2019-09-30
12062;Castelnau-Pégayrols;12;76;314;logloc;0;0;0;129;185;0;0;2019-09-30
60206;Élincourt-Sainte-Marguerite;60;32;476;logloc;0;0;0;13;6;0;457;2019-09-30
48171;Saint-Martin-de-Lansuscle;48;76;56;logloc;0;0;0;56;0;0;0;2019-09-30
80146;Brutelles;80;32;115;logloc;0;0;0;0;113;0;2;2019-09-30
76680;Sorquainville;76;28;82;logloc;0;0;0;82;0;0;0;2019-09-30
16145;Foussignac;16;75;312;logloc;0;0;0;312;0;0;0;2019-09-30
30175;Montclus;30;76;211;logloc;0;0;0;209;2;0;0;2019-09-30
67122;Wangenbourg-Engenthal;67;44;903;logloc;0;0;0;84;4;0;815;2019-09-30
21147;Charny;21;27;33;logloc;0;0;0;33;0;0;0;2019-09-30
08366;Rocquigny;08;44;152;logloc;0;0;0;152;0;0;0;2019-09-30
95604;Survilliers;95;11;1501;logloc;0;0;0;384;66;0;1051;2019-09-30
24574;Veyrignac;24;75;236;logloc;0;0;0;106;130;0;0;2019-09-30
76381;Landes-Vieilles-et-Neuves;76;28;67;logloc;0;0;0;67;0;0;0;2019-09-30
03320;Ygrande;03;84;389;logloc;0;0;0;211;178;0;0;2019-09-30
67252;Kurtzenhouse;67;44;470;logloc;0;0;0;470;0;0;0;2019-09-30
76366;Le Houlme;76;28;2348;logloc;1;0;0;1344;0;0;1003;2019-09-30
11141;Ferran;11;76;73;logloc;0;0;0;73;0;0;0;2019-09-30
18138;Marmagne;18;24;1150;logloc;0;0;0;584;86;0;480;2019-09-30
40132;Labatut;40;75;735;logloc;0;0;0;618;117;0;0;2019-09-30
28016;Les Autels-Villevillon;28;24;139;logloc;0;0;0;139;0;0;0;2019-09-30
48149;Sainte-Eulalie;48;76;65;logloc;0;0;0;65;0;0;0;2019-09-30
50129;Cherbourg-en-Cotentin;50;28;42787;logloc;0;0;0;23686;1761;0;17340;2019-09-30
38410;Saint-Lattier;38;84;625;logloc;0;0;0;443;182;0;0;2019-09-30
35136;Janzé;35;53;3907;logloc;0;0;0;2862;1045;0;0;2019-09-30
42070;Cordelle;42;84;489;logloc;0;0;0;10;0;0;479;2019-09-30
55113;Cheppy;55;44;86;logloc;0;0;0;86;0;0;0;2019-09-30
27436;Nogent-le-Sec;27;28;201;logloc;0;0;0;198;0;0;3;2019-09-30
92035;La Garenne-Colombes;92;11;18593;logloc;0;0;0;533;125;1227;16708;2019-09-30
14402;Le Marais-la-Chapelle;14;28;33;logloc;0;0;0;33;0;0;0;2019-09-30
62281;Echinghen;62;32;152;logloc;0;0;0;152;0;0;0;2019-09-30
64400;Montaut;64;75;581;logloc;0;0;0;571;10;0;0;2019-09-30
01027;Balan;01;84;916;logloc;0;0;0;585;0;0;331;2019-09-30
11393;Tourouzelle;11;76;375;logloc;0;0;0;373;2;0;0;2019-09-30
31233;Grépiac;31;76;432;logloc;0;0;0;432;0;0;0;2019-09-30
02214;Contescourt;02;32;28;logloc;0;0;0;0;0;0;28;2019-09-30
54108;Burthecourt-aux-Chênes;54;44;69;logloc;0;0;0;69;0;0;0;2019-09-30
57289;Hambach;57;44;1297;logloc;0;0;0;235;42;172;848;2019-09-30
43021;Beaulieu;43;84;393;logloc;0;0;0;393;0;0;0;2019-09-30
61089;Champosoult;61;28;77;logloc;0;0;0;72;5;0;0;2019-09-30
02249;Cuiry-Housse;02;32;52;logloc;0;0;0;52;0;0;0;2019-09-30
10397;Vauchonvilliers;10;44;85;logloc;0;0;0;7;78;0;0;2019-09-30
66010;Ayguatébia-Talau;66;76;129;logloc;0;0;0;129;0;0;0;2019-09-30
77032;Beton-Bazoches;77;11;447;logloc;0;0;0;66;380;0;1;2019-09-30
26273;Rochefort-Samson;26;84;473;logloc;0;0;0;473;0;0;0;2019-09-30
29279;Taulé;29;53;1488;logloc;0;0;0;1093;395;0;0;2019-09-30
51422;Pargny-lès-Reims;51;44;223;logloc;0;0;0;52;171;0;0;2019-09-30
68118;Habsheim;68;44;2745;logloc;0;0;0;241;343;946;1215;2019-09-30
08195;Gomont;08;44;153;logloc;0;0;0;1;152;0;0;2019-09-30
24411;Saint-Front-sur-Nizonne;24;75;82;logloc;0;0;0;76;6;0;0;2019-09-30
01260;Le Montellier;01;84;145;logloc;0;0;0;6;0;0;139;2019-09-30
40044;Biaudos;40;75;438;logloc;0;0;0;329;109;0;0;2019-09-30
53195;Sacé;53;52;233;logloc;0;0;0;189;0;0;44;2019-09-30
40006;Arengosse;40;75;398;logloc;0;0;0;209;189;0;0;2019-09-30
80206;Contalmaison;80;32;58;logloc;0;0;0;8;0;0;50;2019-09-30
79095;Clussais-la-Pommeraie;79;75;390;logloc;0;0;0;327;63;0;0;2019-09-30
30092;Connaux;30;76;883;logloc;0;0;0;484;399;0;0;2019-09-30
12305;Viviez;12;76;892;logloc;0;0;0;883;2;0;7;2019-09-30
61150;Échauffour;61;28;492;logloc;0;0;0;335;157;0;0;2019-09-30
62456;Houchin;62;32;333;logloc;0;0;0;44;0;0;289;2019-09-30
21561;Saint-Martin-du-Mont;21;27;234;logloc;0;0;0;234;0;0;0;2019-09-30
21413;Millery;21;27;214;logloc;0;0;0;214;0;0;0;2019-09-30
25418;Nancray;25;27;699;logloc;0;0;0;699;0;0;0;2019-09-30
54152;Damelevières;54;44;1517;logloc;0;0;0;1335;182;0;0;2019-09-30
01209;Léaz;01;84;439;logloc;0;0;0;153;0;0;286;2019-09-30
21312;Gurgy-la-Ville;21;27;36;logloc;0;0;0;36;0;0;0;2019-09-30
40329;Le Vignau;40;75;234;logloc;0;0;0;160;74;0;0;2019-09-30
16275;Ranville-Breuillaud;16;75;120;logloc;0;0;0;120;0;0;0;2019-09-30
77379;Provins;77;11;7004;logloc;1;0;0;11;577;0;6415;2019-09-30
26123;Establet;26;84;0;logloc;0;0;0;0;0;0;0;2019-09-30
36031;Buzançais;36;24;2750;logloc;0;0;0;36;25;0;2689;2019-09-30
2B297;San-Damiano;2B;94;29;logloc;0;0;0;29;0;0;0;2019-09-30
09125;Fougax-et-Barrineuf;09;76;390;logloc;0;0;0;390;0;0;0;2019-09-30
51301;Isse;51;44;74;logloc;0;0;0;74;0;0;0;2019-09-30
09322;Ustou;09;76;1358;logloc;0;0;0;1237;121;0;0;2019-09-30
39302;Louvatange;39;27;53;logloc;0;0;0;53;0;0;0;2019-09-30
42284;Saint-Romain-la-Motte;42;84;710;logloc;0;0;0;19;0;0;691;2019-09-30
37154;Montbazon;37;24;2272;logloc;0;0;0;1998;274;0;0;2019-09-30
55080;Brixey-aux-Chanoines;55;44;69;logloc;0;0;0;69;0;0;0;2019-09-30
80545;Mézières-en-Santerre;80;32;237;logloc;0;0;0;106;131;0;0;2019-09-30
07037;Borée;07;84;36;logloc;0;0;0;36;0;0;0;2019-09-30
27136;Chaignes;27;28;131;logloc;0;0;0;86;45;0;0;2019-09-30
66197;Souanyas;66;76;42;logloc;0;0;0;42;0;0;0;2019-09-30
62659;Planques;62;32;53;logloc;0;0;0;52;0;0;1;2019-09-30
31128;Caujac;31;76;373;logloc;0;0;0;369;4;0;0;2019-09-30
59111;Broxeele;59;32;177;logloc;0;0;0;28;0;0;149;2019-09-30
80511;Marestmontiers;80;32;52;logloc;0;0;0;52;0;0;0;2019-09-30
51017;Arzillières-Neuville;51;44;146;logloc;0;0;0;146;0;0;0;2019-09-30
89147;Dracy;89;27;196;logloc;0;0;0;113;83;0;0;2019-09-30
76227;Ectot-l'Auber;76;28;243;logloc;0;0;0;157;86;0;0;2019-09-30
14375;Les Loges-Saulces;14;28;71;logloc;0;0;0;71;0;0;0;2019-09-30
23181;Saint-Amand-Jartoudeix;23;75;184;logloc;0;0;0;93;91;0;0;2019-09-30
57340;Hundling;57;44;636;logloc;0;0;0;56;7;58;515;2019-09-30
46149;Lamagdelaine;46;76;501;logloc;0;0;0;323;178;0;0;2019-09-30
18156;Morogues;18;24;334;logloc;0;0;0;334;0;0;0;2019-09-30
52072;Brethenay;52;44;247;logloc;0;0;0;247;0;0;0;2019-09-30
40086;Coudures;40;75;250;logloc;0;0;0;105;145;0;0;2019-09-30
31485;Saint-Germier;31;76;42;logloc;0;0;0;41;1;0;0;2019-09-30
30044;Bonnevaux;30;76;37;logloc;0;0;0;10;27;0;0;2019-09-30
09159;Lassur;09;76;74;logloc;0;0;0;1;73;0;0;2019-09-30
36111;Malicornay;36;24;144;logloc;0;0;0;95;49;0;0;2019-09-30
89337;Saint-Bris-le-Vineux;89;27;776;logloc;0;0;0;776;0;0;0;2019-09-30
32061;Boulaur;32;76;46;logloc;0;0;0;46;0;0;0;2019-09-30
2B346;Vescovato;2B;94;1293;logloc;0;0;0;1103;190;0;0;2019-09-30
78269;Gazeran;78;11;744;logloc;0;0;0;39;0;0;705;2019-09-30
91376;Marolles-en-Hurepoix;91;11;2642;logloc;0;0;0;1866;776;0;0;2019-09-30
31327;Mauran;31;76;107;logloc;0;0;0;107;0;0;0;2019-09-30
78413;Mondreville;78;11;178;logloc;0;0;0;178;0;0;0;2019-09-30
15052;Collandres;15;84;43;logloc;0;0;0;5;38;0;0;2019-09-30
83050;Draguignan;83;93;24717;logloc;84;0;0;17240;1562;0;5831;2019-09-30
41034;Chambord;41;24;81;logloc;0;0;0;81;0;0;0;2019-09-30
34281;Saint-Pargoire;34;76;1239;logloc;0;0;0;504;735;0;0;2019-09-30
42001;Aboën;42;84;273;logloc;0;0;0;3;0;0;270;2019-09-30
27266;Franqueville;27;28;134;logloc;0;0;0;134;0;0;0;2019-09-30
81317;Villefranche-d'Albigeois;81;76;590;logloc;0;0;0;352;238;0;0;2019-09-30
25102;Burnevillers;25;27;20;logloc;0;0;0;20;0;0;0;2019-09-30
31403;Ondes;31;76;351;logloc;0;0;0;350;1;0;0;2019-09-30
76640;Saint-Pierre-lès-Elbeuf;76;28;4554;logloc;0;0;0;2924;1;0;1629;2019-09-30
55188;Flassigny;55;44;30;logloc;0;0;0;30;0;0;0;2019-09-30
36050;Chezelles;36;24;206;logloc;0;0;0;68;138;0;0;2019-09-30
05053;Garde-Colombe;05;93;415;logloc;0;0;0;288;127;0;0;2019-09-30
62258;Croisette;62;32;129;logloc;0;0;0;99;30;0;0;2019-09-30
50229;Hamelin;50;28;77;logloc;0;0;0;77;0;0;0;2019-09-30
49003;Tuffalun;49;52;869;logloc;0;0;0;637;232;0;0;2019-09-30
82134;Nègrepelisse;82;76;2503;logloc;0;0;0;1997;506;0;0;2019-09-30
38374;Saint-Chef;38;84;1550;logloc;0;0;0;1381;169;0;0;2019-09-30
60204;Écuvilly;60;32;135;logloc;0;0;0;4;1;0;130;2019-09-30
80062;Beaucamps-le-Vieux;80;32;720;logloc;0;0;0;474;246;0;0;2019-09-30
70262;Genevreuille;70;27;81;logloc;0;0;0;12;69;0;0;2019-09-30
22158;Guerlédan;22;53;1537;logloc;0;0;0;784;638;0;115;2019-09-30
87052;La Croix-sur-Gartempe;87;75;150;logloc;0;0;0;87;63;0;0;2019-09-30
09097;Clermont;09;76;88;logloc;0;0;0;88;0;0;0;2019-09-30
03178;Montaiguët-en-Forez;03;84;224;logloc;0;0;0;91;133;0;0;2019-09-30
30040;Blandas;30;76;107;logloc;0;0;0;107;0;0;0;2019-09-30
50004;Airel;50;28;273;logloc;0;0;0;273;0;0;0;2019-09-30
59086;Boeschepe;59;32;1051;logloc;9;3;0;1034;1;0;4;2019-09-30
70555;La Villedieu-en-Fontenette;70;27;93;logloc;0;0;0;0;93;0;0;2019-09-30
62870;Wailly-Beaucamp;62;32;434;logloc;0;0;0;294;139;0;1;2019-09-30
60477;Ons-en-Bray;60;32;685;logloc;0;0;0;16;0;0;669;2019-09-30
38097;Chavanoz;38;84;1294;logloc;0;0;0;1294;0;0;0;2019-09-30
02166;Chartèves;02;32;194;logloc;0;0;0;14;180;0;0;2019-09-30
54015;Anderny;54;44;101;logloc;0;0;0;101;0;0;0;2019-09-30
21645;Trouhans;21;27;282;logloc;0;0;0;62;220;0;0;2019-09-30
59660;Willems;59;32;1523;logloc;0;0;0;675;0;0;848;2019-09-30
38182;Le Grand-Lemps;38;84;1144;logloc;0;0;0;504;77;0;563;2019-09-30
65404;Sariac-Magnoac;65;76;96;logloc;0;0;0;96;0;0;0;2019-09-30
76565;Saint-Aubin-sur-Scie;76;28;979;logloc;0;0;0;978;1;0;0;2019-09-30
52269;Langres;52;44;5061;logloc;0;0;0;3376;1685;0;0;2019-09-30
2B214;Piano;2B;94;44;logloc;0;0;0;44;0;0;0;2019-09-30
50588;Tamerville;50;28;326;logloc;0;0;0;326;0;0;0;2019-09-30
18257;Sury-près-Léré;18;24;399;logloc;0;0;0;399;0;0;0;2019-09-30
65329;Nistos;65;76;213;logloc;0;0;0;155;58;0;0;2019-09-30
67450;Schirrhoffen;67;44;308;logloc;0;0;0;308;0;0;0;2019-09-30
15182;Saint-Étienne-Cantalès;15;84;95;logloc;0;0;0;95;0;0;0;2019-09-30
08435;Tagnon;08;44;408;logloc;0;0;0;122;286;0;0;2019-09-30
71439;Saint-Léger-lès-Paray;71;27;329;logloc;0;0;0;216;113;0;0;2019-09-30
31031;Ausson;31;76;328;logloc;0;0;0;328;0;0;0;2019-09-30
76088;Berville-sur-Seine;76;28;237;logloc;0;0;0;221;16;0;0;2019-09-30
25087;Branne;25;27;103;logloc;0;0;0;21;0;0;82;2019-09-30
26372;Vers-sur-Méouge;26;84;0;logloc;0;0;0;0;0;0;0;2019-09-30
14229;Dozulé;14;28;1173;logloc;0;0;0;507;609;0;57;2019-09-30
49045;La Breille-les-Pins;49;52;286;logloc;0;0;0;286;0;0;0;2019-09-30
88291;Martinvelle;88;44;105;logloc;0;0;0;6;99;0;0;2019-09-30
71428;Saint-Igny-de-Roche;71;27;158;logloc;0;0;0;158;0;0;0;2019-09-30
28142;Ermenonville-la-Petite;28;24;97;logloc;0;0;0;14;83;0;0;2019-09-30
70067;Betoncourt-lès-Brotte;70;27;53;logloc;0;0;0;53;0;0;0;2019-09-30
65099;Bordères-Louron;65;76;222;logloc;0;0;0;222;0;0;0;2019-09-30
14500;Pierrefitte-en-Auge;14;28;166;logloc;0;0;0;143;0;0;23;2019-09-30
33181;Gardegan-et-Tourtirac;33;75;168;logloc;0;0;0;165;3;0;0;2019-09-30
41047;La Chaussée-Saint-Victor;41;24;2970;logloc;0;0;0;1058;1;0;1911;2019-09-30
02401;Laigny;02;32;110;logloc;0;0;0;44;66;0;0;2019-09-30
28030;Beauche;28;24;152;logloc;0;0;0;152;0;0;0;2019-09-30
42025;Boyer;42;84;92;logloc;0;0;0;13;0;0;79;2019-09-30
