Nom structure;Adresse;Code postal;Département;Ville;Année(s) subvention Région;Montant subvention 2000;Montant subvention 2001;Montant subvention 2002;Montant subvention 2003;Montant subvention 2004;Montant subvention 2005;Montant subvention 2006;Montant subvention 2007;Montant subvention 2008;Montant subvention 2009;Montant subvention 2010;Montant subvention 2011;Montant subvention 2012;Montant subvention 2013;wgs84
MÉDIATHÈQUE SAINT-JOHN PERSE;2 rue Édouard Poisson;93300;93;AUBERVILLIERS;;;;;;;;;;;;;;;;48.9104747,2.385008
MÉDIATHÈQUE GEORGES PÉREC;8-10 rue du Marqis de Raies;91080;91;COURCOURONNES;;;;;;;;;;;;;;;;48.6293899,2.4135832
MÉDIATHÈQUE LES MUSES;101 rue de la Division Leclerc;91310;91;LINAS;;;;;;;;;;;;;;;;48.6305113,2.2650636
MÉDIATHÈQUE MUNICIPALE;2 route de la Creusée;91530;91;LE-VAL-SAINT-GERMAIN;;;;;;;;;;;;;;;;48.5657217,2.0601725
BIBLIOTHÈQUE LE GRENIER;5 place des Droits de l'Homme;91800;91;BOUSSY-SAINT-ANTOINE;;;;;;;;;;;;;;;;48.6891076,2.5297452
MÉDIATHÈQUE MUNICIPALE ELSA TRIOLET;1 esplanade Pierre-Yves Cosnier;94800;94;VILLEJUIF;"Subvention Région 2002 ; Subvention Région 2005";;;954363;;;354117;;;;;;;;;48.792716,2.359279
L'ECHO;53 avenue de Fontainebleau;94270;94;LE-KREMLIN-BICETRE;Subvention Région 2007;;;;;;;;1072029;;;;;;;48.8125976,2.361918
BIBLIOTHÈQUE MUNICIPALE GUY DE MAUPASSANT;121 rue Paul Doumer;78510;78;TRIEL-SUR-SEINE;;;;;;;;;;;;;;;;48.9794406,2.0040116
BIBLIOTHÈQUE INTERCOMMUNALE AIMÉ CÉSAIRE;1 place Victor Hugo;95400;95;VILLIERS-LE-BEL;;;;;;;;;;;;;;;;48.995181,2.4114545
MÉDIATHÈQUE MUNICIPALE;17 rue des Grands Prés;77750;77;ORLY-SUR-MORIN;;;;;;;;;;;;;;;;48.9044901,3.2293493
BIBLIOTHÈQUE MUNICIPALE JEAN STERLIN;31-33 avenue Jean Jaurès;77360;77;VAIRES-SUR-MARNE;;;;;;;;;;;;;;;;48.8732157,2.6372418
BIBLIOTHÈQUE MUNICIPALE;1 rue Jules Ferry;77174;77;VILLENEUVE-LE-COMTE;;;;;;;;;;;;;;;;48.8120728,2.8273782
BIBLIOTHÈQUE MUNICIPALE;97 Grande Rue;91490;91;ONCY-SUR-ECOLE;;;;;;;;;;;;;;;;48.3826612,2.4740792
BIBLIOTHÈQUE MONMOUSSEAU;17 avenue Gaston Monmousseau;94200;94;IVRY-SUR-SEINE;;;;;;;;;;;;;;;;48.8050449,2.3811945
BIBLIOTHÈQUE MUNICIPALE DE LA PLÉIADE;Mairie - Rue des Près;91340;91;OLLAINVILLE;;;;;;;;;;;;;;;;48.590985,2.21856
BIBLIOTHÈQUE;28 rue Martin IV;77390;77;ANDREZEL;;;;;;;;;;;;;;;;48.6113635,2.8128508
MÉDIATHÈQUE ÉDOUARD GLISSANT;1-5 place de la Libération;93150;93;LE-BLANC-MESNIL;;;;;;;;;;;;;;;;48.9838793,2.4284816
BIBLIOTHÈQUE ISLE SAINT LOUIS;21 rue Saint-Louis-en-l'Isle;75004;75;PARIS;;;;;;;;;;;;;;;;48.8514761,2.3573883
BIBLIOTHÈQUE MUNICIPALE DU CHÂTEAU;282 avenue de la Bretechelle;78370;78;PLAISIR;;;;;;;;;;;;;;;;48.8165131,1.9544954
MÉDIATHÈQUE DE FRONTENAC;Rue Sainte-Anne;78760;78;JOUARS-PONTCHARTRAIN;;;;;;;;;;;;;;;;48.8008282,1.8999345
BIBLIOTHÈQUE GEORGE SAND;21 rue Henri Thirard;94240;94;L'HAY-LES-ROSES;;;;;;;;;;;;;;;;48.7783104,2.3453448
BIBLIOTHÈQUE MUNICIPALE JEUNESSE;Centre social André Joly - 1 place du Jumelage;78170;78;LA-CELLE-SAINT-CLOUD;;;;;;;;;;;;;;;;48.844886,2.1328572
