CODGEO;P17_POP0205;P17_POP0610;P17_POP1114;P17_POP1517;P17_POP1824;P17_POP2529;P17_POP30P;P17_SCOL0205;P17_SCOL0610;P17_SCOL1114;P17_SCOL1517;P17_SCOL1824;P17_SCOL2529;P17_SCOL30P;P17_H0205;P17_H0610;P17_H1114;P17_H1517;P17_H1824;P17_H2529;P17_H30P;P17_HSCOL0205;P17_HSCOL0610;P17_HSCOL1114;P17_HSCOL1517;P17_HSCOL1824;P17_HSCOL2529;P17_HSCOL30P;P17_F0205;P17_F0610;P17_F1114;P17_F1517;P17_F1824;P17_F2529;P17_F30P;P17_FSCOL0205;P17_FSCOL0610;P17_FSCOL1114;P17_FSCOL1517;P17_FSCOL1824;P17_FSCOL2529;P17_FSCOL30P;P17_NSCOL15P;P17_NSCOL15P_DIPLMIN;P17_NSCOL15P_BEPC;P17_NSCOL15P_CAPBEP;P17_NSCOL15P_BAC;P17_NSCOL15P_SUP2;P17_NSCOL15P_SUP34;P17_NSCOL15P_SUP5;P17_HNSCOL15P;P17_HNSCOL15P_DIPLMIN;P17_HNSCOL15P_BEPC;P17_HNSCOL15P_CAPBEP;P17_HNSCOL15P_BAC;P17_HNSCOL15P_SUP2;P17_HNSCOL15P_SUP34;P17_HNSCOL15P_SUP5;P17_FNSCOL15P;P17_FNSCOL15P_DIPLMIN;P17_FNSCOL15P_BEPC;P17_FNSCOL15P_CAPBEP;P17_FNSCOL15P_BAC;P17_FNSCOL15P_SUP2;P17_FNSCOL15P_SUP34;P17_FNSCOL15P_SUP5
97501;20.8238255033557;37.6812080536913;23.7986577181208;25.7818791946309;28.756711409396;25.7818791946309;414.493288590604;15.8657718120805;37.6812080536913;23.7986577181208;24.7902684563758;5.9496644295302;0;4.95805369127517;8.92449664429531;19.8322147651007;12.8909395973154;12.8909395973154;18.8406040268456;9.91610738255034;201.296979865772;5.9496644295302;19.8322147651007;12.8909395973154;11.8993288590604;1.98322147651007;0;0.991610738255034;11.8993288590604;17.8489932885906;10.9077181208054;12.8909395973154;9.91610738255034;15.8657718120805;213.196308724832;9.91610738255034;17.8489932885906;10.9077181208054;12.8909395973154;3.96644295302014;0;3.96644295302014;459.115771812081;194.355704697987;26.7734899328859;149.73322147651;57.513422818792;9.91610738255034;14.8741610738255;5.9496644295302;228.070469798658;92.2197986577182;13.8825503355705;85.2785234899329;27.765100671141;4.95805369127517;2.9748322147651;0.991610738255034;231.045302013423;102.135906040269;12.8909395973154;64.4546979865772;29.748322147651;4.95805369127517;11.8993288590604;4.95805369127517
97502;230.739829798;377.574266942183;279.684642179394;227.743208631793;255.712795392804;244.726306993114;3679.94284063509;195.779249525576;367.58552972149;273.691399846979;223.747713743516;65.9256656565716;3.99549488827706;20.9763481634546;114.870478037966;184.791638582814;140.841194811767;119.864846648312;138.8445699107;129.855828955149;1766.04466199677;94.8930035965803;179.797269972468;137.844573645559;118.865972926243;31.9639591062165;1.99774744413853;9.98873722069266;115.869351760035;192.782628359368;138.843447367628;107.878361983481;116.868225482104;114.870478037966;1913.89817863832;100.886245928996;187.788259749022;135.84682620142;104.881740817273;33.961706550355;1.99774744413853;10.9876109427619;4093.47992920098;983.955723736412;329.635063541291;1197.66081819177;705.211583039335;348.609174088318;328.632822190005;199.774744413853;1991.79349081364;429.535906265083;148.834429674465;635.290422494486;350.610289161673;175.802897627263;150.833299661676;100.886245928996;2101.68643838734;554.419817471329;180.800633866826;562.370395697285;354.601293877662;172.806276461055;177.799522528329;98.8884984848573
97701;417;516;382;246;757;960;6487;304;509;377;222;126;13;31;206;277;206;114;388;522;3468;143;273;202;100;47;9;13;211;239;176;132;369;438;3019;161;236;175;122;79;4;18;8058;1684;513;1822;1727;995;696;621;4323;924;270;1215;852;452;312;298;3735;760;243;607;875;543;384;323
97801;2274.28197837836;3054.6953169213;2666.11173822395;1942.57740653101;2459.1398476914;2086.26863604646;19882.5292565343;1751.47659984877;3034.01714591346;2649.53160382548;1841.2320824898;543.321062382847;22.4362836938518;104.382581275385;1214.7950290632;1703.74924422255;1362.1459598311;1044.71352226292;1247.79546043605;871.157480178591;8905.84502170931;902.844454496656;1691.56966687604;1351.61870583907;975.973095755044;246.022416510585;7.47801044922746;32.0579833164623;1059.48694931516;1350.94607269874;1303.96577839285;897.863884268094;1211.34438725536;1215.11115586787;10976.684234825;848.632145352112;1342.44747903743;1297.91289798641;865.25898673476;297.298645872262;14.9582732446243;72.3245979589227;23859.1431369613;9538.9609769077;1453.59573278847;5148.25762571959;4060.7704841208;1552.31682691605;1227.03687967458;878.204610834091;10807.9799785556;4069.27133328795;627.4499281731;2734.79066377362;1819.63182144707;718.736346740718;471.980297176506;366.119587956596;13051.1631584057;5469.68964361975;826.14580461537;2413.46696194597;2241.13866267373;833.580480175328;755.056582498076;512.085022877495
