CODGEO;P16_POP1564;P16_POP1524;P16_POP2554;P16_POP5564;P16_H1564;P16_H1524;P16_H2554;P16_H5564;P16_F1564;P16_F1524;P16_F2554;P16_F5564;P16_ACT1564;P16_ACT1524;P16_ACT2554;P16_ACT5564;P16_HACT1564;P16_HACT1524;P16_HACT2554;P16_HACT5564;P16_FACT1564;P16_FACT1524;P16_FACT2554;P16_FACT5564;P16_ACTOCC1564;P16_ACTOCC1524;P16_ACTOCC2554;P16_ACTOCC5564;P16_HACTOCC1564;P16_HACTOCC1524;P16_HACTOCC2554;P16_HACTOCC5564;P16_FACTOCC1564;P16_FACTOCC1524;P16_FACTOCC2554;P16_FACTOCC5564;P16_CHOM1564;P16_HCHOM1564;P16_HCHOM1524;P16_HCHOM2554;P16_HCHOM5564;P16_FCHOM1564;P16_FCHOM1524;P16_FCHOM2554;P16_FCHOM5564;P16_INACT1564;P16_ETUD1564;P16_RETR1564;P16_AINACT1564;C16_ACT1564;C16_ACT1564_CS1;C16_ACT1564_CS2;C16_ACT1564_CS3;C16_ACT1564_CS4;C16_ACT1564_CS5;C16_ACT1564_CS6;C16_ACTOCC1564;C16_ACTOCC1564_CS1;C16_ACTOCC1564_CS2;C16_ACTOCC1564_CS3;C16_ACTOCC1564_CS4;C16_ACTOCC1564_CS5;C16_ACTOCC1564_CS6;P16_EMPLT;P16_ACTOCC;P16_POP15P;P16_ACT15P;P16_EMPLT_SAL;P16_EMPLT_FSAL;P16_EMPLT_SALTP;P16_EMPLT_NSAL;P16_EMPLT_FNSAL;P16_EMPLT_NSALTP;C16_EMPLT;C16_EMPLT_CS1;C16_EMPLT_CS2;C16_EMPLT_CS3;C16_EMPLT_CS4;C16_EMPLT_CS5;C16_EMPLT_CS6;C16_EMPLT_AGRI;C16_EMPLT_INDUS;C16_EMPLT_CONST;C16_EMPLT_CTS;C16_EMPLT_APESAS;C16_EMPLT_F;C16_AGRILT_F;C16_INDUSLT_F;C16_CONSTLT_F;C16_CTSLT_F;C16_APESASLT_F;C16_EMPLT_SAL;C16_AGRILT_SAL;C16_INDUSLT_SAL;C16_CONSTLT_SAL;C16_CTSLT_SAL;C16_APESASLT_SAL;C16_AGRILT_FSAL;C16_INDUSLT_FSAL;C16_CONSTLT_FSAL;C16_CTSLT_FSAL;C16_APESASLT_FSAL;C16_AGRILT_NSAL;C16_INDUSLT_NSAL;C16_CONSTLT_NSAL;C16_CTSLT_NSAL;C16_APESASLT_NSAL;C16_AGRILT_FNSAL;C16_INDUSLT_FNSAL;C16_CONSTLT_FNSAL;C16_CTSLT_FNSAL;C16_APESASLT_FNSAL
97501;391;55;253;83;193;32;119;42;198;23;134;41;299;21;234;44;155;15;116;24;144;6;118;20;269;16;212;41;144;12;109;23;125;4;103;18;30;11;3;7;1;19;2;15;2;92;31;28;33;299;3;14;11;53;121;95;269;3;14;10;52;109;81;271;274;499;304;248;115;41;23;13;5;271;5;17;11;49;106;83;23;38;22;84;104;128;7;11;2;59;49;249;18;38;19;71;103;6;11;2;49;48;5;0;3;13;1;1;0;0;10;1
97502;3560;484;2333;743;1801;259;1154;388;1759;225;1179;355;2835;194;2219;422;1466;109;1117;240;1369;85;1102;182;2666;154;2110;402;1369;79;1061;229;1297;75;1049;173;169;97;30;56;11;72;10;53;9;725;275;263;187;2835;3;189;431;657;1000;543;2666;3;180;427;641;943;472;2693;2700;4413;2869;2457;1224;288;236;86;23;2694;3;191;429;646;951;474;21;100;190;1022;1361;1311;2;31;15;474;789;2479;17;85;154;872;1351;2;26;14;410;784;4;15;36;150;10;0;5;1;64;5
97701;7384.62129639108;986.853004401679;5276.60797192934;1121.16032006005;4000.76166103661;493.893882007711;2895.0070460982;611.860732930699;3383.85963535447;492.959122393967;2381.60092583114;509.299587129355;6453.63627006062;692.697103081175;4958.8567634581;802.082403521343;3658.67661309585;367.981574367898;2807.37709420957;483.317944518374;2794.95965696477;324.715528713277;2151.47966924853;318.764459002969;6182.94570125454;648.431057426553;4778.95924750628;755.555396321698;3532.60477019142;337.487187361381;2743.57129695977;451.54628587027;2650.34093106311;310.943870065172;2035.38795054651;304.009110451428;270.690568806087;126.071842904426;30.4943870065172;63.8057972498038;31.7716586481045;144.618725901662;13.7716586481045;116.091718702017;14.7553485515406;930.985026330456;274.482103251783;167.64216740028;488.860755678393;6434.89672546946;34.4291466202614;1362.41051625892;457.497355580578;1166.97734329682;1874.10766483548;1529.63779984304;6164.38200202455;34.4291466202614;1347.65516770737;432.905107994677;1132.54819667656;1741.30952787161;1475.53485515406;6316.6828973304;6297.07004014968;8306.33466407343;6567.76060895577;4207.629361225;1935.44843854372;310.37923263417;2109.0535361054;794.047968039771;235.928702584319;6334.49300407822;29.5106971030812;1369.94521055077;457.841095072074;1157.59688621206;1813.91531496108;1505.68380017916;34.4291466202614;373.88792398717;1193.16106994201;4060.80727682937;672.207586699419;2758.70822264755;0;135.3158322445;73.776742757703;2133.91892774489;415.696719900455;4629.60392346229;14.7553485515406;263.195519691185;698.764738377642;3099.13127096892;553.757045872996;0;86.1313370726982;49.184495171802;1752.70151539453;376.349123763013;19.6737980687208;110.692404295984;494.396331564365;961.676005860444;118.450540826424;0;49.184495171802;24.592247585901;381.217412350361;39.3475961374416
97801;23604.8519818695;4429.90733841691;15409.1229692531;3765.8216741995;10786.7153114073;2307.21585216345;6645.098148173;1834.4013110709;12818.1366704622;2122.69148625346;8764.02482108013;1931.4203631286;17750.1015564851;1792.70103528593;13375.7350224219;2581.66549877722;8311.20873017591;927.464021607911;6006.551382907;1377.193325661;9438.89282630916;865.23701367802;7369.18363951492;1204.47217311622;11500.9750905358;789.968634746173;8911.08592812129;1799.9205276683;5850.52332405249;399.423737164184;4428.41416753006;1022.68541935825;5650.45176648327;390.544897581989;4482.67176059123;777.235108310052;6249.12646594931;2460.68540612342;528.040284443727;1578.13721537695;354.507906302749;3788.44105982589;474.692116096031;2886.51187892369;427.237064806166;5854.75042538446;2293.89096139481;475.927077209471;3084.93238678018;17731.8394495284;42.6965480589445;2198.4264091732;967.896397042352;2631.59728283153;6361.82885200598;3501.14881764264;11489.7129393973;30.1627266071117;1906.74042919691;891.998341791591;2189.49664459998;4165.42768353417;2305.88711366749;10723.8945496842;11770.4091118125;26304.000237102;18075.6681028714;8230.5729644696;4449.87127574368;1341.27043545871;2493.32158521455;800.621320132581;319.08796739953;10797.4130023855;32.659526134597;1867.48332606698;867.342593023916;2046.74589056296;3803.22741892898;2179.9542476681;32.002069781187;575.330268332964;885.821712593502;6136.67382845912;3167.58512321875;5271.13126904227;2.50483183559267;158.917204899786;58.1885024398045;2971.62146304344;2079.89926682364;8536.3017781421;8.48813996940181;442.71778308202;477.598498697797;4623.12225577092;2984.37510062196;2.50483183559267;117.679168146274;45.5724621268836;2461.60245112544;1975.75995963851;23.5139298117852;132.612485250945;408.223213895705;1513.5515726882;183.210022596792;0;41.2380367535118;12.6160403129209;510.019011918002;104.139307185136
