CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP001001;6056;7886;40490;Bourg-en-Bresse;54,3;37,3;33,1;22,3;26,4;1,4;44,3;;23,5;22,3;1894;4595;328;817;170;579;253;124;49;1945;324;323;500;365;263;170;0
QP001002;1830;7886;40490;Bourg-en-Bresse;49,3;31,9;30,5;24,2;;1,1;54,4;;30,4;32,1;725;1461;107;409;72;137;57;23;;521;96;92;133;93;58;49;0
QP001003;1807;1807;9635;Saint-Genis-Pouilly;50,3;35;33,5;13,3;13,9;2,2;37,3;3,9;27,5;25,8;279;719;57;116;15;91;40;12;;330;52;54;91;67;50;16;0
QP001004;1378;1378;9236;Ferney-Voltaire;55,3;40,9;38,9;15,8;16,7;2,2;32;7,4;23,6;24,7;279;730;56;120;17;86;43;;;347;32;52;89;78;60;36;0
QP001005;1677;1677;14359;Ambérieu-en-Bugey;52,3;43,9;42,1;;;3,2;32,2;2,5;23,5;23;497;1251;118;187;43;149;66;28;;561;72;99;147;110;74;59;0
QP001006;4467;4467;22258;Oyonnax;53,4;41,1;39,1;18,5;18,8;1,9;25;6,4;36;35,4;1257;3584;219;388;156;494;251;40;;1675;204;249;461;383;236;142;0
QP001007;1034;1034;3646;Bellignat;51,7;41,7;41,6;12,1;11,7;3;35,2;4,1;30,4;30,7;318;847;55;113;33;117;52;17;;382;59;63;108;87;39;26;0
QP001008;1012;1012;8909;Belley;52,3;42,5;40,3;16,4;16,9;2,2;41,5;5,7;28,7;27,9;262;737;38;97;26;101;51;14;;349;60;55;96;72;41;25;0
QP001009;1092;1092;7074;Montluel;50,1;38,8;39,3;15,2;15,6;1,9;36,8;5,7;20,8;20,7;272;672;28;118;40;86;44;13;;273;43;48;75;57;30;20;0
QP002001;6059;12277;55698;Saint-Quentin;57,1;34,8;31,1;28,3;32,4;1;46,6;2,9;13,1;12,7;2043;4579;482;978;178;405;168;125;;1940;280;304;499;361;259;237;0
QP002002;2763;12277;55698;Saint-Quentin;53,4;38,3;33,7;17,9;21,3;1,7;46,5;;6;5,2;907;1833;183;477;87;160;59;106;75;686;103;101;173;129;99;81;0
QP002003;1705;12277;55698;Saint-Quentin;59,1;36,5;32,2;23,3;26,9;1,2;46,5;0,9;3,2;3,4;628;1292;167;288;54;119;33;51;;501;78;98;133;82;53;57;0
QP002004;1750;12277;55698;Saint-Quentin;54,2;40,3;40,2;;;1,8;39;;9,2;;671;1411;130;331;60;150;54;66;;533;99;104;136;97;55;42;0
QP002005;1606;2600;9346;Hirson;51,4;34,6;33,2;22,3;26,6;1,3;47;2;2,8;1,9;505;1104;108;239;55;103;35;33;5;442;60;65;115;84;65;53;0
QP002006;994;2600;9346;Hirson;52,1;34,7;32,5;23,5;26,8;1,2;47,3;3,9;1,2;0,6;288;595;49;154;28;57;20;30;;224;29;41;51;44;35;24;0
QP002007;1311;1311;2915;La Fère;55;44,2;41,2;14,4;17,6;2,5;39;4,9;3,6;3,5;436;980;116;188;49;83;35;38;;421;50;74;111;76;57;53;0
QP002008;1315;1315;13938;Tergnier;54,7;45,5;47,7;;;;44,7;;;;384;830;83;189;32;80;32;36;;332;53;57;75;65;50;32;0
QP002009;1823;1823;11874;Chauny;53,6;39,5;35,9;;;2;39,1;4,3;5;;809;1591;194;437;66;112;39;49;;607;87;101;137;137;79;66;0
QP002010;1376;5772;25219;Laon;54,4;34,7;30,7;24,8;29,2;1,1;57,1;;7,4;6;598;1277;126;299;49;124;52;38;;510;80;80;121;107;77;45;0
QP002011;4396;5772;25219;Laon;53,3;43,4;39,2;16,7;20,7;2,1;39,6;4,4;10,7;10,3;1461;3338;378;658;115;310;120;144;;1444;236;252;348;241;191;176;0
QP002012;2275;8829;28472;Soissons;57,6;28,5;24,8;25,8;31,5;;52,7;;5,1;;903;1577;158;561;74;110;32;49;;495;83;68;128;93;65;58;0
QP002013;5519;8829;28472;Soissons;52,5;43,6;40,2;13,8;16;2,7;35,7;5,4;23,6;23,5;1786;4219;383;782;175;446;195;80;;1795;288;298;514;298;222;175;0
QP002014;1035;8829;28472;Soissons;48,4;49,3;50,8;;;;32,9;;22,8;20,1;438;1163;82;179;46;131;60;42;;541;76;92;159;89;64;61;0
QP002015;1318;1318;10797;Villers-Cotterêts;48,5;35,3;37,5;18,2;19,9;1,5;36,9;;;;355;781;84;155;41;75;24;28;;310;64;50;83;49;31;33;0
