CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP002016;1168;2937;14189;Château-Thierry;55,6;43,6;39,9;;;3;32,4;5,4;13,5;16,1;310;809;110;104;15;81;28;32;;397;76;63;98;85;41;34;0
QP002017;1769;2937;14189;Château-Thierry;53,2;40,5;36,8;15,5;;2,1;35,4;;15;13,6;604;1499;196;209;43;156;57;25;;694;112;119;200;117;82;64;0
QP003001;3887;5568;38870;Cusset, Vichy;53,3;32,5;27;26,2;29,8;0,9;56,5;;11,9;11,1;1517;2578;201;1006;104;206;52;169;121;757;131;115;182;151;108;70;0
QP003002;1681;4361;25325;Vichy;61,2;34,7;27,9;31,8;39,5;;50,8;;16,6;17,2;;;;;;;;;;;;;;;;;5
QP003003;3414;3414;19474;Moulins;54;29,7;24,6;28,9;34,1;0,8;61,3;;13,4;11,1;959;1908;189;542;69;159;64;79;7;725;124;125;191;139;85;61;0
QP003004;2841;5271;37839;Montluçon;53,3;32,2;27,5;28,7;34,7;0,9;57,7;;14,6;13,5;921;1799;136;552;77;156;57;133;38;649;105;105;166;122;86;65;0
QP003005;1234;5371;40247;Montluçon, Prémilhat;45,9;44;35,5;19,6;24,7;1,6;66,5;;10,5;11,9;481;763;56;343;34;48;17;52;76;207;32;29;48;33;39;26;0
QP003006;1323;5298;46872;Domérat, Montluçon;57,5;46,3;41,5;;;;36,8;;15,6;11,9;299;714;98;133;13;55;18;20;;346;60;57;99;58;43;29;0
QP004001;2100;2100;16512;Digne-les-Bains;51,8;31,5;29,2;21,9;27;1,1;60,3;;15,2;13,7;923;1466;145;641;52;85;30;82;89;412;52;64;109;87;64;36;0
QP004002;3427;5489;22412;Manosque;50,8;29;28,7;26,9;28,8;0,9;54;;11,3;12,5;1043;1869;185;643;63;152;49;143;24;614;116;98;146;118;86;50;0
QP004003;2062;5489;22412;Manosque;49,2;37,3;40,2;23,3;;1,3;36,4;8,8;24,4;25,4;475;1164;87;216;41;131;66;23;;519;95;80;131;110;57;46;0
QP005001;1441;1441;40255;Gap;50,2;39,9;35,1;;;;42,8;;28,9;26,5;346;835;70;153;19;104;49;17;;365;51;50;92;73;61;38;0
QP006001;1328;38218;342295;Nice;55,5;;;25,6;30,1;;43,9;;10,5;;462;957;118;245;26;73;33;16;;385;52;52;95;91;57;38;0
QP006002;3347;3347;26465;Vallauris;52,2;32,3;33,2;20,1;19,4;1,4;34,1;2,9;31,6;27,2;954;2005;179;490;77;208;76;60;17;767;97;95;225;165;104;81;0
QP006003;4029;6038;116512;Cannes, Le Cannet;54,4;34,7;32,4;22,8;24,8;1,3;36,1;1,9;13,1;12,1;1389;3178;339;644;79;327;133;55;;1383;161;168;360;334;201;159;0
QP006004;2009;6038;116512;Cannes, Le Cannet;55,3;34;28,7;25,4;29;1,1;28,3;;11,2;11,2;513;1244;116;220;34;143;55;16;;549;63;63;152;117;87;67;0
QP006005;6984;8391;50916;Grasse;50,5;36,4;35,8;14,7;14,8;2;39,5;3,5;24,2;23,3;2073;4525;464;974;164;471;143;138;30;1812;322;262;473;366;245;144;0
QP006006;1407;8391;50916;Grasse;54,8;37,6;34,7;;;1,6;24,9;;22,7;21,4;404;1000;66;166;38;134;54;13;;420;51;72;115;83;55;44;0
QP006007;1555;1555;4317;Drap;50,3;44,7;42,2;13,2;12,7;2,9;18,7;8,7;19,5;17,4;320;991;77;89;10;144;67;13;;516;54;60;144;123;70;65;0
QP006008;2001;2001;11756;Carros;56,4;40,8;39,8;17,3;;2;19,1;10;15;13,6;539;1431;124;201;36;178;84;17;;682;75;109;179;155;101;63;0
QP006009;1008;38218;342295;Nice;;;;;;;;;;;938;949;;928;;;;;;;;;;;;;0
QP006010;7795;38601;371186;Nice, Saint-Laurent-du-Var;50,4;40,8;35,9;18,9;20,9;1,8;25,4;8,3;22,2;22,3;2318;5638;607;980;195;536;255;86;8;2573;345;394;619;509;349;357;0
QP006011;1281;38218;342295;Nice;50,7;32,1;30,3;23,4;25,2;;37;;24,9;21,3;275;678;49;116;21;89;40;9;;292;64;55;64;50;37;22;0
QP006012;3859;38218;342295;Nice;51,3;27,4;24,8;28,3;33,9;0,8;55,5;;24;23,3;1422;2615;235;879;69;239;67;74;159;884;148;148;239;150;113;86;0
QP006013;11919;38218;342295;Nice;51,1;42,3;38,9;16,1;17;2,1;31,6;6,4;27,8;26,7;4421;10437;1037;1984;337;1063;466;294;83;4597;658;712;1182;935;598;512;0
QP006014;10217;38755;347702;Nice, Saint-André-de-la-Roche;51,3;43,9;42,9;17,7;18,1;2,1;23,8;11,7;34,9;34,4;3410;9805;703;1195;273;1239;635;156;5;4853;765;793;1292;909;594;500;0
QP006015;1731;38218;342295;Nice;51;31,6;32,6;22,4;21,8;1,1;45,3;;20,6;17,7;630;1220;102;380;28;120;37;35;51;443;73;79;99;92;53;47;0
QP006016;1958;1958;19052;Vence;49,6;30,2;29,1;25,9;26,7;0,9;52;;18,3;13,3;497;961;80;265;49;103;26;24;7;317;45;41;69;80;49;33;0
QP007001;1776;1776;11803;Aubenas;50,7;35;32,4;22,4;25,7;1,3;51,4;;16,8;16,2;782;1583;132;432;64;154;62;53;19;584;79;91;157;132;84;41;0
QP007002;1178;2302;8292;Le Teil;52,7;36;34,7;20,1;24,2;1,4;50;2,6;14,2;12,8;360;729;74;192;27;67;26;29;;277;42;38;67;64;41;25;0
QP007003;1124;2302;8292;Le Teil;51,5;38,7;37,4;20,5;22,7;1,6;41,2;5;24,5;25,2;320;752;55;152;25;88;39;10;;315;48;40;86;64;48;29;0
QP007004;1822;1822;16075;Annonay;48,7;39;37,1;18,3;21,3;1,6;51,5;4,3;14,7;14,8;880;1929;154;460;67;199;84;90;45;781;144;111;212;146;100;68;0
QP007005;1249;1249;8305;Privas;57,1;30,7;27,9;27,5;32,6;0,9;53,6;2,6;19,6;19,4;441;837;89;269;36;47;21;52;8;322;48;47;90;52;54;31;0
QP008001;2450;13773;48991;Charleville-Mézières;54,6;28,5;24,6;29,1;31,8;0,9;51,4;;7,2;7;914;1812;182;486;87;159;48;66;;650;102;99;165;110;92;82;0
QP008002;7463;13773;48991;Charleville-Mézières;52,5;35,7;32,2;21,8;24,6;1,4;44,1;3,8;19,1;17,3;2324;5172;456;1145;215;508;214;123;8;2109;323;332;570;387;267;230;0
QP008003;2020;13773;48991;Charleville-Mézières;49;35,4;33,9;20,1;23,5;1,4;48,9;;13,5;10,9;850;1579;142;499;71;138;35;53;8;515;73;80;141;85;71;65;0
QP008004;1840;13773;48991;Charleville-Mézières;45;36,2;31,1;18;;1,2;52;;;;585;1102;117;327;49;92;24;54;6;376;75;67;89;58;44;43;0
QP008005;1247;7387;18134;Sedan;50,7;35,3;30,6;26,4;27,9;1,2;23,3;;15,3;16,3;384;907;55;176;42;111;50;18;;364;44;41;88;79;55;57;0
QP008006;1113;7387;18134;Sedan;52,3;33,7;30,8;;;;52;;;;390;704;83;229;31;47;13;35;;236;30;40;63;45;30;28;0
QP008007;5027;7387;18134;Sedan;54,2;32,5;31,6;20,6;22,9;1,1;56,4;;6,6;5,5;1947;3587;375;1149;165;258;86;132;28;1217;183;175;264;248;163;184;0
QP008008;1287;1287;7730;Rethel;54,6;33;34,8;21,5;23;1,1;49,3;2,6;1,2;1,6;410;804;82;225;35;68;25;27;;293;46;48;67;61;45;26;0
QP009001;1177;1177;6289;Saint-Girons;53,5;25,6;24,2;29,6;35,4;0,7;68,4;0,5;11,1;9,2;510;740;61;392;20;37;5;60;13;172;29;29;41;34;18;21;0
QP009002;1236;1236;9731;Foix;49,1;28,2;29,3;25,2;29,7;0,6;71,2;0,4;11,8;9,9;750;982;75;602;46;27;8;121;124;159;25;32;41;27;20;14;0
QP009003;4291;4291;15744;Pamiers;53,4;32,5;30,9;26,6;28,9;0,8;62,9;;13;10,3;1617;2855;336;995;97;189;49;216;67;951;172;151;220;177;142;89;0
QP010001;1430;12958;59671;Troyes;56,3;38,5;31,9;26,3;;;53,5;;10,2;;456;997;120;231;31;74;31;32;30;440;54;62;120;90;67;47;0
QP010002;2951;12958;59671;Troyes;54,4;40,9;37;16,6;20,5;1,8;51,8;;17,6;17,3;1114;1976;221;686;73;134;34;95;165;660;111;100;187;125;78;59;0
QP010003;7736;20408;75492;La Chapelle-Saint-Luc, Les Noës-près-Troyes, Troyes;52,2;42,8;39;17,5;19;2,1;36,9;6;27;28,1;2363;5551;531;1087;225;520;247;152;16;2422;378;420;623;461;288;252;0
QP010004;1684;1684;4867;Pont-Sainte-Marie;52;46,3;43,8;11,8;13,4;3,3;29;4,9;16;17,1;427;1121;107;161;42;117;57;27;;535;70;80;135;118;78;54;0
QP010005;1461;1461;11770;Saint-André-les-Vergers;57;42;36,4;15,7;19,6;2,3;39,8;;24,2;22,5;509;1194;174;212;39;84;39;36;5;567;81;85;150;119;73;59;0
QP010006;4020;12958;59671;Troyes;51,4;39;37;21,5;23,7;1,5;53,7;;21,6;20,2;1663;3443;385;923;78;277;110;130;178;1420;251;263;393;240;155;118;0
QP010007;1695;12958;59671;Troyes;50,2;40,2;38,7;;20,4;;49,3;;27,8;28,8;681;1406;129;396;43;113;52;52;43;566;83;94;155;107;73;54;0
QP010008;1387;12958;59671;Troyes;50,4;41;36,3;13,1;;2,5;39,8;;23,7;23,2;594;1306;129;310;34;121;49;32;;554;113;93;138;90;66;54;0
QP010009;1189;12958;59671;Troyes;49,7;46,6;44,2;15,2;15,9;2,6;32,6;11,7;30,5;29,9;391;956;67;191;37;96;60;27;;429;62;78;122;74;56;37;0
QP010010;1668;1668;14352;Romilly-sur-Seine;55,4;36,1;36,7;21;22,1;1,5;49,9;;25,1;25,2;635;1322;128;324;56;127;39;30;;499;102;80;127;86;60;44;0
QP011001;2050;2050;10166;Limoux;51,3;28,6;26,4;28,7;33,7;0,7;56,2;0,9;12,8;11,1;763;1208;148;497;58;60;15;73;9;340;45;50;82;67;51;45;0
QP011002;2060;9831;46724;Carcassonne;52,7;39,7;37,8;20,2;20,4;1,8;35,9;;23,2;21;819;2108;180;318;81;240;111;36;;968;126;138;257;193;130;124;0
QP011003;1862;9831;46724;Carcassonne;52;39,3;40,2;21,2;24,2;1,5;48;;42,5;39,8;649;1412;105;328;81;135;59;40;6;547;79;90;152;99;74;53;0
QP011004;3775;9831;46724;Carcassonne;52,2;33,2;31,1;21,6;24,5;1,1;65,4;;10,6;8,8;1885;2923;317;1337;88;143;28;257;128;807;136;128;174;164;114;91;0
QP011005;1050;9831;46724;Carcassonne;58,8;33,2;29,2;29,3;31,3;;43,1;;26,8;25;;;;;;;;;;;;;;;;;5
QP011006;1084;9831;46724;Carcassonne;57,2;42,3;33,5;;;;31,8;;;;385;837;99;189;28;69;28;16;;358;37;52;95;82;49;43;0
QP011007;4031;10384;52802;Narbonne;51,3;36,3;33,5;22,6;23,3;1,4;32,2;;19,7;18,6;1100;2525;224;491;122;263;121;44;;1033;142;184;271;188;128;120;0
QP011008;4661;10384;52802;Narbonne;54,2;34,8;34,4;19,8;22,8;1,2;60,4;;10,1;9,1;2643;4202;455;1798;148;242;49;328;167;1179;230;164;294;204;166;121;0
QP011009;1692;10384;52802;Narbonne;52,3;41,9;39,2;19,1;;1,8;37,6;;11,1;9,9;639;1402;164;304;42;129;44;34;9;592;85;105;165;109;77;51;0
QP011010;2993;2993;11223;Lézignan-Corbières;51,5;37,4;33,6;22,5;25,2;1,3;34,4;;7,5;8,4;882;1873;207;426;82;167;56;104;;753;123;119;214;128;99;70;0
QP012001;1540;1540;11604;Onet-le-Château;50,4;40;37,9;17,3;18,4;2;36,7;4,3;30;30,1;415;1014;70;188;36;121;57;32;;440;69;75;119;86;53;38;0
QP012002;2091;2091;11909;Villefranche-de-Rouergue;52;38,3;36,3;20,7;24,6;1,3;56,9;;18,5;16;771;1410;137;466;60;108;36;99;21;481;72;74;132;99;66;38;0
QP013001;945;7039;33986;Marignane;53,3;42,1;39,1;;;;29,2;;20,9;20,4;293;779;41;106;35;111;42;17;;337;44;48;93;63;43;46;0
QP013002;1080;3041;13937;Berre-l'Étang;38,5;30,1;34,4;31,8;;0,8;32;;12,8;13,5;261;580;46;129;26;60;28;8;;233;28;36;77;42;27;23;0
QP013003;2019;5470;16883;Marseille 16e Arrondissement;54,6;39,2;34,8;17,7;19,7;1,8;34,2;;8,2;8,6;615;1468;150;270;37;158;63;24;;654;74;83;150;136;106;105;0
QP013004;1226;1226;19844;Gardanne;50,2;42,2;37,1;;;;;;;;247;696;83;;;93;27;15;;353;33;63;99;72;58;28;0
QP013005;2887;52623;80668;Marseille 15e Arrondissement;53,3;41,4;37,8;17,1;18,6;2;32,4;;19,7;21;;;;;;;;;;;;;;;;;5
QP013006;1029;2110;15780;Châteaurenard;51,6;35,4;29,6;22,2;23,9;1,3;34,7;;29,8;27;222;563;60;73;19;70;23;10;;250;36;46;65;52;30;21;0
QP013007;1403;1403;10713;Septèmes-les-Vallons;49,5;43;39,3;10,9;10,6;3,3;18,5;10,3;15,6;19,2;;;;;;;;;;;;;;;;;5
QP013008;960;6984;55315;Marseille 10e Arrondissement;58,7;45,9;38;12,3;14,3;3,3;32,3;;10;9,7;273;644;82;116;21;54;23;14;;288;23;28;82;60;38;57;0
QP013009;2043;6984;55315;Marseille 10e Arrondissement;50,7;32,8;36,6;21,9;;1,2;52,7;;14,2;;697;1393;103;410;26;158;43;31;11;510;104;86;133;79;74;34;0
QP013010;2438;9154;52566;Arles;56,8;33;31;29,5;30,1;0,9;46,1;;16,7;15;836;1765;153;439;73;171;66;27;;682;108;102;174;122;88;88;0
QP013011;4171;9154;52566;Arles;52,7;38,8;35,9;20,6;20,8;1,6;35,8;3,7;22,9;21,8;1226;3055;255;518;98;355;164;51;;1368;188;188;362;296;170;164;0
QP013012;2545;9154;52566;Arles;52,3;34,9;33,9;25;22,9;1,2;32,9;;26;26;710;1682;169;289;62;190;71;26;;720;102;108;162;157;101;90;0
QP013013;3733;3733;13941;Tarascon;49;38,2;37,6;20,6;19,7;1,5;41,9;;32,7;27,7;937;2033;180;481;63;213;85;93;10;819;140;164;220;141;89;65;0
QP013014;6900;14027;141545;Aix-en-Provence;56,2;32,1;27,1;24,8;29,1;1,1;37,9;3,2;12;11,7;1988;4403;400;990;141;457;192;71;7;1799;230;211;462;367;298;231;0
QP013015;1312;14027;141545;Aix-en-Provence;53,5;35,5;31,9;;27,5;;39,6;;14,9;15,2;492;1038;108;251;31;102;30;16;;409;56;47;113;96;64;33;0
QP013016;4642;14027;141545;Aix-en-Provence;52,2;33;30,4;24,4;27,7;1;41;;18;15,9;1516;3193;282;812;111;311;131;72;44;1246;154;197;333;247;174;141;0
QP013017;1173;14027;141545;Aix-en-Provence;52,8;38,7;34,5;;;1,5;36,2;;17,8;18,2;351;799;80;170;20;81;33;8;;344;45;56;96;59;59;29;0
QP013018;6505;7667;34493;Vitrolles;55,8;41,6;37,2;17,3;19,4;2;32;5,4;9,6;8,4;2074;5272;544;828;125;577;272;106;;2494;336;376;658;489;337;298;0
QP013019;1162;7667;34493;Vitrolles;55,1;42,1;39;;;3;27,4;;8,5;7,9;410;1102;106;139;26;139;52;15;;528;74;89;155;99;54;57;0
QP013020;2207;2207;45303;Aubagne;54,5;35,1;33,1;23,1;25,7;1,3;31,6;2,5;9;8,4;757;1745;195;329;42;191;74;30;;752;120;121;203;145;94;69;0
QP013021;1430;5103;47904;Martigues;55,3;38,2;33,8;;;1,7;34,8;;17,3;16,5;449;1142;121;172;39;117;63;18;;532;59;76;142;107;94;54;0
QP013022;1875;5103;47904;Martigues;52,8;40;39,4;19;19,9;1,7;28,6;2,1;14,3;15,3;;;;;;;;;;;;;;;;;5
QP013023;1798;5103;47904;Martigues;52;41,8;37,9;12,9;13,2;2,8;29,1;3,6;14,7;12,5;509;1259;149;196;31;133;63;26;;580;82;95;177;104;68;54;0
QP013024;2353;6361;17208;Port-de-Bouc;55,3;40,4;38,4;21,1;23,4;1,7;36;5,5;7,7;7,2;746;1742;178;342;68;158;67;60;;762;102;125;201;164;93;77;0
QP013025;4008;6361;17208;Port-de-Bouc;53,3;29,4;28,1;32;32,5;0,7;38,6;;12,1;8,7;1201;2351;231;659;102;209;79;52;;824;126;118;202;155;125;98;0
QP013026;1081;2110;15780;Châteaurenard;48,3;28,5;;;;;46,9;;23,4;;224;467;49;117;12;46;12;23;;185;27;23;59;33;28;15;0
QP013027;1087;1087;3114;Orgon;46;35,4;34,2;19,9;19,3;1,4;31,9;3,9;23,4;21,4;221;556;43;91;7;80;30;23;;250;44;50;70;33;28;25;0
QP013028;1961;3041;13937;Berre-l'Étang;47,1;39,5;37,5;19,2;17,9;1,6;29,3;10,3;32,4;32,3;;;;;;;;;;;;;;;;;5
QP013029;3648;5215;44263;Salon-de-Provence;53,6;44,5;40,2;16,6;17,6;2,3;24,7;7,5;16,3;15,5;1038;2700;245;406;86;301;143;43;;1265;148;208;358;240;185;126;0
QP013030;1567;5215;44263;Salon-de-Provence;54,4;38,3;34,1;;;1,9;30,4;;17;15,3;486;1153;138;176;40;132;38;25;;494;63;87;116;101;75;52;0
QP013031;6094;7039;33986;Marignane;52,9;36,5;34,8;19,1;19,7;1,6;35,1;;18,3;15,7;1862;4469;369;791;125;577;207;129;7;1892;321;337;522;326;230;156;0
QP013032;97048;176184;292171;Marseille 1er Arrondissement, Marseille 2e Arrondissement, Marseille 3e Arrondissement, Marseille 6e Arrondissement, Marseille 14e Arrondissement, Marseille 15e Arrondissement;49,6;35,4;35,1;18;18;1,5;46,5;3,6;24,6;23;37936;77581;6451;21538;2490;7457;2766;2334;2593;29568;5184;4701;7222;5418;3638;3405;0
QP013033;1889;5987;74234;Marseille 9e Arrondissement;57;33,5;31;20,1;;1,4;33,9;;13,7;13,1;523;1250;135;220;36;132;49;21;23;555;67;89;160;111;72;56;0
QP013034;2110;5987;74234;Marseille 9e Arrondissement;52,8;43,4;38,7;14,6;16,7;2,5;23,7;9,5;11,8;11,3;657;1739;165;250;47;195;82;27;;828;106;139;203;161;107;112;0
QP013035;1418;12971;129549;Marseille 9e Arrondissement, Marseille 10e Arrondissement;54,3;44,2;42;16,5;;2,2;25,7;;11,3;;393;1169;120;133;23;117;60;28;;636;90;104;165;133;74;70;0
QP013036;1041;6984;55315;Marseille 10e Arrondissement;52,6;44,6;;;;2,3;21,9;12;33,7;29,1;312;787;95;128;10;79;29;17;;385;48;56;92;83;51;55;0
QP013037;1528;6984;55315;Marseille 10e Arrondissement;52;37,1;30,7;26,1;30,3;;31,7;;;;506;1214;131;222;40;113;53;17;;550;69;68;142;113;87;71;0
QP013038;5932;20536;172296;Marseille 10e Arrondissement, Marseille 11e Arrondissement, Marseille 12e Arrondissement;52,1;43,6;40,9;15,3;16;2,4;22,7;10,6;15;14,4;1641;4235;365;655;135;486;218;70;5;1960;257;260;505;376;294;268;0
QP013039;2016;11263;56544;Marseille 11e Arrondissement;54,2;35,7;30,8;21,6;24,8;1,4;36,5;;9,8;10,7;651;1437;182;288;52;129;46;25;;606;90;82;176;122;75;61;0
QP013040;2732;11263;56544;Marseille 11e Arrondissement;55,9;39,7;36,7;17;17,5;1,9;33,5;4,2;12,3;13,2;874;2013;223;400;57;194;80;32;;879;104;118;232;180;117;128;0
QP013041;1093;11770;62808;La Penne-sur-Huveaune, Marseille 11e Arrondissement;57,3;40,7;39,6;18,6;21;1,8;25,1;9;7,9;8;299;796;72;125;12;90;47;15;;394;46;58;85;102;56;47;0
QP013042;10439;27894;90555;Marseille 13e Arrondissement;50,3;44,1;39,1;14,4;15,8;2,6;24,8;9,1;15,4;15,1;2980;7300;752;1310;225;693;321;134;11;3373;420;517;820;649;478;489;0
QP013043;2122;27894;90555;Marseille 13e Arrondissement;53,2;45;40,3;19,6;20,6;2;21;9,7;13,5;15,1;569;1382;150;234;39;146;55;24;28;621;79;95;151;120;103;73;0
QP013044;8777;27894;90555;Marseille 13e Arrondissement;53,7;41,8;38,7;18,2;19,4;1,9;34,6;7,1;13,2;13,2;3158;7682;796;1405;249;708;317;125;6;3533;446;486;832;700;540;529;0
QP013045;1428;30183;150992;Marseille 12e Arrondissement, Marseille 13e Arrondissement;53,7;46,8;38,9;15,6;18,5;2,4;24,4;7,2;13;14,5;354;835;99;155;28;72;30;18;;377;46;55;108;68;47;53;0
QP013046;1256;27894;90555;Marseille 13e Arrondissement;54,9;43;36,9;20;23,5;1,7;31,6;5,7;12,9;13,7;454;1029;101;222;36;95;44;15;;443;55;62;105;97;64;60;0
QP013047;882;27894;90555;Marseille 13e Arrondissement;55,9;23,9;;;26,7;0,8;48,7;0;;;367;711;89;194;31;53;14;15;;261;44;41;67;48;36;25;0
QP013048;3123;35654;61186;Marseille 14e Arrondissement;50,9;41,7;38,7;18,3;18,9;1,9;27,7;11,2;16,9;18,4;785;2248;177;297;41;270;139;49;;1144;174;154;284;209;157;166;0
QP013049;24803;63548;151741;Marseille 13e Arrondissement, Marseille 14e Arrondissement;52,6;44,4;41,2;15,7;16,5;2,4;31,6;9,6;20,6;20,4;7405;19022;1954;3168;454;1829;858;389;24;9277;1335;1361;2282;1747;1233;1319;0
QP013050;3556;88277;141854;Marseille 14e Arrondissement, Marseille 15e Arrondissement;54,5;40,3;36,7;20,6;23,3;1,6;31,9;7,7;11,6;11,2;1049;2554;277;467;70;235;119;54;;1189;146;158;302;239;169;175;0
QP013051;10040;58093;97551;Marseille 15e Arrondissement, Marseille 16e Arrondissement;52,3;44,7;41,6;16,3;16,9;2,3;20,4;10,9;10,6;11,3;2555;6736;641;1003;201;710;341;108;8;3227;395;464;797;624;481;466;0
QP013052;4456;58093;97551;Marseille 15e Arrondissement, Marseille 16e Arrondissement;54,9;41,3;39,5;18,3;19,9;1,9;32,1;6,1;15,2;15,7;1448;3549;390;629;87;342;151;81;5;1668;246;260;420;314;211;217;0
QP013053;4692;52623;80668;Marseille 15e Arrondissement;53,8;34,6;33,5;20,8;21,9;1,3;35,9;;19,8;16,6;1721;3819;367;855;106;393;142;93;8;1593;302;283;417;273;159;159;0
QP013054;1660;52623;80668;Marseille 15e Arrondissement;53;50,4;44,5;10,7;11,2;3,8;15,4;11,4;10;10,2;577;1397;164;264;35;114;50;19;;666;84;83;152;136;109;102;0
QP013055;8191;52623;80668;Marseille 15e Arrondissement;53,9;47,2;44,3;15,8;15,7;2,5;22,5;10,9;14,3;14,3;1800;5256;532;626;131;511;269;73;;2800;364;399;672;579;404;382;0
