CODGEO;POP_MUN;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24
00;4856046;52;39,1;37,1;17,2;18,8;1,9;38,5;5,1;21,8;20,7;1509700;3533300;302900;708000;108300;390500;166700;90600;44900;1519900;236800;243000;395300;290100;195600;159200
01;58918;56,7;35,1;31;22,7;24,5;1,3;42,3;1,9;10,6;11,5;;;;;;;;;;;;;;;;
02;27316;54,6;31,9;27,8;24,7;27,2;1,1;43,8;;10,4;11,5;;;;;;;;;;;;;;;;
03;104402;53,2;54,2;51,5;7,6;7,4;6,2;22,3;16,4;42,3;43,9;;;;;;;;;;;;;;;;
04;163527;;;;;;;;;;;61300;137100;19000;28000;3200;11100;3000;4200;800;61400;8600;8600;14500;12200;9100;8300
