Operateur;X;Y;C2G;C3G;C4G
64710;55.4508705566;-20.8783689988;1;1;1
64710;55.4611296487;-20.8883982778;1;1;1
64710;55.4630474635;-20.8992374489;1;1;1
64710;55.4861101407;-20.8933728875;1;1;1
64710;55.4542082392;-20.8753098081;1;1;1
64710;55.5565659814;-20.8979843015;1;1;1
64710;55.5853563701;-20.9278284031;1;1;1
64710;55.4951923988;-20.8935434245;1;1;1
64710;55.4335519534;-20.9328531611;1;1;1
64710;55.4026870267;-20.9129923388;1;1;1
64710;55.4942415256;-20.9165792731;1;1;1
64710;55.5112582879;-20.9127176211;1;1;1
64710;55.4510103285;-20.8937900907;1;1;1
64710;55.4198002551;-20.8752573429;1;1;1
64710;55.4506971206;-20.8812219489;1;1;1
64710;55.4512518781;-20.8917959238;1;1;1
64710;55.454616689;-20.8814200159;1;1;1
64710;55.4680976424;-20.886590958;1;1;1
64710;55.4878569004;-20.9003621316;1;1;1
64710;55.517445671;-20.8984533784;1;1;1
64710;55.442844661;-20.883987069;1;1;1
64710;55.4800604223;-20.8908440513;1;1;1
64710;55.4836072662;-20.9099901824;1;1;1
64710;55.4801611704;-20.9047021379;1;1;1
64710;55.4630449852;-20.8938174358;1;1;1
64710;55.4606218339;-20.9221511544;1;1;1
64710;55.4746230915;-20.9171368579;1;1;1
64710;55.438852951;-20.9149166081;1;1;1
64710;55.5194284888;-20.9236559096;1;1;1
64710;55.5019921343;-20.9048046178;1;1;1
64710;55.4950691827;-20.8991520927;1;1;1
64710;55.4837138402;-20.8888620519;1;1;1
64710;55.4759752941;-20.8879712014;1;1;1
64710;55.4692011471;-20.8953089849;1;1;1
64710;55.4747814951;-20.8948168752;1;1;1
64710;55.4900744575;-20.8958650407;1;1;1
64710;55.650950386;-20.9590925031;1;1;1
64710;55.6796633758;-20.9968349673;1;1;1
64710;55.7079091724;-21.0357168334;1;1;1
64710;55.7046161099;-21.0671115676;1;1;1
64710;55.7940116768;-21.1275935759;1;1;1
64710;55.8289610292;-21.1793601483;1;1;1
64710;55.5743594775;-21.1961942902;1;1;1
64710;55.6344264623;-21.1438622554;1;1;1
64710;55.5388858587;-21.2174987355;1;1;1
64710;55.6204271432;-20.9515218926;1;1;1
64710;55.5827173509;-20.9936254632;1;1;1
64710;55.532339631;-21.0645264009;1;1;1
64710;55.5388295682;-21.0286655602;1;1;1
64710;55.7191626758;-21.039650449;1;1;1
64710;55.7645876904;-21.1588467241;1;1;1
64710;55.6357620624;-20.9837512527;1;1;1
64710;55.6378423425;-20.9388609974;1;1;1
64710;55.6724233498;-20.9452224071;1;1;1
64710;55.720925865;-21.0461500821;1;1;1
64710;55.652923937;-20.9642393167;1;1;1
64710;55.7031890605;-21.2189854943;1;1;1
64710;55.3001378699;-20.9379535142;1;1;1
64710;55.286150061;-20.9259717205;1;1;1
64710;55.3409053475;-20.9518860555;1;1;1
64710;55.2764154613;-21.0077995824;1;1;1
64710;55.3187026725;-21.1480573322;1;1;1
64710;55.3875562249;-21.0687684316;1;1;1
64710;55.2668587673;-21.0871795645;1;1;1
64710;55.3313894695;-21.2067322668;1;1;1
64710;55.2258260338;-21.051077614;1;1;1
64710;55.3083326922;-21.2157882604;1;1;1
64710;55.2884278681;-21.1759713122;1;1;1
