CODGEO;C17_MEN;C17_MENPSEUL;C17_MENHSEUL;C17_MENFSEUL;C17_MENSFAM;C17_MENFAM;C17_MENCOUPSENF;C17_MENCOUPAENF;C17_MENFAMMONO;C17_PMEN;C17_PMEN_MENPSEUL;C17_PMEN_MENHSEUL;C17_PMEN_MENFSEUL;C17_PMEN_MENSFAM;C17_PMEN_MENFAM;C17_PMEN_MENCOUPSENF;C17_PMEN_MENCOUPAENF;C17_PMEN_MENFAMMONO;P17_POP15P;P17_POP1519;P17_POP2024;P17_POP2539;P17_POP4054;P17_POP5564;P17_POP6579;P17_POP80P;P17_POPMEN1519;P17_POPMEN2024;P17_POPMEN2539;P17_POPMEN4054;P17_POPMEN5564;P17_POPMEN6579;P17_POPMEN80P;P17_POP1519_PSEUL;P17_POP2024_PSEUL;P17_POP2539_PSEUL;P17_POP4054_PSEUL;P17_POP5564_PSEUL;P17_POP6579_PSEUL;P17_POP80P_PSEUL;P17_POP1519_COUPLE;P17_POP2024_COUPLE;P17_POP2539_COUPLE;P17_POP4054_COUPLE;P17_POP5564_COUPLE;P17_POP6579_COUPLE;P17_POP80P_COUPLE;P17_POP15P_MARIEE;P17_POP15P_PACSEE;P17_POP15P_CONCUB_UNION_LIBRE;P17_POP15P_VEUFS;P17_POP15P_DIVORCEE;P17_POP15P_CELIBATAIRE;C17_MEN_CS1;C17_MEN_CS2;C17_MEN_CS3;C17_MEN_CS4;C17_MEN_CS5;C17_MEN_CS6;C17_MEN_CS7;C17_MEN_CS8;C17_PMEN_CS1;C17_PMEN_CS2;C17_PMEN_CS3;C17_PMEN_CS4;C17_PMEN_CS5;C17_PMEN_CS6;C17_PMEN_CS7;C17_PMEN_CS8;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_HMONO;C17_FMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
97501;263.768456375839;70.4043624161074;30.7399328859061;39.6644295302014;3.96644295302014;189.397651006711;90.2365771812081;79.3288590604027;19.8322147651007;591;70.4043624161074;30.7399328859061;39.6644295302014;8.92449664429531;511.671140939598;180.473154362416;282.609060402685;48.5889261744967;494.813758389262;34.7063758389262;19.8322147651007;107.093959731544;143.78355704698;82.3036912751678;78.3372483221477;28.756711409396;34.7063758389262;19.8322147651007;107.093959731544;143.78355704698;82.3036912751678;78.3372483221477;28.756711409396;0;2.9748322147651;4.95805369127517;14.8741610738255;13.8825503355705;19.8322147651007;13.8825503355705;0.991610738255034;4.95805369127517;91.2281879194631;115.026845637584;68.4211409395974;55.5302013422819;13.8825503355705;232.036912751678;7.93288590604027;108.085570469799;29.748322147651;19.8322147651007;97.1778523489933;3.96644295302014;9.91610738255034;7.93288590604027;31.7315436241611;68.4211409395974;63.4630872483222;72.3875838926175;5.9496644295302;9.91610738255034;20.8238255033557;15.8657718120805;90.2365771812081;175.515100671141;149.73322147651;116.018456375839;12.8909395973154;190.389261744967;79.3288590604027;19.8322147651007;4.95805369127517;14.8741610738255;91.2281879194631;98.1694630872484;53.5469798657718;30.7399328859061;6.94127516778524;0.991610738255034
97502;2351.34986429412;739.167676874329;311.649723828683;427.517953045646;53.9391809917404;1558.24300642805;655.261161677439;702.208226614694;200.773618135922;5322.00031372812;739.167676874329;311.649723828683;427.517953045646;136.845699923489;4445.9869369303;1350.47727223765;2610.05703576699;485.452628925663;4408.1251516528;298.663242898711;184.792761125886;927.961545603853;1402.42768612983;742.174400928186;626.315152055801;225.79036291054;298.663242898711;183.792764860745;921.961568013005;1394.4277160087;732.174438276772;607.315223018114;185.790512304883;1.99774744413853;18.9786007193161;121.863716635523;154.825426920736;147.833310866251;185.790512304883;107.878361983481;2.9966211662078;53.9391809917404;665.249898898131;1098.76221681926;532.399693862919;385.570869434097;68.9245319089237;1838.93999284638;95.8918773186495;855.035906091292;317.681132625552;194.782620889651;1105.79362188127;1.99774744413853;135.84682620142;297.664369176641;393.557369038363;539.391809917404;357.596792500797;586.338874854659;38.9560751607014;3.99549488827706;364.588908555282;787.112492990582;996.8770971682;1295.53921752384;935.944677578902;886.999865197508;50.9425598255326;1577.22160714737;704.205974058833;210.762355356615;57.9346758800174;152.827679476598;662.253277731923;756.147407606434;403.544983715983;322.636212228373;79.9098977655413;14.983105831039
97701;3990;935;525;410;450;2605;1265;1105;235;9675;935;525;410;1260;7480;2925;3995;560;8450;358;645;2712;2650;1139;730;216;356;635;2694;2582;1106;714;197;1;37;249;276;156;138;83;17;210;1768;1828;763;453;69;3039;183;1981;302;325;2620;30;905;300;615;820;755;435;130;70;2385;745;1520;1950;1985;750;270;2675;1135;255;75;180;1285;1385;760;490;40;0
97801;13897.2096855765;4128.22511972396;2188.40389623273;1939.82122349124;492.723843630764;9276.26072222173;2202.12191795718;3544.37310434749;3529.76569991705;35125.1038290766;4128.22511972396;2188.40389623273;1939.82122349124;1266.89670217506;29729.9820071776;4789.84441596784;14152.6164171865;10787.5211740232;26370.5151468032;2688.93124823924;1712.78600598318;6684.65325644432;8356.40359924087;4025.94479230542;2485.1289150831;416.667329507035;2686.9312210714;1712.78600598318;6657.65288967851;8289.4026891183;3994.94437120393;2449.12842606202;399.667098580413;9.96682718447218;117.273191503644;879.44861015414;1269.618016805;977.296417125865;746.586801561734;126.035228221266;50.0934782956822;316.418917177746;3193.28000699439;4963.09621439354;2295.84599507613;1195.68203772076;131.726750834686;7924.3606202848;466.526622073715;3025.25383242005;644.782782838615;1101.17180143851;13208.4194877475;37.7917620056258;1609.00182728438;785.099299344775;1621.09905964499;3922.60342153569;2549.95700434437;1459.93984381726;1911.71746759936;92.1930223530908;4282.61062606652;1791.87077617209;3715.77171521155;10665.881478169;6935.71178434743;2505.64313944325;5135.42128731367;9719.84093020725;3565.82697750223;3931.60498115247;390.821262262148;3540.78371889032;2222.40897155254;3003.04682847495;3211.19629033128;2269.30661404037;868.847908558055;367.443288802585
