Libelle1;Libelle2;Localisation;voie;CP;CEDEXB;Ville;DEPT;INSEE;coordonnees_ban;coordonnees_insee;coordonnees_finales;code_bib;code_ua;Code region;Statut;surface;type_adresse;amplitude_horaire;pop_com
Bibliothèque Municipale;;;6 rue Saint;60380;;Grémévillers;60;60288;49.564578, 1.895532;49.5591317883, 1.90615994772;49.564578,1.895532;8785.0;8785.0;32;Bibliothèque municipale;35.0;Bibliothèque ouverte au public;4.0;455.0
Bibliotheque Municipale;MARTHE TALLON;ESPACE ROBERT DESNOYERS;40 PLACE DE LA GARE;60290;;Laigneville;60;60342;49.293169, 2.448291;49.2973604415, 2.43493025435;49.293169,2.448291;2601.0;2601.0;32;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;32.0;4482.0
Bibliothèque Municipale De Lalande En Son;;;22 rue du Tour de ville;60590;;Lalande-en-Son;60;60343;49.390508, 1.782243;49.3890398972, 1.78480094952;49.390508,1.782243;8799.0;8799.0;32;Bibliothèque municipale;200.0;Bibliothèque ouverte au public;6.0;703.0
Bibliothéque Municipale;;;PLACE DE LA MAIRIE;60310;;Lassigny;60;60350;49.587462, 2.846923;49.5999941571, 2.84362090335;49.587462,2.846923;8802.0;8802.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;1426.0
Bibliothèque Municipale;;;2 Grand Rue;60240;;Liancourt-Saint-Pierre;60;60361;49.23543, 1.908933;49.2330864401, 1.90635269506;49.23543,1.908933;8805.0;8805.0;32;Bibliothèque municipale;55.0;Bibliothèque ouverte au public;5.0;599.0
Bibliotheque Municipale;;;RUE FRANCOIS MITTERRAND;60420;;Maignelay-Montigny;60;60374;49.548378, 2.511405;49.548179093, 2.51320633248;49.548378,2.511405;2603.0;2603.0;32;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;23.0;2737.0
Mairie Bibliotheque;;;16 grande rue;60480;;Maulers;60;60390;49.547318, 2.167624;49.5440319929, 2.16545655463;49.547318,2.167624;8819.0;8819.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;317.0
Bibliothèque De Monceaux;;;place Robert Josse;60940;;Monceaux;60;60406;49.319358, 2.550908;49.3269208712, 2.56630699286;49.319358,2.550908;8827.0;8827.0;32;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;4.0;816.0
Bibliothèque de Morienval;LES AMIS DU LIVRE;;rue de la;60127;;Morienval;60;60430;49.330621, 2.918136;49.3104709662, 2.93003968872;49.330621,2.918136;8832.0;8832.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;1077.0
Culture et Bibliotheque Pour Tous;;;place de l'Eglis;60128;;Mortefontaine;60;60432;49.112802, 2.598147;49.1222609821, 2.60876023484;49.112802,2.598147;8833.0;8833.0;32;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;7.0;873.0
Bibliothèque Municipale;;;18 rue du bout de la ville;60440;;Péroy-les-Gombries;60;60489;49.163, 2.843959;49.1656749464, 2.84320631548;49.163,2.843959;8845.0;8845.0;32;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;5.0;1081.0
Bibliothèque De Pierrefitte-En-Beauvaisis;;;8 RUE DE L'ÉCOLE;60112;;Pierrefitte-en-Beauvaisis;60;60490;49.474515, 1.982137;49.4736179476, 1.97936624141;49.474515,1.982137;8846.0;8846.0;32;Bibliothèque municipale;25.0;Bibliothèque ouverte au public;4.5;369.0
Bibliothèque Municipale;;;rue de l'Eglise;60170;;Pimprez;60;60492;49.513799, 2.950356;49.5123733256, 2.95178055109;49.513799,2.950356;8848.0;8848.0;32;Bibliothèque municipale;48.0;Bibliothèque ouverte au public;7.0;888.0
Bibliotheque Municipale;;REINE PHILIBERTE BP 30122;5 RUE THEOPHILE RICHARD;60721;;Pont-Sainte-Maxence;60;60509;;49.3049711726, 2.60798085563;49.3049711726,2.60798085563;2614.0;2614.0;32;Bibliothèque municipale;820.0;Bibliothèque ouverte au public;22.5;12771.0
Bibliothèque Municipale;;;8 rue du pré;60480;;Puits-la-Vallée;60;60518;49.58514, 2.190676;49.5836339442, 2.19003543051;49.58514,2.190676;8861.0;8861.0;32;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;1.0;211.0
Bibliothèque Municipale;;;1 rue de l'église;60155;;Rainvillers;60;60523;49.408028, 2.00683;49.4070517504, 1.99835502155;49.408028,2.00683;8862.0;8862.0;32;Bibliothèque municipale;110.0;Bibliothèque ouverte au public;6.0;912.0
Bibliothèque Municipale;Salle périscolaire;;rue de Mel;60660;;Rousseloy;60;60551;49.29449, 2.386547;49.2984297084, 2.39261860558;49.29449,2.386547;8870.0;8870.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;320.0
Bibliothèque;;;rue de Mello;60660;;ROUSELOY;60;60551;49.294349, 2.38668;49.2984297084, 2.39261860558;49.294349,2.38668;14581.0;8870.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;320.0
Bibliotheque Municipale;Code Insee 60577;;1 Place de Verdun;60850;;Saint-Germer-de-Fly;60;60577;49.442602, 1.780914;49.441635095, 1.7819147282;49.442602,1.780914;8883.0;8883.0;32;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;34.0;1738.0
Bibliotheque Municipale;;;28 GRANDE RUE;60155;;Saint-Léger-en-Bray;60;60583;49.391609, 2.023695;49.3882002284, 2.02635842771;49.391609,2.023695;10524.0;10524.0;32;Bibliothèque municipale;42.0;Bibliothèque ouverte au public;2.0;366.0
Mediatheque  Municipale;;;1 rue jean Moulin;60340;;Saint-Leu-d'Esserent;60;60584;49.217308, 2.420338;49.2286214126, 2.40910625002;49.217308,2.420338;2619.0;2619.0;32;Bibliothèque municipale;200.0;Bibliothèque ouverte au public;23.0;4777.0
Mediatheque De Saint Martin Aux Bois;;;543 rue de l'abbaye;60420;;Saint-Martin-aux-Bois;60;60585;49.522275, 2.56944;49.5250033186, 2.56003918662;49.522275,2.56944;8887.0;8887.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;294.0
Mediatheque Municipale;;;Place des Tilleuls;60700;;SAINT MARTIN LONGUEAU;60;60587;49.341755, 2.603782;49.3474706445, 2.59996403152;49.341755,2.603782;2620.0;2620.0;32;Bibliothèque municipale;236.0;Bibliothèque ouverte au public;16.0;1529.0
Bibliotheque Municipale;place de la mairie;;;60660;;Saint-Vaast-lès-Mello;60;60601;49.266512, 2.391447;49.2767877481, 2.39991208976;49.266512,2.391447;10514.0;10514.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;1147.0
Bibliotheque Municipale;;;RUE BELLON;60300;;Senlis;60;60612;49.205515, 2.58871;49.2118455897, 2.58570626014;49.205515,2.58871;2616.0;2616.0;32;Bibliothèque municipale;1131.0;Bibliothèque ouverte au public;25.0;15443.0
Bibliothèque Municipale;rue du Général de Gaulle;;4;60520;;Thiers-sur-Thève;60;60631;49.152208, 2.57098;49.1536648574, 2.57819751248;49.152208,2.57098;8899.0;8899.0;32;Bibliothèque municipale;53.0;Bibliothèque ouverte au public;2.0;1056.0
Mediatheque Municipale;;;6 Place Saint-Gobain;60150;;Thourotte;60;60636;49.481895, 2.883549;49.4793368724, 2.88124505032;49.481895,2.883549;2622.0;2622.0;32;Bibliothèque municipale;555.0;Bibliothèque ouverte au public;27.5;4702.0
Bibliotheque Municipale Tracy-Le-Mont;TR@CYTHEQUE;CENTRE SOCIO-CULTUREL VICTOR DE L'AIGLE;579 RUE ROGER SALENGRO;60170;;Tracy-le-Mont;60;60641;49.478674, 3.003737;49.469047669, 3.00367907538;49.478674,3.003737;2623.0;2623.0;32;Bibliothèque municipale;132.0;Bibliothèque ouverte au public;12.0;1770.0
Bibliothèque de Tricot;;;22 rue Saint Antoine;60420;;TRICOT;60;60643;49.556299, 2.585224;49.5631454489, 2.58460217686;49.556299,2.585224;8903.0;8903.0;32;Bibliothèque municipale;45.0;Bibliothèque ouverte au public;5.0;1515.0
Bibliothèque Municipale de Trie-Château;;;05 Place de l'Eglise;60590;;Trie-Château;60;60644;49.284779, 1.822624;49.2868018979, 1.81392681407;49.284779,1.822624;8904.0;8904.0;32;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;8.0;1956.0
Bibliothèque Edmée Bouland;;;01 rue du Moulin;60350;;Trosly-Breuil;60;60647;49.399751, 2.988105;49.3995937676, 2.96594779621;49.399751,2.988105;8906.0;8906.0;32;Bibliothèque municipale;263.0;Bibliothèque ouverte au public;10.0;2145.0
Maison Intergénération - Médiathèque Municipale;;;100 rue André;60280;;Venette;60;60665;49.414629, 2.800965;49.4195417844, 2.78373972195;49.414629,2.800965;8911.0;8911.0;32;Bibliothèque municipale;165.0;Bibliothèque ouverte au public;14.0;2931.0
Médiathèque municipale;5 rue de la mairie;cour de la mairie;5 Rue de la Mairie;60400;;Ville;60;60676;49.555254, 2.941377;49.5568331597, 2.93397641263;49.555254,2.941377;8915.0;8915.0;32;Bibliothèque municipale;56.0;Bibliothèque ouverte au public;3.5;782.0
Bibliothèque Municipale;;;2 rue de la Mairie;60175;;Villeneuve-les-Sablons;60;60678;49.236783, 2.077206;49.2334293804, 2.07366432947;49.236783,2.077206;8917.0;8917.0;32;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;8.5;1228.0
BIBLIOTHÈQUE MUNICIPALE DE LES HAUTS TALICAN;;Complexe Mairie-Bibliothèque-Salle des Fêtes de Villotran;9 PLACE DES TILLEULS - VILLOTRAN;60390;;LES HAUTS TALICAN;60;60694;49.343376, 2.019703;49.3451558969, 2.01028324287;49.343376,2.019703;8919.0;8919.0;32;Bibliothèque municipale;40.0;Bibliothèque ouverte au public;2.5;294.0
Bibliotheque Municipale De Wavignies;;;1 Rue de la Hercherie;60130;;Wavignies;60;60701;49.545887, 2.358553;49.5467064424, 2.35949571781;49.545887,2.358553;8920.0;8920.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;1223.0
Biblothèque municipale de Sablons-sur-Huisne;;;6 rue Michel Meillant - Condé-sur-Huisne;61110;;Sablons-sur-Huisne;61;61116;48.379964, 0.851049;48.3793529122, 0.864706610339;48.379964,0.851049;13378.0;13378.0;28;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;8.0;2180.0
Médiathèque de Flers;;CS 149;9 RUE DU COLLEGE;61103;cedex;Flers;61;61169;;48.7399319125, -0.562509564641;48.7399319125,-0.562509564641;2636.0;2636.0;28;Bibliothèque municipale;;Bibliothèque ouverte au public;;15272.0
Médiathèque Les Tanneurs;;;12 Rue des tanneurs;61300;;L'Aigle;61;61214;48.765802, 0.625691;48.7561549553, 0.611126420423;48.765802,0.625691;2628.0;2628.0;28;Bibliothèque municipale;740.0;Bibliothèque ouverte au public;27.0;8276.0
Médiathèque intercommunale de Longny;;;6 Rue du Square Eugène Cordier - Longny-au-Per;61290;;LONGNY LES VILLAGES;61;61230;48.530256, 0.753573;48.5293923919, 0.757893185933;48.530256,0.753573;13443.0;2647.0;28;Bibliothèque municipale;;Bibliothèque ouverte au public;;3114.0
Bibliothèque Municipale de La Madeleine-Bouvet;;;17 rue du Perche;61110;;La Madeleine-bouvet;61;61241;48.469686, 0.896743;48.468815139, 0.898781486083;48.469686,0.896743;13409.0;13409.0;28;Bibliothèque municipale;54.0;Bibliothèque ouverte au public;5.0;415.0
Médiathèque de la Vallée de la haute Sarthe;Site du Mêle sur Sarthe;;17 rue libcany;61170;;Le Mêle-sur-Sarthe;61;61258;48.51152, 0.352309;48.5109025611, 0.35265245515;48.51152,0.352309;13462.0;13462.0;28;Bibliothèque municipale;146.0;Bibliothèque ouverte au public;10.0;759.0
Médiathèque de Mortagne-au-Perche;;;Place du Général de Gaulle;61400;;Mortagne-au-Perche;61;61293;48.520524, 0.545739;48.5204467811, 0.561388622887;48.520524,0.545739;2639.0;2639.0;28;Bibliothèque municipale;800.0;Bibliothèque ouverte au public;26.0;4208.0
Bibliothèque municipale M3;;;Grande Rue;61570;;Mortrée;61;61294;48.640252, 0.07564;48.6384870468, 0.0801583053247;48.640252,0.07564;13412.0;13412.0;28;Bibliothèque municipale;156.0;Bibliothèque ouverte au public;12.0;1085.0
BIBLIOTHEQUE DE PACE;;;LE HOUX;61250;;PACE;61;61321;48.444946, -0.000438;48.4457253693, -0.00548884652011;48.444946,-0.000438;14347.0;2629.0;28;Bibliothèque municipale;73.0;Bibliothèque ouverte au public;7.5;361.0
Médiathèque Intercommunale Les deux chênes;;;Rue du Perche;61360;;Pervenchères;61;61327;48.437401, 0.428396;48.4439121887, 0.411023261659;48.437401,0.428396;13310.0;13310.0;28;Bibliothèque municipale;150.0;Bibliothèque ouverte au public;14.5;347.0
Municipale de Rai;;;Rue Rue Trémont de Boisthorel;61270;;Rai;61;61342;48.750366, 0.577526;48.7559861003, 0.562809659715;48.750366,0.577526;2642.0;2642.0;28;Bibliothèque municipale;180.0;Bibliothèque ouverte au public;16.5;1481.0
Pôle du Sap;;;1 rue du Grand Jardin - Le Sap;61470;;Sap-en-Auge;61;61460;48.894033, 0.340214;48.8881688087, 0.338970200397;48.894033,0.340214;13442.0;2648.0;28;Bibliothèque municipale;;Bibliothèque ouverte au public;;1006.0
Médiathèque d'Anzin Saint Aubin;Albert Uderzo;;16 rue Henri Cadot;62223;;Anzin-Saint-Aubin;62;62037;50.312272, 2.747295;50.3178758623, 2.74105063372;50.312272,2.747295;13812.0;13812.0;32;Bibliothèque municipale;400.0;Bibliothèque ouverte au public;19.0;2828.0
Médiathèque Municipale;;;34 GRAND'RUE;62223;;Athies;62;62042;50.301733, 2.837233;50.3071331522, 2.84195049899;50.301733,2.837233;11074.0;11074.0;32;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;8.5;985.0
Bibliotheque Municipale;François Mitterrand;Cité du Bourg;;62690;;Aubigny-en-Artois;62;62045;50.350842, 2.590276;50.3482767559, 2.58650720649;50.350842,2.590276;11077.0;11077.0;32;Bibliothèque municipale;200.0;Bibliothèque ouverte au public;9.0;1489.0
Mediatheque Municipale;mediatheque;;7 RUE ALBERT DERBECOURT;62810;;Avesnes-le-Comte;62;62063;50.274691, 2.525048;50.271678948, 2.52858702519;50.274691,2.525048;2656.0;2656.0;32;Bibliothèque municipale;170.0;Bibliothèque ouverte au public;14.0;2026.0
Bibliothèque Miss Robin;;Centre culturel Fernand Léger;Boulevard Anatole France;62210;;Avion;62;62065;50.401311, 2.835526;50.4039007645, 2.82658779245;50.401311,2.835526;5849.0;2657.0;32;Bibliothèque municipale;402.0;Bibliothèque ouverte au public;22.5;18384.0
Bibliothèque;;;34 rue principale;62560;;Avroult;62;62067;50.63329, 2.144924;50.6320023279, 2.14547609845;50.63329,2.144924;11083.0;11083.0;32;Bibliothèque municipale;72.0;Bibliothèque ouverte au public;8.0;603.0
Médiathèque Municipale;Franck THILLIEZ;;11 RUE DE FAMPOUX;62580;;Bailleul-Sir-Berthoult;62;62073;50.337684, 2.851479;50.3357112804, 2.84376737542;50.337684,2.851479;11084.0;11084.0;32;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;8.0;1409.0
Mediatheque Municipale;;;51 impasse de la Mairie;62250;;Bazinghen;62;62089;50.825822, 1.661549;50.831272878, 1.65838919631;50.825822,1.661549;11088.0;11088.0;32;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;8.0;420.0
Bibliotheque Municipale;;;40 RUE JEAN JAURES;62575;;BLENDECQUES;62;62139;50.716217, 2.278328;50.7159944346, 2.27536301448;50.716217,2.278328;2665.0;2665.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;5205.0
Bibliotheque Municipale Marcel Lherbier;;Grand' rue;10;62172;;Bouvigny-Boyeffles;62;62170;50.421109, 2.671203;50.4230685525, 2.67309987765;50.421109,2.671203;11104.0;11104.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;2548.0
Bibliothèque Municipale;Espace Culturel Edouard Pignon;;RUE CASIMIR BEUGNET;62160;;Bully-les-Mines;62;62186;50.452032, 2.72056;50.4451131556, 2.71911165536;50.452032,2.72056;2670.0;2670.0;32;Bibliothèque municipale;1400.0;Bibliothèque ouverte au public;30.0;12600.0
Bibliothèque de plage;;Digue Gaston Berthe;digue Gaston Berthe;62100;;Calais;62;62193;50.962728, 1.833806;50.9502072754, 1.87575566132;50.962728,1.833806;14390.0;2671.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;76751.0
Bibliothèque Municipale De Cambrin;;;12 Rue De Noyelles;62149;;Cambrin;62;62200;50.510354, 2.740878;50.5116047377, 2.73659179875;50.510354,2.740878;11111.0;11111.0;32;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;8.0;1131.0
Bibliotheque Municipale de Campagne les Hesdin;Campagne les hesdin;;158 RUE DANIEL RANGER;62870;;Campagne-lès-Hesdin;62;62204;50.398004, 1.87736;50.401191114, 1.86634630857;50.398004,1.87736;11113.0;11113.0;32;Bibliothèque municipale;125.0;Bibliothèque ouverte au public;10.0;1895.0
Mediathèque de la CA2BM;;Mediathèque de la CA2BM;rue de la Mairie;62180;;Conchil-le-Temple;62;62233;50.366255, 1.664891;50.3675406641, 1.6749678298;50.366255,1.664891;11269.0;2660.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;1145.0
Antenne de Dainville;MEDIATHEQUE DEPARTEMENTALE;;3 rue du 19 mars 1962;62000;;DAINVILLE;62;62263;50.291229, 2.738643;50.2771637475, 2.71345127608;50.291229,2.738643;14653.0;2680.0;32;Bibliothèque départementale;;Adresse administrative;;5777.0
Mediatheque Municipale;FRANCOIS MITTERRAND;BP43;19 RUE DES POTIERS;62240;;DESVRES;62;62268;50.667697, 1.837863;50.6749344627, 1.82879354348;50.667697,1.837863;2681.0;2681.0;32;Bibliothèque municipale;500.0;Bibliothèque ouverte au public;26.0;5075.0
Bibliothèque Patrick Defrancq;Espace culturel et sportif les palombes;;18 Rue Gambetta;62119;;Dourges;62;62274;50.434418, 2.984335;50.4393889238, 2.98726838092;50.434418,2.984335;15125.0;15125.0;32;Bibliothèque municipale;180.0;Bibliothèque ouverte au public;18.0;5807.0
Médiathèque Elnes;;;rue Bernard Chochoy;62380;;Elnes;62;62292;50.689204, 2.127343;50.6860806657, 2.11534643648;50.689204,2.127343;11132.0;11132.0;32;Bibliothèque municipale;90.0;Bibliothèque ouverte au public;8.0;973.0
Bibliothèque Municipale;;;RUE DE LA MAIRIE;62860;;Épinoy;62;62298;50.230666, 3.164685;50.2312654081, 3.15940386461;50.230666,3.164685;11135.0;11135.0;32;Bibliothèque municipale;35.0;Bibliothèque ouverte au public;4.0;555.0
Médiathèque intercommunale;d'Eps-Herbeval;;1 RUE DU BOIS;62134;;Eps Herbeval;62;62299;50.45415, 2.293952;50.4548816215, 2.29608712353;50.45415,2.293952;11136.0;11136.0;32;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;10.0;257.0
Médiathèque;;;5 ter rue de la Place;62850;;ESCOEUILLES;62;62308;50.725828, 1.925608;50.7236925633, 1.93553476901;50.725828,1.925608;15122.0;15122.0;32;Bibliothèque municipale;168.0;Bibliothèque ouverte au public;17.0;489.0
Médiathèque Municipale Michel CROCE;;;22/24 Rue des Ecoles;62118;;Fampoux;62;62323;50.301376, 2.869068;50.2998803664, 2.87181354867;50.301376,2.869068;11141.0;11141.0;32;Bibliothèque municipale;173.0;Bibliothèque ouverte au public;8.0;1179.0
Bibliothèque Municipale;;;2 rue Elisée Clais;62250;;Ferques;62;62329;50.831826, 1.758569;50.8288565205, 1.7680736791;50.831826,1.758569;11143.0;11143.0;32;Bibliothèque municipale;70.0;Bibliothèque ouverte au public;6.0;1829.0
Médiathèque Municipale;;;4, place de la mairie;62223;;Feuchy;62;62331;50.294337, 2.844938;50.2847198713, 2.84925984061;50.294337,2.844938;11145.0;11145.0;32;Bibliothèque municipale;75.0;Bibliothèque ouverte au public;11.0;1064.0
Bibliotheque;ESPACE JACQUES BOUT;;76 RUE DU QUESNE;62840;;Fleurbaix;62;62338;50.646038, 2.823483;50.6384888387, 2.83066487498;50.646038,2.823483;11147.0;11147.0;32;Bibliothèque municipale;222.0;Bibliothèque ouverte au public;19.0;2705.0
Bibliothèque Municipale Jules Mousseron;;;18 bis RUE PASTEUR;62740;;Fouquières-lès-Lens;62;62351;50.429247, 2.912293;50.4292454614, 2.90611987264;50.429247,2.912293;2687.0;2687.0;32;Bibliothèque municipale;424.0;Bibliothèque ouverte au public;41.0;6445.0
Bibliothèque municipale Jacques Prévert;;;RUE ROGER SALENGRO;62138;;HAISNES;62;62401;50.508476, 2.803492;50.500965786, 2.79702254759;50.508476,2.803492;17574.0;2688.0;32;Bibliothèque municipale;164.0;Bibliothèque ouverte au public;11.0;4396.0
Bibliothèque De Houdain;Bibliothèque Municipale d'Houdain;;6 rue Henri Durant;62150;;Houdain;62;62457;50.451731, 2.536222;50.4548178375, 2.53664303679;50.451731,2.536222;11168.0;11168.0;32;Bibliothèque municipale;160.0;Bibliothèque ouverte au public;21.0;7429.0
Bibliothèque municipale;;;2 Route Nati;62120;;Lambres;62;62486;50.614875, 2.398683;50.6180000635, 2.40481322183;50.614875,2.398683;11172.0;11172.0;32;Bibliothèque municipale;107.0;Bibliothèque ouverte au public;8.0;1069.0
Bibliotheque Municipale;;;2 RUE ROBERT PARFAIT;62840;;LAVENTIE;62;62491;50.627789, 2.771473;50.6122806488, 2.78361228614;50.627789,2.771473;2696.0;2696.0;32;Bibliothèque municipale;120.0;Bibliothèque ouverte au public;33.0;5071.0
Bibliothèque Jacques Duquesne Pôle Desrousseaux;;;avenue Desrousseaux;62800;;Lievin;62;62510;50.430257, 2.766584;50.4242782538, 2.77291885384;50.430257,2.766584;5855.0;2699.0;32;Bibliothèque municipale;2200.0;Bibliothèque ouverte au public;30.0;31655.0
Antenne de Lillers;MEDIATHEQUE DEPARTEMENTALE;Zone Industrielle du Plantin;1 rue de la Liberté;62190;;LILLERS;62;62516;50.56555, 2.463123;50.5614379612, 2.48197499021;50.56555,2.463123;2701.0;2680.0;32;Bibliothèque départementale;;Adresse administrative;;10310.0
Bibliothèque Municipale;Maroeuil;;9 RUE DU MARÉCHAL LECLERC;62161;;Maroeuil;62;62557;50.323542, 2.706092;50.3306055435, 2.71035583524;50.323542,2.706092;11188.0;11188.0;32;Bibliothèque municipale;94.0;Bibliothèque ouverte au public;10.5;2586.0
Mediatheque Municipale;;;14 RUE NATIONALE;62250;;Marquise;62;62560;50.814473, 1.702567;50.8125786719, 1.70113966333;50.814473,1.702567;11190.0;11190.0;32;Bibliothèque municipale;210.0;Bibliothèque ouverte au public;17.0;5193.0
