Libelle1;Libelle2;Localisation;voie;CP;CEDEXB;Ville;DEPT;INSEE;coordonnees_ban;coordonnees_insee;coordonnees_finales;code_bib;code_ua;Code region;Statut;surface;type_adresse;amplitude_horaire;pop_com
Bibliothèque Intercommunale 'Plaisir de Lire';;;rue de la gare;60490;;Boulogne-la-Grasse;60;60093;49.609493, 2.705751;49.6080302361, 2.70097863571;49.609493,2.705751;8724.0;8724.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;486.0
Médiathèque Madeleine Odent;;;13 rue de la Mare du four;60510;;Bresles;60;60103;49.409555, 2.252608;49.4135603419, 2.25008112215;49.409555,2.252608;8729.0;8729.0;32;Bibliothèque municipale;373.0;Bibliothèque ouverte au public;20.0;4226.0
Bibliothèque Municipale De Bury;;;107 rue Pillon Crouzet;60250;;Bury;60;60116;49.313706, 2.343188;49.3128542225, 2.35865250561;49.313706,2.343188;8732.0;8732.0;32;Bibliothèque municipale;82.0;Bibliothèque ouverte au public;16.0;3033.0
Médiathèque Municipale;;;1 AVENUE Henri BESSE;60290;;Cauffry;60;60134;49.322419, 2.442326;49.3134355162, 2.43026281523;49.322419,2.442326;2584.0;2584.0;32;Bibliothèque municipale;131.0;Bibliothèque ouverte au public;26.0;2535.0
Bibliothèque Municipale;;;8 rue de Pont Sainte Maxence;60940;;Cinqueux;60;60154;49.319259, 2.52798;49.3243592276, 2.53354291409;49.319259,2.52798;8742.0;8742.0;32;Bibliothèque municipale;80.0;Bibliothèque ouverte au public;3.0;1593.0
Bibliothèque De Clairoix;;;1 bis rue Général de Gaulle;60280;;Clairoix;60;60156;49.440091, 2.847325;49.4412986705, 2.8453991397;49.440091,2.847325;8743.0;8743.0;32;Bibliothèque municipale;100.0;Bibliothèque ouverte au public;5.5;2213.0
Jacques-Mourichon;;;28 rue du Général KOENIG;60200;;COMPIEGNE;60;60159;49.406246, 2.811376;49.3990601478, 2.85317249363;49.406246,2.811376;5842.0;2591.0;32;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;41622.0
Bellicart;;;7 rue de la bannière du roy;60200;;COMPIEGNE;60;60159;49.425379, 2.835252;49.3990601478, 2.85317249363;49.425379,2.835252;5843.0;2591.0;32;Bibliothèque municipale classée;;Bibliothèque ouverte au public;;41622.0
Saint-Corneille;;;place du Change;60200;;COMPIEGNE;60;60159;49.416538, 2.824589;49.3990601478, 2.85317249363;49.416538,2.824589;10602.0;2591.0;32;Bibliothèque municipale classée;2200.0;Bibliothèque ouverte au public;31.0;41622.0
Médiathèque L'Abricotine;;;2ter rue Henri Dunant;60100;;Creil;60;60175;49.251401, 2.466763;49.2533487138, 2.48472669359;49.251401,2.466763;5845.0;2593.0;32;Bibliothèque municipale;430.0;Bibliothèque ouverte au public;20.0;35952.0
Bibliothèque Municipale;;;51 rue de la Libération;60530;;Dieudonné;60;60197;49.2312, 2.249595;49.241132253, 2.24030627221;49.2312,2.249595;8755.0;8755.0;32;Bibliothèque municipale;65.0;Bibliothèque ouverte au public;8.0;838.0
Bibliotheque Municipale D'emeville;;;20 RUE FORET;60123;;Eméville;60;60207;49.283151, 3.028897;49.2797702031, 3.02463728753;49.283151,3.028897;8757.0;8757.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;298.0
Bibliothèque Municipale;;;118 Rue de l'école;60640;;Flavy-le-Meldeux;60;60236;49.684997, 3.043623;49.6851555754, 3.0475541502;49.684997,3.043623;8767.0;8767.0;32;Bibliothèque municipale;;Adresse administrative;;215.0
Bibliotheque De Fontaine-Chaalis;Mairie;;GRANDE RUE;60300;;Fontaine-Chaalis;60;60241;49.170469, 2.68486;49.1547073818, 2.66051125918;49.170469,2.68486;8769.0;8769.0;32;Bibliothèque municipale;;Bibliothèque ouverte au public;;379.0
Bibliotheque Municipale De Fouquerolles;;;2 GRANDE RUE;60510;;Fouquerolles;60;60251;49.455796, 2.21431;49.4590327609, 2.21413521512;49.455796,2.21431;8771.0;8771.0;32;Bibliothèque municipale;26.0;Bibliothèque ouverte au public;2.3;290.0
Bibliotheque Municipale;;Mairie;2 RUE DE LA MAIRIE;60240;;Fresne-Léguillon;60;60257;49.253262, 1.981901;49.2509113423, 1.98912391608;49.253262,1.981901;10512.0;10512.0;32;Bibliothèque municipale;36.0;Bibliothèque ouverte au public;4.0;462.0
Bibliothèque De Fresnoy La Rivière;;;38 rue de l'automne;60127;;Fresnoy-la-Rivière;60;60260;49.284638, 2.918021;49.2781522381, 2.92700227503;49.284638,2.918021;8776.0;8776.0;32;Bibliothèque municipale;60.0;Bibliothèque ouverte au public;4.5;648.0
Bibliothèque Communale;mairie de Gilocourt;84 rue Sallez;371 rue de l'Eglise;60129;;Gilocourt;60;60272;49.292645, 2.880164;49.3007930979, 2.89026457858;49.292645,2.880164;8781.0;8781.0;32;Bibliothèque municipale;30.0;Bibliothèque ouverte au public;4.5;660.0
Bibliotheque Municipale;Bibliothèque Municipale de Gouvieux;;37 RUE DE LA MAIRIE;60270;;Gouvieux;60;60282;49.187144, 2.415281;49.1895816267, 2.42026324989;49.187144,2.415281;2599.0;2599.0;32;Bibliothèque municipale;700.0;Bibliothèque ouverte au public;24.0;9588.0
