CODGEO;POP_MUN;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
200000172;26586;49,3;31,4;30,4;19,1;20,9;1,4;30,2;1,5;9,6;9,3;3613;10937;601;902;141;1969;483;230;9;5210;803;828;1462;1094;707;316;0
200000545;18510;52,7;28,9;27,8;30,2;32,9;0,8;39,7;2;8,9;8,9;3875;9967;773;1507;259;1336;484;282;14;4500;654;687;1280;930;592;357;0
200000628;24207;50,8;29,3;27,7;27,2;29,1;0,9;30,1;2,6;7,4;7,8;4524;12006;726;1688;238;1872;533;345;7;5372;806;874;1527;1068;704;393;0
200006682;52638;51,2;27,2;25;28;31,1;0,8;34,9;1,2;4;4;7918;20329;1123;3128;363;3304;773;648;217;8752;1230;1276;2382;1996;1221;647;0
200006971;19614;51,8;25,2;22,5;35,2;38,5;0,6;37,2;1,1;2,4;2,3;2962;7450;495;1223;171;1073;322;256;18;3257;434;428;860;742;523;270;0
200010650;53444;52,3;29,2;27,7;27,8;30,3;0,9;37,1;1,3;4,7;4,6;10199;25764;1706;4121;527;3845;1027;770;276;11216;1486;1731;3068;2459;1620;852;0
200011773;86455;51,2;30,2;28,7;19,2;21,3;1,3;41,3;1,4;17,5;17,6;12733;31876;2196;5156;680;4701;1349;799;410;13741;2537;2282;3701;2639;1626;956;0
200017341;14468;51,8;26,6;25,1;30,7;32;0,8;35,3;1,3;6,2;6;3345;7470;591;1595;186;973;242;190;9;2968;388;423;808;625;463;261;0
200017846;53280;51,1;33;32,4;20,6;21,9;1,3;29,6;2,7;9,5;8,7;9415;27612;1652;2860;338;4565;1474;582;105;13318;1981;2001;3665;2713;1859;1099;0
200018406;32856;52,1;26,3;25,5;32,2;34,1;0,7;34,7;1,4;5,8;5,5;5924;15043;922;2326;335;2341;583;464;18;6464;862;976;1758;1390;954;524;0
200018653;103801;55,7;34,3;30,8;20,7;22,1;1,4;37,4;1,6;6,6;7,3;;;;;;;;;;;;;;;;;0
200023125;45343;51;32,8;31,3;20,4;21,7;1,3;23,6;2,1;9,5;8,8;6887;20848;1367;1727;192;3601;882;365;39;10167;1353;1478;2768;2239;1469;860;0
200023240;29886;52,2;30,1;28,7;25,4;27,3;1;33;2;8,9;8,8;5175;14193;994;1738;247;2196;625;295;24;6583;927;994;1754;1394;937;577;0
200023307;48422;52,2;26,4;24,5;33,1;35,7;0,7;36,2;1,4;5,9;5,4;8963;21433;1517;3921;511;3014;768;702;120;8954;1293;1345;2374;1947;1277;718;0
200023414;488906;52,5;32,5;30,6;23,7;26,4;1;41,1;1,5;5,6;5,2;119451;265010;18823;59803;6858;33967;9151;10484;14649;104876;16594;16317;28185;20807;13839;9134;0
200023737;40898;52,9;25,2;23,3;32,6;34,8;0,6;39,1;0,8;5;4,6;8434;18601;1424;4088;471;2451;533;758;409;7270;1013;1072;1968;1563;1103;551;0
200026573;21867;50,8;27,5;26,4;28,9;30,7;0,8;36,8;1,6;8,9;8,7;3371;9087;483;1224;208;1456;437;219;14;4053;483;573;1124;903;652;318;0
200027183;261925;52,8;28,5;26,3;29,6;32,1;0,8;38,5;1,4;6,8;6,5;64226;139497;13002;31629;3514;16081;3939;4764;2384;55528;7807;8359;14758;11294;7962;5348;0
200027548;30921;50,2;49,2;48,3;7,8;7,7;5,5;22;14,5;37,2;38,7;;;;;;;;;;;;;;;;;0
200030195;536327;52,9;27,1;25,2;29,7;32,5;0,7;41,3;1,3;11,1;10,3;113264;253443;19549;54725;5461;33529;7653;6742;9806;101165;16825;15667;26777;19991;13123;8782;0
200030385;104620;51,8;29,6;27,7;27,1;29,4;0,9;38,3;1,7;7,8;7,2;20581;51031;3277;8878;1056;7370;2084;1789;1433;22071;3187;3370;6121;4792;2995;1606;0
200030633;65559;51,1;31,9;30,2;24,3;27,1;1,1;29,7;2,5;1,2;1;13040;34614;2214;4619;988;5219;1507;857;38;15426;2110;2317;4120;3255;2225;1399;0
200030674;59779;51,5;26,4;24,7;32,4;34,6;0,7;34,6;1,4;7,2;6,7;9842;24005;1702;4063;605;3472;841;766;118;10113;1378;1476;2749;2178;1511;821;0
200033025;36187;51,8;26;23,7;30,7;33,9;0,7;39,7;1,1;3;2,8;6773;14894;1040;3367;437;1929;484;568;119;5816;747;824;1482;1256;950;557;0
200033116;44810;49,8;31,7;30,5;20;22,2;1,3;32;2,1;12,5;12,1;7472;21908;1162;2222;296;3792;1126;499;54;10361;1581;1574;2941;2210;1371;684;0
200033181;134866;51,9;29,7;28,1;25,2;27,3;1;34,7;1,7;5,5;5,2;24089;64766;4106;8789;973;10221;2816;1916;507;29500;4440;4492;7995;6329;4126;2118;0
200033207;34762;52,8;26;24,7;33,7;36,4;0,6;39,1;1,5;8,4;7,5;7052;16084;1236;3307;502;2007;585;607;78;6565;974;996;1751;1373;930;541;0
200033579;106955;52;30,6;28,7;24,2;27;1;36,7;1,5;2,6;2,2;22590;54228;3712;9841;1373;7664;1891;1810;1263;22663;3241;3342;5967;4815;3261;2037;0
200034379;28182;52;24,4;22,4;34,5;36;0,6;31,9;0,9;6,1;6,1;4788;11559;873;1961;255;1699;331;244;26;4828;581;648;1300;1103;772;424;0
200034692;72770;50,8;27,8;26,5;27,6;29,6;0,8;32,1;1,6;5,6;4,9;13464;34369;2427;5234;601;5202;1324;922;84;15100;2277;2277;4137;3220;2068;1121;0
200034700;61364;51,8;26,6;24,9;30,6;32,8;0,7;35,7;1,3;5,6;5,4;11375;28032;2176;4568;517;4114;926;803;77;12036;1727;1757;3257;2609;1744;942;0
200034718;25650;51,8;27,7;26,1;28,7;30,8;0,8;35,5;1,8;3,4;3,3;4701;11053;756;2115;340;1490;448;291;13;4535;635;667;1198;976;712;347;0
200034825;28884;52,1;24,9;23,1;31,6;34,3;0,6;40,7;0,8;2,7;2,7;5633;12273;833;2844;315;1641;329;591;251;4713;727;697;1298;971;698;322;0
200035087;57602;51,6;28,2;26,6;26,1;28;0,9;29,6;1,2;5,1;4,6;9733;26271;1810;3196;378;4349;941;650;38;11795;1755;1824;3339;2435;1591;851;0
200035129;19549;51,6;21,7;19,9;39,4;41,8;0,5;37,2;0,9;4,2;4,2;3858;8304;622;1941;266;1029;236;193;8;3153;394;460;855;681;469;294;0
200035319;109278;53;23,4;21,6;37;39,3;0,5;36,2;1,1;6,5;6;19818;47937;3679;8125;994;7020;1506;1221;146;20078;3016;3047;5562;4215;2724;1514;0
200035459;96608;52,5;28,5;26,7;27,2;29,6;0,8;39,8;1,3;5;4,9;19936;46128;3410;9217;973;6336;1517;1970;846;18895;2836;2886;5123;4050;2625;1375;0
200035665;72783;51,2;32,6;31,1;21,6;23,8;1,3;29;2,3;4,7;4,2;13971;38860;2579;4485;699;6208;1721;981;61;17998;2635;2733;4980;3756;2446;1448;0
200035715;110656;52,4;27,3;25,6;30,2;32,2;0,8;35,9;1,3;6,5;6,3;23606;54273;4399;10729;1431;7047;1701;1711;440;22243;3075;3288;6110;4698;3146;1926;0
200035731;100580;52,7;27;25,2;32,2;35,2;0,7;38,9;1,1;4,5;4,1;19608;47024;2917;8904;955;6832;1818;1598;918;19644;2747;3086;5357;4141;2794;1519;0
200035814;54478;51,2;27,4;25,6;30,9;33,7;0,7;36,4;1,3;3;2,7;9426;23899;1352;3870;483;3721;995;788;130;10280;1403;1412;2850;2235;1619;761;0
200035863;32672;51,1;26,7;25,1;31,9;33,6;0,7;31,4;1,2;6,1;6,3;5933;14497;1129;2333;432;2039;487;405;16;6129;828;891;1682;1359;872;497;0
200036135;19316;52,4;22,8;21,5;37,3;40,3;0,5;40,9;1,1;1,8;1,6;3583;7768;512;1837;229;1005;248;305;70;2986;400;399;775;672;480;260;0
200036465;37972;51,2;28;27;25,8;27,7;0,9;31,1;1,6;5,9;5,5;6220;16499;979;2273;289;2679;702;417;21;7345;1023;1032;2065;1635;1031;559;0
200036473;59468;52,8;25;22,7;32,5;35,1;0,7;37,7;0,8;1,9;1,8;10686;24925;1869;4727;579;3511;720;842;137;10176;1327;1410;2833;2232;1579;795;0
200036549;20807;51,3;27,4;25,4;31,3;34,4;0,7;35,6;1,4;3,6;3,2;3587;8795;557;1518;241;1271;335;277;23;3710;466;510;967;853;600;314;0
200037133;34483;51,3;31,8;30,5;23,9;25,7;1,1;30,7;2,8;7;7,1;5969;16966;1093;1888;283;2705;852;348;76;8003;1135;1159;2141;1744;1153;671;0
