Operateur;X;Y;C2G;C3G;C4G
64710;45.2312872741;-12.7777444241;1;1;1
64710;45.2293680691;-12.7848266128;1;1;1
64710;45.0772298933;-12.6866368787;1;1;1
64710;45.2250703305;-12.7801009282;1;1;1
64710;45.2165048547;-12.7836800039;1;1;1
64710;45.2137996021;-12.7988379489;1;1;1
64710;45.2233061189;-12.7645487914;1;1;1
64710;45.1219810379;-12.72329811;1;1;1
64710;45.2234724683;-12.786106708;1;1;1
64710;45.204386516;-12.8035295887;1;1;1
64710;45.1950916419;-12.9163916227;1;1;1
64710;45.1408735553;-12.9710975638;1;1;1
64710;45.2032065951;-12.7337018095;1;1;1
64710;45.1687387149;-12.7238512056;1;1;1
64710;45.0841635398;-12.9592128012;1;1;1
64710;45.1965160778;-12.8004102028;1;1;1
64710;45.0771148299;-12.7631036636;1;1;1
64710;45.1795444845;-12.7322250304;1;1;1
64710;45.221069426;-12.7565027429;1;1;1
64710;45.2191177992;-12.7900530233;1;1;1
64710;45.1941172258;-12.8216862533;1;1;1
64710;45.2202314235;-12.7779799508;1;1;1
64710;45.2317771819;-12.779498298;1;1;1
64710;45.2257151278;-12.769556463;1;1;1
64710;45.2081387544;-12.805977249;1;1;1
64710;45.2720037352;-12.7887920454;1;1;1
64710;45.2842769868;-12.7645535215;1;1;1
64710;45.2653697839;-12.7887445474;1;1;1
64710;45.2783176831;-12.7826906323;1;1;1
64710;45.2792278951;-12.7977006589;1;1;1
64710;45.2807693133;-12.8001134375;1;1;1
64710;45.2881950552;-12.7912344792;1;1;1
64710;45.282546693;-12.7909783521;1;1;1
64710;45.158851722;-12.9392116367;1;1;1
64710;45.2167894931;-12.885814989;1;1;1
64710;45.0910603482;-12.9089327794;1;1;1
64710;45.142369969;-12.8945499714;1;1;1
64710;45.1031562008;-12.8451314129;1;1;1
64710;45.1032511552;-12.8519767814;1;1;1
64710;45.1039673433;-12.6876224832;1;1;1
64710;45.1196299944;-12.7049897599;1;1;1
64710;45.1437010254;-12.7385606398;1;1;1
64710;45.1825059638;-12.8467340488;1;1;1
64710;45.1925660933;-12.8661416917;1;1;1
64710;45.124649173;-12.8295684594;1;1;1
64710;45.1324156065;-12.8368886158;1;1;1
64710;45.1375806558;-12.8509482418;1;1;1
64710;45.1172385269;-12.8262441107;1;1;1
64710;45.101760805;-12.7897717524;1;1;1
64710;45.1359803338;-12.7883637305;1;1;1
64710;45.2331916393;-12.7562861513;1;1;1
64710;45.1651975765;-12.7320010627;1;1;1
64710;45.1953353547;-12.7316122327;1;1;1
64710;45.2252968544;-12.7445624638;1;1;1
64710;45.1976234296;-12.7445393666;1;1;1
64710;45.1525285073;-12.8040078152;1;1;1
64710;45.1217284159;-12.9640810277;1;1;1
64710;45.0599022846;-12.711807794;1;1;1
64710;45.2244901625;-12.774052598;1;1;1
64710;45.2259472604;-12.7850671192;0;1;1
64700;45.2202011624;-12.7781451882;1;1;1
64700;45.1525350839;-12.8042182379;1;1;1
64700;45.1033220834;-12.851888767;1;1;1
64700;45.158472474;-12.9416015888;1;1;1
64700;45.0598258652;-12.7119458965;1;1;1
64700;45.1199009894;-12.9660556307;1;1;1
64700;45.1978507129;-12.7442070531;1;1;1
64700;45.1039368333;-12.6873355633;1;1;1
64700;45.1413048218;-12.9722843667;1;1;1
64700;45.0773700831;-12.763286888;1;1;1
64700;45.1185789254;-12.7226057932;1;1;1
64700;45.2212972343;-12.7565861984;1;1;1
64700;45.2318665214;-12.7794644899;1;1;1
64700;45.1687265265;-12.7235281116;1;1;1
64700;45.0914448405;-12.9091882843;1;1;1
64700;45.1951183061;-12.9163023511;1;1;1
64700;45.224988068;-12.7735564474;1;1;1
64700;45.1410719415;-12.8530196305;1;1;1
64700;45.2076441339;-12.8914884905;1;1;1
64700;45.2041720208;-12.8037763521;1;1;1
64700;45.1823924208;-12.8464743286;1;1;1
64700;45.2138150625;-12.7985962224;1;1;1
64700;45.2334286932;-12.7548938004;1;1;1
64700;45.1940016211;-12.8667941541;1;1;1
64700;45.2858989024;-12.7838062707;1;1;1
64700;45.2765316735;-12.7949931147;1;1;1
64700;45.2757723939;-12.7830665001;1;1;1
64700;45.1868354689;-12.8353304965;1;1;1
64700;45.1434405612;-12.7389791947;1;1;1
64700;45.1172357091;-12.8261289968;1;1;1
64700;45.2149213096;-12.8751966424;1;1;1
64700;45.0852283865;-12.6795381787;1;1;1
64700;45.0843636281;-12.959251349;1;1;1
64700;45.2881366108;-12.7908843171;1;1;1
64700;45.099214916;-12.7895219643;1;1;1
64700;45.2031117444;-12.7337404953;1;1;1
64700;45.1323910616;-12.8368284935;1;1;1
64700;45.1774402043;-12.7891463484;1;1;1
64700;45.1587112226;-12.8376458542;1;1;1
64702;45.0597777766;-12.7119166987;1;1;1
64702;45.1039444656;-12.6873055379;1;1;1
64702;45.1134721984;-12.7182499876;1;1;1
64702;45.1428333659;-12.7394166555;1;1;1
64702;45.1956666752;-12.9166111119;1;1;1
64702;45.2163888908;-12.8854722389;1;1;1
64702;45.0914333139;-12.9091777987;1;1;1
64702;45.0845832949;-12.9591111153;1;1;1
64702;45.1172778142;-12.8261110733;1;1;1
64702;45.1584444355;-12.9415833395;1;1;1
64702;45.1386944041;-12.9413055834;1;1;1
64702;45.1431944088;-12.8940833671;1;1;1
64702;45.1824166371;-12.8464444706;1;1;1
64702;45.1926389024;-12.8661389254;1;1;1
64702;45.2839721924;-12.7641111148;1;1;1
64702;45.2689722136;-12.7880833076;1;1;1
64702;45.273444452;-12.7895278125;1;1;1
64702;45.2784444358;-12.7825833418;1;1;1
64702;45.2569444818;-12.783583313;1;1;1
64702;45.1199166505;-12.9660277719;1;1;1
64702;45.1413055557;-12.9722777652;1;1;1
64702;45.106055535;-12.9563332888;1;1;1
64702;45.2212222127;-12.7564444697;1;1;1
64702;45.1978611344;-12.7442222373;1;1;1
64702;45.1686666508;-12.7239444835;1;1;1
64702;45.2305277831;-12.7550277379;1;1;1
64702;45.2033055203;-12.7338055455;1;1;1
64702;45.2234722523;-12.7858611057;1;1;1
64702;45.2043333636;-12.8035472634;1;1;1
64702;45.2303332883;-12.7805555806;1;1;1
64702;45.1940833209;-12.8216944169;1;1;1
64702;45.2246388969;-12.7746111363;1;1;1
64702;45.2311860972;-12.7774250305;1;1;1
64702;45.2193888924;-12.7899722266;1;1;1
64702;45.2208611108;-12.7821666967;1;1;1
64702;45.2206666563;-12.7743611068;1;1;1
64702;45.2141944367;-12.7980833685;1;1;1
64702;45.2243610826;-12.7791666869;1;1;1
64702;45.2215555107;-12.76563893;1;1;1
64702;45.0753333106;-12.6849722589;1;1;1
64702;45.0772777832;-12.7630277463;1;1;1
64702;45.1409444866;-12.853027747;1;1;1
64702;45.1324166884;-12.8366667048;1;1;1
64702;45.1525555422;-12.8042222049;1;1;1
64702;45.2846389252;-12.7966944706;1;1;1
64702;45.2888610852;-12.7924166334;1;1;1
64702;45.2795833368;-12.7975833593;1;1;1
64702;45.1033333158;-12.8518610916;1;1;1
64702;45.1364999839;-12.7878333708;1;1;1
64702;45.1014722624;-12.7898611165;1;1;1
