CODE_POSTAL,COUVERTURE_MOBILE
97100,1.0
97101,1.0
97110,0.9315789473684211
97111,0.9444444444444444
97112,0.7300000000000001
97113,0.8699999999999999
97114,0.7529411764705882
97115,0.96
97116,0.8
97117,1.0
97118,0.8958333333333334
97119,0.8300000000000001
97120,1.0
97121,0.9846153846153847
97122,0.9535714285714283
97123,1.0
97125,0.875
97126,0.8666666666666666
97127,0.74
97128,1.0
97129,1.0
97130,0.992
97131,1.0
97134,0.8400000000000001
97136,1.0
97137,0.6000000000000001
97139,0.9424242424242425
97140,0.7333333333333334
97141,1.0
97157,1.0
97160,0.8722222222222222
97170,0.985
97180,0.9571428571428572
97190,0.9589743589743589
NaN,1.0
97300,0.9605263157894737
97310,0.9440000000000001
97312,0.5
97313,0.7000000000000001
97314,0.5
97315,0.9333333333333333
97316,0.55
97317,0.8333333333333334
97318,1.0
97319,0.85
97320,0.9130434782608695
97330,0.5
97340,0.5
97350,0.92
97351,1.0
97352,0.7333333333333334
97354,0.9904761904761905
97355,0.9640000000000001
97356,0.9538461538461539
97370,0.525
97380,0.5
97390,0.8333333333333334
NaN,0.8625000000000002
97200,0.9892857142857141
97211,1.0
97212,0.9461538461538462
97213,0.9384615384615385
97214,0.9375
97215,1.0
97216,1.0
97217,0.97
97218,0.9428571428571428
97220,1.0
97221,1.0
97222,0.9599999999999999
97223,0.8916666666666666
97224,0.9631578947368421
97225,1.0
97226,1.0
97227,0.9384615384615385
97228,1.0
97229,0.9833333333333333
97230,1.0
97231,0.9736842105263158
97232,0.9774193548387096
97233,0.9625
97234,0.9
97240,0.9347826086956522
97250,0.9384615384615383
97260,0.8583333333333334
97270,0.9384615384615385
97275,1.0
97280,1.0
97290,0.9846153846153847
NaN,1.0
96700,0.9800000000000001
97600,1.0
97605,1.0
97610,1.0
97615,1.0
97620,1.0
97625,1.0
97630,1.0
97640,1.0
97650,1.0
97660,1.0
97670,1.0
9768,1.0
97680,1.0
97690,1.0
97 429,1.0
9700,1.0
9719,1.0
974 90,0.8333333333333334
97400,0.9473684210526315
974000,0.8
97404,1.0
97409,0.75
97410,0.9069767441860465
97411,1.0
97412,0.9444444444444444
97413,1.0
97414,0.9166666666666666
97415,1.0
97416,1.0
97417,1.0
97418,0.9318181818181818
97419,0.9696969696969697
97420,0.9519230769230769
97421,1.0
97422,0.9166666666666666
97423,1.0
97424,0.9
97425,1.0
97426,1.0
97427,0.96875
97429,0.975
97430,0.9507042253521126
97431,1.0
97432,0.9629629629629629
97433,1.0
97434,0.94
97435,0.9090909090909091
97436,0.9642857142857143
97437,0.9583333333333334
97438,0.975
97439,0.98
97440,0.8913043478260869
97441,0.9642857142857143
97442,1.0
97450,1.0
97455,0.9166666666666666
97460,0.9444444444444444
97462,1.0
97470,0.9411764705882353
97480,0.9864864864864865
97488,0.975
97490,0.95
97492,0.9210526315789473
97495,0.95
97516,1.0
97546,0.9583333333333334
97744 SAINT-DENIS CEDEX 9,0.9333333333333333
97862,0.911111111111111
98230,1.0
BP 089 - CEDEX 02 97899,1.0
CS81091,1.0
NaN,1.0
SAINT-DENIS,0.9615384615384616
97133,0.718181818181818
721,0.8
97150,0.9024999999999999
