,CODE_INSEE,CODE_POSTAL,latitude,longitude
0,68336,68210,47.655039001000006,7.0935498603
1,68338,68230,48.0865424063,7.250763566989999
2,68350,68420,48.0241428176,7.26224403842
3,68355,68640,47.54698240810001,7.317021688600001
4,68358,68230,47.99741065640001,7.153756296599999
5,68365,68920,48.0520194892,7.30680140883
6,68370,68820,47.9878413195,6.9648338371200005
7,68376,68270,47.810298815500005,7.31251407267
8,68378,68210,47.6430195312,7.106462346849999
9,68379,68600,48.028255627600004,7.497035190389999
10,68382,68130,47.6197053459,7.37256538622
11,69014,69610,45.6794036414,4.47551947043
12,69026,69620,45.890881368900004,4.59105351174
13,69030,69690,45.7635299511,4.492682945
14,69033,69270,45.860340477600005,4.88370094201
15,69035,69840,46.279210944700004,4.66098375274
16,69037,69870,46.0150786956,4.51007188882
17,69038,69770,45.773922534300006,4.37950363405
18,69040,69410,45.7983650854,4.78668207794
19,69049,69380,45.8749558525,4.7708529699
20,69071,69250,45.8694161345,4.81844287868
21,69077,69220,46.1537638462,4.77319704565
22,69081,69130,45.7821499466,4.7721681177
23,69082,69840,46.225502946999995,4.67336302557
24,69086,69210,45.839359028400004,4.65229651357
25,69087,69270,45.843330065500005,4.85410848076
26,69090,69620,45.9219427499,4.63235973295
27,69098,69610,45.7161225651,4.43485013871
28,69099,69610,45.7143308832,4.40563224471
29,69106,69480,45.9270174233,4.67906566253
31,69117,69380,45.8549753291,4.74619581314
32,69122,69480,45.913460957299996,4.70939043822
33,69130,69550,46.045985125600005,4.42169818269
37,69155,69590,45.64626625020001,4.445700953959999
38,69156,69480,45.9582307321,4.6884680442
40,69161,69790,46.192745209399995,4.45130908694
42,69168,69270,45.8431049292,4.83850182261
43,69170,69510,45.6566700054,4.61833164833
44,69176,69510,45.6769698938,4.69227069505
45,69177,69210,45.798226353100006,4.63130091512
46,69181,69170,45.9769778308,4.42664863829
47,69193,69560,45.5166530821,4.83257725316
50,69234,69490,45.85576965,4.52946309389
51,69236,69700,45.5657533865,4.7040188592900005
52,69246,69620,45.940775887799994,4.62735896797
56,69255,69670,45.7318792519,4.643786679790001
57,69259,69200,45.7037728826,4.88137668221
58,69270,69970,45.6282287453,4.95028014638
59,69280,69330,45.8001909817,5.078420309059999
60,69281,69970,45.623063116400004,4.907537518630001
62,69287,69720,45.6961833142,5.022203841730001
63,69289,69780,45.6448417915,5.008760366640001
64,69290,69800,45.70146655600001,4.94882071665
65,69292,69580,45.8257146125,4.87363022248
66,69293,69580,45.840251444799996,4.88563860144
67,69298,69780,45.657717750399996,4.98186963908
68,69387,69007,45.7334098415,4.83758495703
69,69389,69009,45.7817805887,4.80818327822
70,70003,70180,47.577007028900006,5.607454763709999
