,CODE_IRIS,EPCI,ARSAS
0,010040101,240100883,63.0
1,010040102,240100883,148.0
2,010040201,240100883,95.0
3,010040202,240100883,58.0
4,010330102,240100891,
5,010330103,240100891,
6,010330201,240100891,
7,010330202,240100891,
8,010330301,240100891,
9,010330401,240100891,
10,010530101,200071751,52.0
11,010530102,200071751,57.0
12,010530103,200071751,47.0
13,010530201,200071751,55.0
14,010530202,200071751,97.0
15,010530203,200071751,46.0
16,010530301,200071751,57.0
17,010530302,200071751,87.0
18,010530401,200071751,71.0
19,010530402,200071751,40.0
20,010530501,200071751,20.0
21,010530502,200071751,57.0
22,010530503,200071751,174.0
23,010530601,200071751,105.0
24,010530602,200071751,90.0
25,010530603,200071751,85.0
26,010530604,200071751,37.0
27,010530701,200071751,91.0
28,011730101,240100750,78.0
29,011730102,240100750,51.0
30,011730103,240100750,29.0
31,012830102,200042935,99.0
32,012830103,200042935,111.0
33,012830104,200042935,84.0
34,012830201,200042935,45.0
35,012830202,200042935,56.0
36,012830203,200042935,67.0
37,012830301,200042935,44.0
38,012830302,200042935,
39,012830303,200042935,48.0
40,012830304,200042935,48.0
41,012830305,200042935,9.0
42,012830306,200042935,
43,021680101,200072031,181.0
44,021680201,200072031,48.0
45,021680301,200072031,
46,021680401,200072031,71.0
47,021680501,200072031,188.0
48,021680601,200072031,31.0
49,021680701,200072031,130.0
50,021730101,200071785,393.0
51,021730201,200071785,254.0
52,021730301,200071785,83.0
53,024080101,200043495,285.0
54,024080102,200043495,198.0
55,024080103,200043495,95.0
56,024080201,200043495,138.0
57,024080301,200043495,67.0
58,024080401,200043495,31.0
59,024080402,200043495,111.0
60,024080501,200043495,249.0
61,024080601,200043495,83.0
62,024080701,200043495,
63,024080801,200043495,233.0
64,024080901,200043495,38.0
65,026910101,200071892,129.0
66,026910102,200071892,120.0
67,026910103,200071892,153.0
68,026910104,200071892,165.0
69,026910201,200071892,98.0
70,026910202,200071892,35.0
71,026910203,200071892,62.0
72,026910204,200071892,212.0
73,026910205,200071892,
74,026910206,200071892,143.0
75,026910207,200071892,120.0
76,026910208,200071892,53.0
77,026910209,200071892,84.0
78,026910210,200071892,
79,026910301,200071892,184.0
80,026910302,200071892,82.0
81,026910303,200071892,245.0
82,026910304,200071892,273.0
83,026910401,200071892,163.0
84,026910402,200071892,104.0
85,026910403,200071892,92.0
86,026910501,200071892,173.0
87,026910502,200071892,122.0
88,026910503,200071892,288.0
89,026910504,200071892,65.0
90,026910505,200071892,
91,026910601,200071892,200.0
92,027220101,240200477,193.0
93,027220102,240200477,177.0
94,027220103,240200477,157.0
95,027220201,240200477,73.0
96,027220301,240200477,24.0
97,027220401,240200477,200.0
98,027220501,240200477,35.0
99,027220502,240200477,125.0
100,027220503,240200477,73.0
101,027220601,240200477,
102,027220701,240200477,63.0
103,027220801,240200477,87.0
104,027220901,240200477,89.0
105,027380101,200071785,60.0
106,027380102,200071785,67.0
107,027380201,200071785,117.0
108,027380301,200071785,129.0
109,027380302,200071785,209.0
