,CODE_IRIS,EPCI,ARSAS
110,027380401,200071785,149.0
111,028100102,200071991,63.0
112,028100202,200071991,69.0
113,028100302,200071991,36.0
114,028100401,200071991,122.0
115,030950101,200071363,132.0
116,030950102,200071363,75.0
117,030950103,200071363,130.0
118,030950105,200071363,39.0
119,030950106,200071363,9.0
120,030950111,200071363,60.0
121,031850101,200071082,177.0
122,031850102,200071082,134.0
123,031850103,200071082,87.0
124,031850104,200071082,73.0
125,031850105,200071082,107.0
126,031850106,200071082,235.0
127,031850107,200071082,72.0
128,031850108,200071082,96.0
129,031850109,200071082,
130,031850110,200071082,93.0
131,031850111,200071082,19.0
132,031850112,200071082,59.0
133,031850113,200071082,147.0
134,031850114,200071082,97.0
135,031850115,200071082,201.0
136,031850116,200071082,83.0
137,031850117,200071082,161.0
138,031900101,200071140,110.0
139,031900102,200071140,152.0
140,031900103,200071140,52.0
141,031900104,200071140,100.0
142,031900105,200071140,51.0
143,031900106,200071140,88.0
144,031900107,200071140,112.0
145,031900108,200071140,166.0
146,031900109,200071140,57.0
147,033100101,200071363,266.0
148,033100102,200071363,244.0
149,033100103,200071363,167.0
150,033100104,200071363,68.0
151,033100105,200071363,161.0
152,033100106,200071363,119.0
153,033100107,200071363,146.0
154,033100108,200071363,54.0
155,033100109,200071363,162.0
156,033100110,200071363,61.0
157,033210101,200071140,46.0
158,033210102,200071140,55.0
159,033210103,200071140,126.0
160,033210104,200071140,21.0
161,033210105,200071140,6.0
162,033210106,200071140,21.0
163,040700101,200067437,41.0
164,040700102,200067437,97.0
165,040700103,200067437,52.0
166,040700104,200067437,50.0
167,040700105,200067437,60.0
168,040700106,200067437,24.0
169,040700107,200067437,189.0
170,040700108,200067437,84.0
171,040700109,200067437,
172,041120101,200034700,212.0
173,041120102,200034700,77.0
174,041120103,200034700,154.0
175,041120104,200034700,28.0
176,041120105,200034700,32.0
177,041120106,200034700,52.0
178,041120107,200034700,129.0
179,041120108,200034700,44.0
180,041120109,200034700,48.0
181,041120110,200034700,49.0
182,050230101,240500439,42.0
183,050230102,240500439,51.0
184,050230103,240500439,31.0
185,050230104,240500439,35.0
186,050230105,240500439,52.0
187,050230106,240500439,
188,050230107,240500439,
189,050230108,240500439,
190,050230109,240500439,
191,050610101,200067825,178.0
192,050610102,200067825,57.0
193,050610103,200067825,65.0
194,050610104,200067825,25.0
195,050610105,200067825,37.0
196,050610106,200067825,110.0
197,050610107,200067825,63.0
198,050610108,200067825,59.0
199,050610109,200067825,43.0
200,050610110,200067825,60.0
201,050610111,200067825,52.0
202,050610112,200067825,45.0
203,050610113,200067825,45.0
204,050610114,200067825,22.0
205,050610115,200067825,82.0
206,050610116,200067825,41.0
207,050610117,200067825,
208,050610118,200067825,
209,050610119,200067825,
210,050610120,200067825,
211,050610201,200067825,16.0
212,060040101,240600585,35.0
213,060040102,240600585,22.0
214,060040103,240600585,15.0
215,060040104,240600585,23.0
216,060040105,240600585,32.0
217,060040106,240600585,54.0
218,060040107,240600585,65.0
219,060040108,240600585,45.0
220,060040109,240600585,100.0
221,060040110,240600585,13.0
222,060040111,240600585,63.0
223,060040112,240600585,26.0
224,060040113,240600585,
225,060040114,240600585,42.0
226,060040115,240600585,75.0
227,060040116,240600585,43.0
228,060040117,240600585,40.0
229,060040118,240600585,52.0
230,060040119,240600585,38.0
231,060040120,240600585,47.0
232,060040121,240600585,18.0
233,060040122,240600585,40.0
234,060040123,240600585,92.0
235,060040124,240600585,84.0
236,060040125,240600585,129.0
237,060040126,240600585,130.0
238,060120101,240600551,35.0
239,060120102,240600551,21.0
240,060120103,240600551,32.0
241,060120104,240600551,21.0
242,060120105,240600551,36.0
243,060270101,200030195,101.0
244,060270102,200030195,120.0
245,060270103,200030195,45.0
246,060270104,200030195,52.0
247,060270105,200030195,44.0
248,060270106,200030195,
249,060270107,200030195,69.0
250,060270108,200030195,32.0
251,060270109,200030195,33.0
252,060270110,200030195,31.0
253,060270111,200030195,27.0
254,060270112,200030195,46.0
255,060270113,200030195,41.0
256,060270114,200030195,63.0
257,060270115,200030195,74.0
258,060270116,200030195,34.0
259,060270117,200030195,38.0
260,060290101,200039915,
261,060290102,200039915,
262,060290103,200039915,
263,060290104,200039915,68.0
264,060290105,200039915,62.0
265,060290106,200039915,53.0
266,060290107,200039915,75.0
267,060290108,200039915,113.0
268,060290109,200039915,131.0
269,060290110,200039915,54.0
270,060290111,200039915,36.0
271,060290112,200039915,64.0
272,060290113,200039915,44.0
273,060290114,200039915,54.0
274,060290115,200039915,37.0
275,060290116,200039915,60.0
276,060290117,200039915,61.0
277,060290118,200039915,76.0
278,060290119,200039915,52.0
279,060290120,200039915,47.0
280,060290121,200039915,
281,060290122,200039915,38.0
282,060290123,200039915,117.0
283,060290124,200039915,16.0
284,060290125,200039915,139.0
285,060290126,200039915,55.0
286,060290127,200039915,48.0
287,060290128,200039915,129.0
288,060290130,200039915,117.0
289,060290131,200039915,108.0
290,060290132,200039915,58.0
291,060300101,200039915,40.0
292,060300102,200039915,30.0
293,060300103,200039915,56.0
294,060300104,200039915,27.0
295,060300105,200039915,54.0
296,060300106,200039915,30.0
297,060300107,200039915,60.0
298,060300108,200039915,51.0
299,060300109,200039915,45.0
300,060300110,200039915,63.0
301,060300111,200039915,37.0
302,060300112,200039915,55.0
303,060300113,200039915,82.0
304,060300114,200039915,75.0
305,060300115,200039915,43.0
306,060300116,200039915,50.0
307,060300117,200039915,47.0
308,060330101,200030195,10.0
309,060330102,200030195,65.0
310,060330103,200030195,44.0
311,060330104,200030195,
312,060330105,200030195,44.0
313,060690101,200039857,103.0
314,060690102,200039857,36.0
315,060690103,200039857,65.0
316,060690104,200039857,29.0
317,060690105,200039857,31.0
318,060690106,200039857,31.0
319,060690107,200039857,61.0
320,060690108,200039857,34.0
321,060690109,200039857,66.0
322,060690110,200039857,18.0
323,060690111,200039857,211.0
324,060690112,200039857,20.0
325,060690113,200039857,90.0
326,060690114,200039857,27.0
327,060690115,200039857,
328,060690116,200039857,27.0
329,060690117,200039857,
330,060790101,200039915,
331,060790102,200039915,47.0
332,060790103,200039915,32.0
333,060790104,200039915,40.0
334,060790105,200039915,50.0
335,060790106,200039915,59.0
336,060790107,200039915,65.0
337,060790108,200039915,59.0
338,060790109,200039915,45.0
339,060830101,240600551,41.0
340,060830102,240600551,44.0
341,060830103,240600551,35.0
342,060830104,240600551,52.0
343,060830105,240600551,38.0
344,060830106,240600551,36.0
345,060830201,240600551,20.0
346,060830202,240600551,42.0
347,060830203,240600551,23.0
348,060830204,240600551,37.0
349,060830205,240600551,44.0
350,060830206,240600551,72.0
351,060840101,200039857,13.0
352,060840102,200039857,33.0
353,060840103,200039857,37.0
354,060840104,200039857,18.0
355,060850101,200039915,34.0
356,060850102,200039915,29.0
357,060850103,200039915,13.0
358,060850104,200039915,104.0
359,060850105,200039915,31.0
360,060850107,200039915,42.0
361,060850108,200039915,14.0
362,060880101,200030195,41.0
363,060880102,200030195,78.0
364,060880103,200030195,71.0
365,060880201,200030195,54.0
366,060880202,200030195,53.0
367,060880203,200030195,73.0
368,060880204,200030195,49.0
369,060880205,200030195,46.0
370,060880206,200030195,82.0
371,060880301,200030195,60.0
372,060880302,200030195,60.0
373,060880303,200030195,37.0
374,060880304,200030195,93.0
375,060880305,200030195,83.0
376,060880401,200030195,
377,060880402,200030195,32.0
378,060880403,200030195,
379,060880404,200030195,
380,060880501,200030195,143.0
381,060880502,200030195,98.0
382,060880503,200030195,60.0
383,060880504,200030195,64.0
384,060880505,200030195,53.0
385,060880506,200030195,76.0
386,060880507,200030195,72.0
387,060880508,200030195,177.0
388,060880509,200030195,152.0
389,060880601,200030195,104.0
390,060880602,200030195,54.0
391,060880603,200030195,125.0
392,060880604,200030195,131.0
393,060880605,200030195,95.0
394,060880701,200030195,150.0
395,060880702,200030195,284.0
396,060880801,200030195,63.0
397,060880901,200030195,
398,060880902,200030195,106.0
399,060880903,200030195,134.0
400,060880904,200030195,
401,060880905,200030195,
402,060881001,200030195,
403,060881002,200030195,28.0
404,060881003,200030195,26.0
405,060881004,200030195,24.0
406,060881005,200030195,
407,060881101,200030195,85.0
408,060881102,200030195,59.0
409,060881103,200030195,49.0
410,060881104,200030195,23.0
411,060881105,200030195,71.0
412,060881201,200030195,109.0
413,060881202,200030195,32.0
414,060881203,200030195,55.0
415,060881204,200030195,117.0
416,060881301,200030195,62.0
417,060881302,200030195,54.0
418,060881303,200030195,50.0
419,060881304,200030195,39.0
420,060881305,200030195,69.0
421,060881306,200030195,34.0
422,060881307,200030195,25.0
423,060881308,200030195,32.0
424,060881309,200030195,66.0
425,060881401,200030195,58.0
426,060881402,200030195,69.0
427,060881403,200030195,55.0
428,060881404,200030195,57.0
429,060881501,200030195,94.0
430,060881502,200030195,47.0
431,060881503,200030195,55.0
432,060881504,200030195,41.0
433,060881505,200030195,54.0
434,060881506,200030195,55.0
435,060881601,200030195,26.0
436,060881602,200030195,63.0
437,060881603,200030195,52.0
438,060881604,200030195,
439,060881605,200030195,45.0
440,060881606,200030195,26.0
441,060881701,200030195,37.0
442,060881702,200030195,48.0
443,060881703,200030195,90.0
444,060881704,200030195,66.0
445,060881705,200030195,57.0
446,060881801,200030195,
447,060881802,200030195,130.0
448,060881803,200030195,119.0
449,060881804,200030195,103.0
450,060881805,200030195,57.0
451,060881901,200030195,73.0
452,060881902,200030195,67.0
453,060881903,200030195,81.0
454,060882001,200030195,30.0
455,060882002,200030195,41.0
456,060882101,200030195,62.0
457,060882102,200030195,104.0
458,060882103,200030195,110.0
459,060882104,200030195,62.0
460,060882201,200030195,42.0
461,060882202,200030195,129.0
462,060882203,200030195,116.0
463,060882301,200030195,40.0
464,060882302,200030195,42.0
465,060882303,200030195,81.0
466,060882304,200030195,81.0
467,060882401,200030195,76.0
468,060882402,200030195,67.0
469,060882501,200030195,84.0
470,060882502,200030195,73.0
471,060882503,200030195,70.0
472,060882504,200030195,120.0
473,060882601,200030195,92.0
474,060882602,200030195,58.0
475,060882603,200030195,54.0
476,060882701,200030195,90.0
477,060882702,200030195,40.0
478,060882703,200030195,36.0
479,060882704,200030195,39.0
480,060882705,200030195,
481,060882801,200030195,130.0
482,060882802,200030195,49.0
483,060882803,200030195,35.0
484,060882804,200030195,41.0
485,060882805,200030195,
486,060882901,200030195,110.0
487,060882902,200030195,
488,060882903,200030195,93.0
489,060882904,200030195,75.0
490,060882905,200030195,29.0
491,060882906,200030195,38.0
492,060883001,200030195,
493,060883002,200030195,76.0
494,060883003,200030195,75.0
495,060883101,200030195,35.0
496,060883102,200030195,45.0
497,060883201,200030195,23.0
498,060883202,200030195,18.0
499,060883301,200030195,155.0
500,060883401,200030195,58.0
501,060883402,200030195,43.0
502,060883403,200030195,65.0
503,060883501,200030195,18.0
504,060883601,200030195,34.0
505,060883602,200030195,27.0
506,060883701,200030195,58.0
507,060883801,200030195,
508,061040101,240600551,24.0
509,061040102,240600551,36.0
510,061040103,240600551,22.0
511,061040104,240600551,24.0
512,061040105,240600551,38.0
513,061230101,200030195,
514,061230102,200030195,34.0
515,061230103,200030195,24.0
516,061230104,200030195,30.0
517,061230105,200030195,82.0
518,061230106,200030195,29.0
519,061230107,200030195,52.0
520,061230108,200030195,15.0
521,061230109,200030195,71.0
522,061230110,200030195,24.0
523,061230111,200030195,24.0
524,061490101,200030195,23.0
525,061490102,200030195,39.0
526,061490103,200030195,29.0
527,061490104,200030195,83.0
528,061520101,240600585,27.0
529,061520102,240600585,25.0
530,061520103,240600585,52.0
531,061520104,240600585,16.0
532,061550101,240600585,39.0
533,061550102,240600585,59.0
534,061550103,240600585,87.0
535,061550104,240600585,90.0
536,061550105,240600585,79.0
537,061550106,240600585,70.0
538,061550107,240600585,56.0
539,061550108,240600585,89.0
540,061550109,240600585,64.0
541,061550110,240600585,60.0
542,061570101,200030195,67.0
543,061570102,200030195,51.0
544,061570103,200030195,26.0
545,061570104,200030195,17.0
546,061570105,200030195,39.0
547,061570106,200030195,38.0
548,061570107,200030195,34.0
549,061610101,240600585,17.0
550,061610102,240600585,11.0
551,061610103,240600585,27.0
552,061610104,240600585,26.0
553,061610105,240600585,70.0
554,061610106,240600585,54.0
555,061610107,240600585,29.0
556,070100101,200072015,171.0
557,070100102,200072015,118.0
558,070100103,200072015,34.0
559,070100201,200072015,100.0
560,070100202,200072015,77.0
561,070100203,200072015,66.0
562,070100204,200072015,
563,070190101,200073245,148.0
564,070190102,200073245,56.0
565,070190103,200073245,134.0
566,070190104,200073245,130.0
567,070190105,200073245,34.0
568,071020101,200041366,30.0
569,071020102,200041366,11.0
570,071020103,200041366,12.0
571,071020104,200041366,29.0
572,073240101,200073096,76.0
573,073240102,200073096,49.0
574,073240103,200073096,10.0
575,073240104,200073096,65.0
576,081050101,200041630,103.0
577,081050102,200041630,229.0
578,081050201,200041630,73.0
579,081050202,200041630,96.0
580,081050301,200041630,85.0
581,081050302,200041630,100.0
582,081050401,200041630,204.0
583,081050402,200041630,183.0
584,081050501,200041630,187.0
585,081050502,200041630,228.0
586,081050601,200041630,103.0
587,081050602,200041630,
588,081050701,200041630,160.0
589,081050702,200041630,184.0
590,081050801,200041630,183.0
591,081050802,200041630,200.0
592,081050803,200041630,338.0
593,081050901,200041630,157.0
594,081050902,200041630,197.0
595,081051001,200041630,43.0
596,081051002,200041630,52.0
597,084090101,200041630,12.0
598,084090102,200041630,133.0
599,084090201,200041630,66.0
600,084090202,200041630,155.0
601,084090301,200041630,201.0
602,084090302,200041630,229.0
603,084090303,200041630,158.0
604,084090401,200041630,79.0
605,084090402,200041630,64.0
606,084090501,200041630,191.0
607,084090502,200041630,
608,092250101,200066231,403.0
609,092250102,200066231,120.0
610,092250103,200066231,21.0
611,092250104,200066231,58.0
612,092250105,200066231,76.0
613,092250106,200066231,156.0
614,092250107,200066231,76.0
615,100810101,200069250,107.0
616,100810102,200069250,49.0
617,100810103,200069250,46.0
618,100810201,200069250,187.0
619,100810202,200069250,
620,100810203,200069250,147.0
621,100810205,200069250,128.0
622,103230101,200000545,154.0
623,103230102,200000545,165.0
624,103230103,200000545,66.0
625,103230104,200000545,219.0
626,103230201,200000545,94.0
627,103230202,200000545,94.0
628,103330101,200069250,
629,103330102,200069250,
630,103330103,200069250,49.0
631,103330201,200069250,175.0
632,103330202,200069250,101.0
633,103620101,200069250,62.0
634,103620102,200069250,115.0
635,103620103,200069250,41.0
636,103620104,200069250,80.0
637,103620105,200069250,50.0
638,103870101,200069250,117.0
639,103870201,200069250,60.0
640,103870202,200069250,140.0
641,103870203,200069250,92.0
642,103870204,200069250,115.0
643,103870301,200069250,160.0
644,103870302,200069250,207.0
645,103870401,200069250,210.0
646,103870501,200069250,123.0
647,103870502,200069250,
648,103870601,200069250,98.0
649,103870602,200069250,166.0
650,103870603,200069250,95.0
651,103870701,200069250,305.0
652,103870702,200069250,54.0
653,103870801,200069250,234.0
654,103870802,200069250,80.0
655,103870901,200069250,72.0
656,103870902,200069250,217.0
657,103871001,200069250,
658,103871002,200069250,156.0
659,103871003,200069250,
660,103871004,200069250,77.0
661,103871101,200069250,120.0
662,103871102,200069250,109.0
663,103871103,200069250,72.0
664,103871104,200069250,187.0
665,110690101,200035715,131.0
666,110690102,200035715,
667,110690103,200035715,241.0
668,110690201,200035715,112.0
669,110690202,200035715,105.0
670,110690203,200035715,92.0
671,110690301,200035715,267.0
672,110690302,200035715,167.0
673,110690401,200035715,133.0
674,110690402,200035715,130.0
675,110690403,200035715,184.0
676,110690404,200035715,113.0
677,110690501,200035715,74.0
678,110690601,200035715,
679,110690702,200035715,166.0
680,110690703,200035715,61.0
681,110690801,200035715,20.0
682,110690901,200035715,84.0
683,110690902,200035715,295.0
684,110690903,200035715,113.0
685,110690904,200035715,154.0
686,110760102,200035855,66.0
687,110760104,200035855,217.0
688,110760105,200035855,64.0
689,110760106,200035855,88.0
690,110760107,200035855,30.0
691,112030101,200035863,
692,112030102,200035863,106.0
693,112030103,200035863,178.0
694,112030104,200035863,139.0
695,112030105,200035863,
696,112030106,200035863,150.0
697,112060101,200071926,187.0
698,112060102,200071926,87.0
699,112060103,200071926,84.0
700,112060104,200071926,95.0
701,112620101,241100593,
702,112620102,241100593,
703,112620103,241100593,87.0
704,112620104,241100593,56.0
705,112620201,241100593,188.0
706,112620202,241100593,118.0
707,112620203,241100593,54.0
708,112620206,241100593,135.0
709,112620207,241100593,38.0
710,112620301,241100593,206.0
711,112620302,241100593,148.0
712,112620303,241100593,263.0
713,112620304,241100593,118.0
714,112620305,241100593,45.0
715,112620401,241100593,95.0
716,112620402,241100593,64.0
717,112620403,241100593,70.0
718,112620501,241100593,150.0
719,112620502,241100593,80.0
720,112620503,241100593,184.0
721,112620504,241100593,119.0
722,112620505,241100593,266.0
723,112620602,241100593,
724,112620603,241100593,
725,121450101,241200567,168.0
726,121450102,241200567,127.0
727,121450103,241200567,71.0
728,121450104,241200567,57.0
729,121450105,241200567,
730,121450106,241200567,32.0
731,121450107,241200567,21.0
732,121450108,241200567,27.0
733,121450109,241200567,14.0
734,121450110,241200567,16.0
735,121760101,241200187,36.0
736,121760102,241200187,73.0
737,121760103,241200187,7.0
738,121760201,241200187,42.0
739,121760301,241200187,16.0
740,121760401,241200187,
741,122020101,241200187,75.0
742,122020201,241200187,35.0
743,122020202,241200187,87.0
744,122020301,241200187,66.0
745,122020302,241200187,25.0
746,122020303,241200187,29.0
747,122020401,241200187,21.0
748,122020402,241200187,41.0
749,122020403,241200187,65.0
750,122020501,241200187,57.0
751,122020502,241200187,11.0
752,122020503,241200187,
753,123000101,200069383,165.0
754,123000102,200069383,49.0
755,123000103,200069383,40.0
756,123000104,200069383,17.0
757,123000105,200069383,44.0
758,123000106,200069383,15.0
759,130010101,200054807,40.0
760,130010102,200054807,95.0
761,130010103,200054807,61.0
762,130010104,200054807,81.0
763,130010105,200054807,59.0
764,130010202,200054807,46.0
765,130010203,200054807,36.0
766,130010204,200054807,22.0
767,130010205,200054807,52.0
768,130010206,200054807,54.0
769,130010301,200054807,50.0
770,130010302,200054807,33.0
771,130010303,200054807,18.0
772,130010304,200054807,46.0
773,130010305,200054807,34.0
774,130010306,200054807,91.0
775,130010307,200054807,23.0
776,130010401,200054807,
777,130010402,200054807,50.0
778,130010403,200054807,66.0
779,130010404,200054807,
780,130010501,200054807,132.0
781,130010502,200054807,26.0
782,130010503,200054807,23.0
783,130010504,200054807,94.0
784,130010505,200054807,29.0
785,130010506,200054807,20.0
786,130010601,200054807,106.0
787,130010602,200054807,149.0
788,130010603,200054807,97.0
789,130010604,200054807,70.0
790,130010605,200054807,21.0
791,130010606,200054807,133.0
792,130010701,200054807,100.0
793,130010702,200054807,41.0
794,130010703,200054807,70.0
795,130010704,200054807,105.0
796,130010705,200054807,146.0
797,130010706,200054807,79.0
798,130010707,200054807,36.0
799,130010709,200054807,44.0
800,130010710,200054807,17.0
801,130010711,200054807,32.0
802,130010801,200054807,37.0
803,130010802,200054807,39.0
804,130010803,200054807,50.0
805,130010804,200054807,35.0
806,130010901,200054807,115.0
807,130010902,200054807,48.0
808,130010903,200054807,38.0
809,130010905,200054807,41.0
810,130010906,200054807,22.0
811,130010907,200054807,97.0
812,130010908,200054807,45.0
813,130020101,200054807,49.0
814,130020102,200054807,42.0
815,130020103,200054807,60.0
816,130020104,200054807,30.0
817,130020105,200054807,53.0
818,130020106,200054807,34.0
819,130040101,241300417,147.0
820,130040102,241300417,81.0
821,130040103,241300417,147.0
822,130040104,241300417,151.0
823,130040105,241300417,135.0
824,130040106,241300417,159.0
825,130040107,241300417,124.0
826,130040108,241300417,28.0
827,130040109,241300417,206.0
828,130040110,241300417,71.0
829,130040111,241300417,53.0
830,130040112,241300417,69.0
831,130040113,241300417,188.0
832,130040114,241300417,73.0
833,130040115,241300417,
834,130040116,241300417,66.0
835,130040117,241300417,
836,130040118,241300417,97.0
837,130040119,241300417,48.0
838,130040120,241300417,44.0
839,130040121,241300417,24.0
840,130040122,241300417,41.0
841,130040123,241300417,75.0
842,130040124,241300417,49.0
843,130040125,241300417,
844,130050101,200054807,166.0
845,130050102,200054807,153.0
846,130050201,200054807,66.0
847,130050202,200054807,98.0
848,130050301,200054807,72.0
849,130050302,200054807,61.0
850,130050401,200054807,52.0
851,130050402,200054807,75.0
852,130050403,200054807,20.0
853,130050501,200054807,56.0
854,130050502,200054807,113.0
855,130050601,200054807,39.0
856,130050602,200054807,18.0
857,130050603,200054807,
858,130050701,200054807,37.0
859,130050702,200054807,30.0
860,130050703,200054807,11.0
861,130050704,200054807,
862,130050705,200054807,19.0
863,130050706,200054807,13.0
864,130070101,200054807,70.0
865,130070102,200054807,27.0
866,130070103,200054807,32.0
867,130070104,200054807,36.0
868,130140101,200054807,94.0
869,130140102,200054807,71.0
870,130140103,200054807,93.0
871,130140104,200054807,60.0
872,130140105,200054807,
873,130140106,200054807,50.0
874,130150101,200054807,45.0
875,130150102,200054807,14.0
876,130150103,200054807,37.0
877,130150104,200054807,20.0
878,130150105,200054807,23.0
879,130260101,200054807,153.0
880,130260102,200054807,100.0
881,130260103,200054807,32.0
882,130260104,200054807,83.0
883,130260105,200054807,45.0
884,130260106,200054807,
885,130260107,200054807,
886,130270101,200035087,57.0
887,130270102,200035087,63.0
888,130270103,200035087,51.0
889,130270104,200035087,47.0
890,130270105,200035087,82.0
891,130270106,200035087,57.0
892,130280101,200054807,189.0
893,130280102,200054807,78.0
894,130280103,200054807,56.0
895,130280104,200054807,18.0
896,130280105,200054807,43.0
897,130280106,200054807,58.0
898,130280107,200054807,82.0
899,130280108,200054807,42.0
900,130280109,200054807,74.0
901,130280110,200054807,127.0
902,130280111,200054807,103.0
903,130280112,200054807,41.0
904,130280113,200054807,63.0
905,130280114,200054807,60.0
906,130390101,200054807,86.0
907,130390102,200054807,
908,130390103,200054807,
909,130390104,200054807,
910,130390105,200054807,39.0
911,130390106,200054807,68.0
912,130390107,200054807,30.0
913,130390108,200054807,91.0
914,130410101,200054807,68.0
915,130410102,200054807,134.0
916,130410103,200054807,48.0
917,130410104,200054807,48.0
918,130410105,200054807,44.0
919,130410106,200054807,87.0
920,130410107,200054807,43.0
921,130410108,200054807,41.0
922,130470101,200054807,42.0
923,130470102,200054807,167.0
924,130470103,200054807,91.0
925,130470104,200054807,49.0
926,130470105,200054807,46.0
927,130470106,200054807,100.0
928,130470107,200054807,134.0
929,130470108,200054807,
930,130470109,200054807,81.0
931,130470110,200054807,45.0
932,130470111,200054807,59.0
933,130470112,200054807,37.0
934,130470113,200054807,42.0
935,130470114,200054807,27.0
936,130470115,200054807,27.0
937,130470116,200054807,169.0
938,130470117,200054807,
939,130540101,200054807,16.0
940,130540102,200054807,43.0
941,130540103,200054807,173.0
942,130540104,200054807,49.0
943,130540105,200054807,23.0
944,130540106,200054807,76.0
945,130540107,200054807,37.0
946,130540108,200054807,104.0
947,130540109,200054807,36.0
948,130540110,200054807,38.0
949,130540111,200054807,146.0
950,130540112,200054807,109.0
951,130540113,200054807,18.0
952,130540114,200054807,39.0
953,130540115,200054807,122.0
954,130560101,200054807,104.0
955,130560102,200054807,30.0
956,130560103,200054807,53.0
957,130560104,200054807,97.0
958,130560105,200054807,142.0
959,130560106,200054807,167.0
960,130560107,200054807,51.0
961,130560108,200054807,191.0
962,130560109,200054807,113.0
963,130560110,200054807,52.0
964,130560111,200054807,
965,130560112,200054807,
966,130560113,200054807,25.0
967,130560114,200054807,103.0
968,130560115,200054807,37.0
969,130560116,200054807,155.0
970,130560117,200054807,62.0
971,130560118,200054807,132.0
972,130560119,200054807,109.0
973,130560120,200054807,
974,130630101,200054807,56.0
975,130630102,200054807,138.0
976,130630103,200054807,151.0
977,130630104,200054807,56.0
978,130630105,200054807,113.0
979,130630106,200054807,100.0
980,130630107,200054807,95.0
981,130630108,200054807,30.0
982,130630109,200054807,55.0
983,130630110,200054807,
984,130710101,200054807,18.0
985,130710102,200054807,29.0
986,130710103,200054807,27.0
987,130710104,200054807,52.0
988,130710105,200054807,49.0
989,130710106,200054807,24.0
990,130710107,200054807,42.0
991,130710108,200054807,24.0
992,130710109,200054807,71.0
993,130750101,200054807,32.0
994,130750102,200054807,41.0
995,130750103,200054807,23.0
996,130750104,200054807,20.0
997,130750105,200054807,52.0
998,130770101,200054807,245.0
999,130770102,200054807,105.0
1000,130770103,200054807,145.0
1001,130770104,200054807,92.0
1002,130770105,200054807,97.0
1003,130770106,200054807,33.0
1004,130770107,200054807,118.0
1005,130770108,200054807,85.0
1006,130810101,200054807,45.0
1007,130810102,200054807,24.0
1008,130810103,200054807,41.0
1009,130810104,200054807,38.0
1010,130810105,200054807,49.0
1011,130970101,241300417,50.0
1012,130970102,241300417,67.0
1013,130970103,241300417,30.0
