Code_commune_INSEE,Nom_commune,code_postal,Ville_bibliotheques,Département,Nom structure
01004,AMBERIEU EN BUGEY,01500,,,
01008,AMBUTRIX,01500,,,
01007,AMBRONAY,01500,,,
01089,CHATEAU GAILLARD,01500,,,
01379,ST MAURICE DE REMENS,01500,,,
01149,DOUVRES,01500,,,
01041,BETTANT,01500,,,
01345,ST DENIS EN BUGEY,01500,,,
01015,ARBOYS EN BUGEY,01300,,,
01006,AMBLEON,01300,,,
01015,ARBOYS EN BUGEY,01300,,,
01034,BELLEY,01300,,,
01098,CHAZEY BONS,01300,,,
01110,COLOMIEU,01300,,,
01268,MURS ET GELIGNIEUX,01300,,,
01338,GROSLEE ST BENOIT,01300,,,
01454,VIRIGNIN,01300,,,
01058,BREGNIER CORDON,01300,,,
01117,CONZIEU,01300,,,
01227,MAGNIEU,01300,,,
01234,MARIGNIEU,01300,,,
01286,PARVES ET NATTAGES,01300,,,
01286,PARVES ET NATTAGES,01300,,,
01009,ANDERT ET CONDON,01300,,,
01141,CUZIEU,01300,,,
01310,PREMEYZEL,01300,,,
01061,BRENS,01300,,,
01116,CONTREVOZ,01300,,,
01193,IZIEU,01300,,,
01227,MAGNIEU,01300,,,
01239,MASSIGNIEU DE RIVES,01300,,,
01294,PEYRIEU,01300,,,
01358,ST GERMAIN LES PAROISSES,01300,,,
01017,ARGIS,01230,,,
01107,CLEYZIEU,01230,,,
01384,ST RAMBERT EN BUGEY,01230,,,
01421,TORCIEU,01230,,,
01076,CHALEY,01230,,,
01111,CONAND,01230,,,
01155,EVOSGES,01230,,,
01277,NIVOLLET MONTGRIFFON,01230,,,
01013,ARANDAS,01230,,,
01279,ONCIEU,01230,,,
01416,TENAY,01230,,,
01019,ARMIX,01510,,,
01022,ARTEMARE,01510,,,
01100,CHEIGNIEU LA BALME,01510,,,
01453,ARVIERE EN VALROMEY,01510,,,
01415,TALISSIEU,01510,,,
01098,CHAZEY BONS,01510,,,
01372,ST MARTIN DE BAVEL,01510,,,
01066,LA BURBANCHE,01510,,,
01280,ORDONNAZ,01510,,,
01329,ROSSILLON,01510,,,
01452,VIRIEU LE GRAND,01510,,,
01033,VALSERHONE,01200,,,
01044,BILLIAT,01200,,,
