,CODE_INSEE,LIBCOM,DEP
0,01001,L'Abergement-Clémenciat,01
1,01002,L'Abergement-de-Varey,01
2,01004,Ambérieu-en-Bugey,01
6,01005,Ambérieux-en-Dombes,01
7,01006,Ambléon,01
8,01007,Ambronay,01
9,01008,Ambutrix,01
10,01009,Andert-et-Condon,01
11,01010,Anglefort,01
12,01011,Apremont,01
13,01012,Aranc,01
14,01013,Arandas,01
15,01014,Arbent,01
16,01015,Arboys en Bugey,01
17,01016,Arbigny,01
18,01017,Argis,01
19,01019,Armix,01
20,01021,Ars-sur-Formans,01
21,01022,Artemare,01
22,01023,Asnières-sur-Saône,01
23,01024,Attignat,01
24,01025,Bâgé-Dommartin,01
25,01026,Bâgé-le-Châtel,01
26,01027,Balan,01
27,01028,Baneins,01
28,01029,Beaupont,01
29,01030,Beauregard,01
30,01031,Bellignat,01
31,01032,Béligneux,01
32,01033,Valserhône,01
38,01034,Belley,01
41,01035,Belleydoux,01
42,01036,Valromey-sur-Séran,01
43,01037,Bénonces,01
44,01038,Bény,01
45,01039,Béon,01
46,01040,Béréziat,01
47,01041,Bettant,01
48,01042,Bey,01
49,01043,Beynost,01
50,01044,Billiat,01
51,01045,Birieux,01
52,01046,Biziat,01
53,01047,Blyes,01
54,01049,La Boisse,01
55,01050,Boissey,01
56,01051,Bolozon,01
57,01052,Bouligneux,01
58,01053,Bourg-en-Bresse,01
76,01054,Bourg-Saint-Christophe,01
77,01056,Boyeux-Saint-Jérôme,01
78,01057,Boz,01
79,01058,Brégnier-Cordon,01
80,01060,Brénod,01
81,01061,Brens,01
82,01062,Bressolles,01
83,01063,Brion,01
84,01064,Briord,01
85,01065,Buellas,01
86,01066,La Burbanche,01
87,01067,Ceignes,01
88,01068,Cerdon,01
89,01069,Certines,01
90,01071,Cessy,01
91,01072,Ceyzériat,01
92,01073,Ceyzérieu,01
93,01074,Chalamont,01
94,01075,Chaleins,01
95,01076,Chaley,01
96,01077,Challes-la-Montagne,01
97,01078,Challex,01
98,01079,Champagne-en-Valromey,01
99,01080,Champdor-Corcelles,01
100,01081,Champfromier,01
101,01082,Chanay,01
102,01083,Chaneins,01
103,01084,Chanoz-Châtenay,01
104,01085,La Chapelle-du-Châtelard,01
105,01087,Charix,01
106,01088,Charnoz-sur-Ain,01
107,01089,Château-Gaillard,01
108,01090,Châtenay,01
109,01092,Châtillon-la-Palud,01
110,01093,Châtillon-sur-Chalaronne,01
111,01094,Chavannes-sur-Reyssouze,01
112,01095,Nivigne et Suran,01
113,01096,Chaveyriat,01
114,01098,Chazey-Bons,01
115,01099,Chazey-sur-Ain,01
116,01100,Cheignieu-la-Balme,01
117,01101,Chevillard,01
118,01102,Chevroux,01
119,01103,Chevry,01
120,01104,Chézery-Forens,01
121,01105,Civrieux,01
122,01106,Cize,01
123,01107,Cleyzieu,01
124,01108,Coligny,01
125,01109,Collonges,01
126,01110,Colomieu,01
127,01111,Conand,01
128,01112,Condamine,01
129,01113,Condeissiat,01
130,01114,Confort,01
131,01115,Confrançon,01
132,01116,Contrevoz,01
133,01117,Conzieu,01
134,01118,Corbonod,01
135,01121,Corlier,01
136,01123,Cormoranche-sur-Saône,01
137,01124,Cormoz,01
138,01125,Corveissiat,01
139,01127,Courmangoux,01
140,01128,Courtes,01
141,01129,Crans,01
142,01130,Bresse Vallons,01
143,01133,Cressin-Rochefort,01
144,01134,Crottet,01
145,01135,Crozet,01
146,01136,Cruzilles-lès-Mépillat,01
147,01138,Culoz,01
148,01139,Curciat-Dongalon,01
149,01140,Curtafond,01
150,01141,Cuzieu,01
151,01142,Dagneux,01
152,01143,Divonne-les-Bains,01
155,01145,Dompierre-sur-Veyle,01
156,01146,Dompierre-sur-Chalaronne,01
157,01147,Domsure,01
158,01148,Dortan,01
159,01149,Douvres,01
160,01150,Drom,01
161,01151,Druillat,01
162,01152,Échallon,01
163,01153,Échenevex,01
164,01155,Évosges,01
165,01156,Faramans,01
166,01157,Fareins,01
167,01158,Farges,01
168,01159,Feillens,01
169,01160,Ferney-Voltaire,01
172,01162,Flaxieu,01
173,01163,Foissiat,01
174,01165,Francheleins,01
175,01166,Frans,01
176,01167,Garnerans,01
177,01169,Genouilleux,01
178,01170,Béard-Géovreissiat,01
179,01171,Géovreisset,01
180,01173,Gex,01
183,01174,Giron,01
184,01175,Gorrevod,01
185,01177,Grand-Corent,01
186,01179,Grièges,01
187,01180,Grilly,01
188,01181,Groissiat,01
189,01183,Guéreins,01
190,01184,Hautecourt-Romanèche,01
191,01185,Plateau d'Hauteville,01
192,01187,Haut Valromey,01
193,01188,Illiat,01
194,01189,Injoux-Génissiat,01
195,01190,Innimond,01
196,01191,Izenave,01
197,01192,Izernore,01
198,01193,Izieu,01
199,01194,Jassans-Riottier,01
201,01195,Jasseron,01
202,01196,Jayat,01
203,01197,Journans,01
204,01198,Joyeux,01
205,01199,Jujurieux,01
206,01200,Labalme,01
207,01202,Lagnieu,01
209,01203,Laiz,01
210,01204,Le Poizat-Lalleyriat,01
211,01206,Lantenay,01
212,01207,Lapeyrouse,01
213,01208,Lavours,01
214,01209,Léaz,01
215,01210,Lélex,01
216,01211,Lent,01
217,01212,Lescheroux,01
218,01213,Leyment,01
219,01214,Leyssard,01
220,01215,Surjoux-Lhopital,01
221,01216,Lhuis,01
222,01219,Lompnas,01
223,01224,Loyettes,01
224,01225,Lurcy,01
225,01227,Magnieu,01
226,01228,Maillat,01
227,01229,Malafretaz,01
228,01230,Mantenay-Montlin,01
229,01231,Manziat,01
230,01232,Marboz,01
231,01233,Marchamp,01
232,01234,Marignieu,01
233,01235,Marlieux,01
234,01236,Marsonnas,01
235,01237,Martignat,01
236,01238,Massieux,01
237,01239,Massignieu-de-Rives,01
238,01240,Matafelon-Granges,01
239,01241,Meillonnas,01
240,01242,Mérignat,01
241,01243,Messimy-sur-Saône,01
242,01244,Meximieux,01
245,01245,Bohas-Meyriat-Rignat,01
246,01246,Mézériat,01
247,01247,Mijoux,01
248,01248,Mionnay,01
249,01249,Miribel,01
252,01250,Misérieux,01
253,01252,Mogneneins,01
254,01254,Montagnat,01
255,01255,Montagnieu,01
256,01257,Montanges,01
257,01258,Montceaux,01
258,01259,Montcet,01
259,01260,Le Montellier,01
260,01261,Monthieux,01
261,01262,Montluel,01
263,01263,Montmerle-sur-Saône,01
264,01264,Montracol,01
265,01265,Montréal-la-Cluse,01
266,01266,Montrevel-en-Bresse,01
267,01267,Nurieux-Volognat,01
268,01268,Murs-et-Gélignieux,01
269,01269,Nantua,01
270,01272,Neuville-les-Dames,01
271,01273,Neuville-sur-Ain,01
272,01274,Les Neyrolles,01
273,01275,Neyron,01
274,01276,Niévroz,01
275,01277,Nivollet-Montgriffon,01
276,01279,Oncieu,01
277,01280,Ordonnaz,01
